['r', [12893, 12894]]
['r', [12898, 12899]]
['r', [12914, 12915]]
['r', [12931, 12932]]
['r', [12940, 12941]]
['r', [12944, 12945]]
['r', [12945, 12946]]
['r', [13003, 13004]]
['r', [13019, 13020]]
['r', [13021, 13022]]
['r', [13033, 13034]]
['r', [13042, 13043]]
['r', [13054, 13055]]
['r', [13065, 13066]]
['r', [13079, 13080]]
['r', [13083, 13084]]
['r', [13105, 13106]]
['r', [13133, 13134]]
['r', [13143, 13144]]
['r', [13146, 13147]]
['r', [13173, 13174]]
['r', [13180, 13181]]
['r', [13185, 13186]]
['r', [13195, 13196]]
['r', [13221, 13222]]
['r', [13229, 13230]]
['r', [13240, 13241]]
['r', [13244, 13245]]
['r', [13245, 13246]]
['r', [13281, 13282]]
['r', [13289, 13290]]
['r', [13296, 13297]]
['r', [13307, 13308]]
['r', [13316, 13317]]
['r', [13331, 13332]]
['r', [13335, 13336]]
['r', [13336, 13337]]
['r', [13368, 13369]]
['r', [13373, 13374]]
['r', [13383, 13384]]
['r', [13398, 13399]]
['r', [13411, 13412]]
['r', [13439, 13440]]
['r', [13451, 13452]]
['r', [13462, 13463]]
['r', [13482, 13483]]
['r', [13510, 13511]]
['r', [13534, 13535]]
['r', [13539, 13540]]
['r', [13544, 13545]]
['r', [13550, 13551]]
['r', [13559, 13560]]
['r', [13563, 13564]]
['r', [13579, 13580]]
['r', [13581, 13582]]
['r', [13607, 13608]]
['r', [13611, 13612]]
['r', [13625, 13626]]
['r', [13633, 13634]]
['r', [13639, 13640]]
['r', [13643, 13644]]
['r', [13649, 13650]]
['r', [13657, 13658]]
['r', [13671, 13672]]
['r', [13696, 13697]]
['r', [13705, 13706]]
['r', [13712, 13713]]
['r', [13723, 13724]]
['r', [13744, 13745]]
['r', [13801, 13802]]
['r', [13815, 13816]]
['r', [13824, 13825]]
['r', [13839, 13840]]
['r', [13844, 13845]]
['r', [13854, 13855]]
['r', [13857, 13858]]
['r', [13858, 13859]]
['r', [13936, 13937]]
['r', [13943, 13944]]
['r', [13949, 13950]]
['r', [13956, 13957]]
['r', [13982, 13983]]
['r', [13985, 13986]]
['r', [14016, 14017]]
['r', [14032, 14033]]
['r', [14038, 14039]]
['r', [14050, 14051]]
['r', [14058, 14059]]
['r', [14067, 14068]]
['r', [14141, 14142]]
['r', [14160, 14161]]
['r', [14170, 14171]]
['r', [14177, 14178]]
['r', [14181, 14182]]
['r', [14192, 14193]]
['r', [14206, 14207]]
['r', [14270, 14271]]
['r', [14277, 14278]]
['r', [14282, 14283]]
['r', [14292, 14293]]
['r', [14301, 14302]]
['r', [14319, 14320]]
['r', [14322, 14323]]
['r', [14327, 14328]]
['r', [14357, 14358]]
['r', [14360, 14361]]
['r', [14389, 14390]]
['r', [14401, 14402]]
['r', [14404, 14405]]
['r', [14415, 14416]]
['r', [14424, 14425]]
['r', [14440, 14441]]
['r', [14445, 14446]]
['r', [14459, 14460]]
['r', [14464, 14465]]
['r', [14473, 14474]]
['r', [14486, 14487]]
['r', [14499, 14500]]
['r', [14510, 14511]]
['r', [14523, 14524]]
