['t', [3802, 3803]]
['t', [3824, 3825]]
['t', [3828, 3829]]
['t', [3837, 3838]]
['t', [3857, 3858]]
['t', [3865, 3866]]
['t', [3885, 3886]]
['t', [3932, 3933]]
['t', [3968, 3969]]
['t', [3971, 3972]]
['t', [3978, 3979]]
['t', [3981, 3982]]
['t', [4010, 4011]]
['t', [4027, 4028]]
['t', [4030, 4031]]
['t', [4034, 4035]]
['t', [4046, 4047]]
['t', [4064, 4065]]
['t', [4075, 4076]]
['t', [4084, 4085]]
['t', [4105, 4106]]
['t', [4124, 4125]]
['t', [4134, 4135]]
['t', [4137, 4138]]
['t', [4150, 4151]]
['t', [4152, 4153]]
['t', [4155, 4156]]
['t', [4160, 4161]]
['t', [4169, 4170]]
['t', [4175, 4176]]
['t', [4182, 4183]]
['t', [4207, 4208]]
['t', [4231, 4232]]
['t', [4236, 4237]]
['t', [4241, 4242]]
['t', [4255, 4256]]
['t', [4278, 4279]]
['t', [4281, 4282]]
['t', [4285, 4286]]
['t', [4302, 4303]]
['t', [4311, 4312]]
['t', [4317, 4318]]
['t', [4322, 4323]]
['t', [4345, 4346]]
['t', [4354, 4355]]
['t', [4375, 4376]]
['t', [4383, 4384]]
['t', [4399, 4400]]
['t', [4412, 4413]]
['t', [4417, 4418]]
['t', [4428, 4429]]
['t', [4434, 4435]]
['t', [4451, 4452]]
['t', [4460, 4461]]
['t', [4466, 4467]]
['t', [4471, 4472]]
['t', [4481, 4482]]
['t', [4489, 4490]]
['t', [4496, 4497]]
['t', [4503, 4504]]
['t', [4529, 4530]]
['t', [4536, 4537]]
['t', [4548, 4549]]
['t', [4554, 4555]]
['t', [4566, 4567]]
['t', [4580, 4581]]
['t', [4585, 4586]]
['t', [4588, 4589]]
['t', [4613, 4614]]
['t', [4642, 4643]]
['t', [4644, 4645]]
['t', [4663, 4664]]
['t', [4678, 4679]]
['t', [4698, 4699]]
['t', [4702, 4703]]
['t', [4712, 4713]]
['t', [4725, 4726]]
['t', [4759, 4760]]
['t', [4769, 4770]]
['t', [4771, 4772]]
['t', [4774, 4775]]
['t', [4782, 4783]]
['t', [4786, 4787]]
['t', [4795, 4796]]
['t', [4804, 4805]]
['t', [4855, 4856]]
['t', [4864, 4865]]
['t', [4881, 4882]]
['t', [4894, 4895]]
['t', [4899, 4900]]
['t', [4909, 4910]]
['t', [4917, 4918]]
['t', [4942, 4943]]
['t', [4952, 4953]]
['t', [4955, 4956]]
['t', [4964, 4965]]
['t', [4974, 4975]]
['t', [4977, 4978]]
['t', [4981, 4982]]
['t', [4989, 4990]]
['t', [4996, 4997]]
['t', [4999, 5000]]
['t', [5009, 5010]]
['t', [5013, 5014]]
['t', [5017, 5018]]
['t', [5024, 5025]]
['t', [5029, 5030]]
['t', [5037, 5038]]
['t', [5062, 5063]]
['t', [5070, 5071]]
['t', [5072, 5073]]
['t', [5080, 5081]]
['t', [5101, 5102]]
['t', [5113, 5114]]
['t', [5119, 5120]]
['t', [5148, 5149]]
['t', [5160, 5161]]
['t', [5169, 5170]]
['t', [5180, 5181]]
['t', [5216, 5217]]
['t', [5234, 5235]]
['t', [5236, 5237]]
['t', [5246, 5247]]
['t', [5254, 5255]]
['t', [5270, 5271]]
['t', [5290, 5291]]
['t', [5299, 5300]]
['t', [5301, 5302]]
['t', [5312, 5313]]
['t', [5320, 5321]]
['t', [5327, 5328]]
['t', [5333, 5334]]
['t', [5337, 5338]]
['t', [5345, 5346]]
['t', [5365, 5366]]
['t', [5381, 5382]]
['t', [5398, 5399]]
['t', [5411, 5412]]
['t', [5420, 5421]]
['t', [5438, 5439]]
['t', [5444, 5445]]
['t', [5452, 5453]]
['t', [5464, 5465]]
['t', [5473, 5474]]
['t', [5482, 5483]]
['t', [5491, 5492]]
['t', [5500, 5501]]
['t', [5511, 5512]]
['t', [5538, 5539]]
['t', [5553, 5554]]
['t', [5559, 5560]]
['t', [5573, 5574]]
['t', [5583, 5584]]
['t', [5586, 5587]]
