['3', [21874, 21875]]
['3', [21877, 21878]]
['3', [21882, 21883]]
['3', [22674, 22675]]
['3', [22901, 22902]]
['3', [22929, 22930]]
['3', [22947, 22948]]
['3', [23224, 23225]]
['3', [23412, 23413]]
['3', [24122, 24123]]
['3', [24269, 24270]]
['3', [24272, 24273]]
['3', [24307, 24308]]
['3', [24660, 24661]]
['3', [24661, 24662]]
['3', [25117, 25118]]
['3', [25120, 25121]]
['3', [25125, 25126]]
['3', [25909, 25910]]
['3', [26145, 26146]]
['3', [26373, 26374]]
['3', [26401, 26402]]
['3', [26419, 26420]]
['3', [26721, 26722]]
['3', [26749, 26750]]
['3', [26767, 26768]]
['3', [27045, 27046]]
['3', [27233, 27234]]
['3', [27943, 27944]]
['3', [28090, 28091]]
['3', [28093, 28094]]
['3', [28128, 28129]]
['3', [28481, 28482]]
['3', [28482, 28483]]
['3', [28938, 28939]]
['3', [28941, 28942]]
['3', [28946, 28947]]
['3', [29149, 29150]]
['3', [29337, 29338]]
['3', [30047, 30048]]
['3', [30194, 30195]]
['3', [30197, 30198]]
['3', [30232, 30233]]
['3', [30585, 30586]]
['3', [30586, 30587]]
['3', [31042, 31043]]
['3', [31045, 31046]]
['3', [31050, 31051]]
['3', [35714, 35715]]
['3', [36172, 36173]]
['3', [42251, 42252]]
['3', [42709, 42710]]
['3', [45595, 45596]]
['3', [45617, 45618]]
['3', [45634, 45635]]
['3', [45668, 45669]]
['3', [45723, 45724]]
['3', [45734, 45735]]
['3', [45792, 45793]]
['3', [45854, 45855]]
['3', [45913, 45914]]
['3', [45976, 45977]]
['3', [46031, 46032]]
['3', [46047, 46048]]
['3', [46116, 46117]]
['3', [46198, 46199]]
['3', [46245, 46246]]
['3', [46303, 46304]]
['3', [46304, 46305]]
['3', [46314, 46315]]
['3', [46335, 46336]]
['3', [46375, 46376]]
['3', [46382, 46383]]
['3', [46426, 46427]]
['3', [46607, 46608]]
['3', [46615, 46616]]
['3', [46649, 46650]]
['3', [46670, 46671]]
['3', [46705, 46706]]
['3', [46745, 46746]]
['3', [46803, 46804]]
['3', [46812, 46813]]
['3', [46854, 46855]]
['3', [46855, 46856]]
['3', [46872, 46873]]
['3', [46881, 46882]]
['3', [47036, 47037]]
['3', [47566, 47567]]
['3', [47615, 47616]]
['3', [47690, 47691]]
['3', [47701, 47702]]
['3', [47754, 47755]]
['3', [47766, 47767]]
['3', [47813, 47814]]
['3', [47857, 47858]]
['3', [47931, 47932]]
['3', [47939, 47940]]
['3', [47989, 47990]]
['3', [48006, 48007]]
['3', [48014, 48015]]
['3', [48015, 48016]]
['3', [48031, 48032]]
['3', [48055, 48056]]
['3', [48079, 48080]]
['3', [48096, 48097]]
['3', [48097, 48098]]
['3', [48102, 48103]]
['3', [48137, 48138]]
