['tc', [11602, 11604]]
['tc', [11914, 11916]]
['tc', [12178, 12180]]
['tc', [12289, 12291]]
['tc', [12365, 12367]]
['tc', [12608, 12610]]
['tc', [13500, 13502]]
['tc', [15382, 15384]]
['tc', [15477, 15479]]
['tc', [16562, 16564]]
['tc', [16835, 16837]]
['tc', [16914, 16916]]
['tc', [17062, 17064]]
['tc', [17149, 17151]]
['tc', [17194, 17196]]
['tc', [17223, 17225]]
['tc', [17389, 17391]]
['tc', [17438, 17440]]
['tc', [17499, 17501]]
['tc', [17912, 17914]]
['tc', [17960, 17962]]
['tc', [18954, 18956]]
['tc', [19284, 19286]]
['tc', [19545, 19547]]
['tc', [19694, 19696]]
['tc', [19846, 19848]]
['tc', [19872, 19874]]
['tc', [19968, 19970]]
['tc', [20135, 20137]]
['tc', [20165, 20167]]
['tc', [20254, 20256]]
['tc', [21168, 21170]]
['tc', [21271, 21273]]
['tc', [22299, 22301]]
['tc', [24009, 24011]]
['tc', [25474, 25476]]
['tc', [25584, 25586]]
['tc', [25972, 25974]]
['tc', [26785, 26787]]
['tc', [26833, 26835]]
['tc', [27828, 27830]]
['tc', [28159, 28161]]
['tc', [28420, 28422]]
['tc', [28569, 28571]]
['tc', [28721, 28723]]
['tc', [28747, 28749]]
['tc', [28843, 28845]]
['tc', [29010, 29012]]
['tc', [29040, 29042]]
['tc', [29129, 29131]]
['tc', [30043, 30045]]
['tc', [30146, 30148]]
['tc', [31174, 31176]]
['tc', [32884, 32886]]
['tc', [34417, 34419]]
['tc', [34566, 34568]]
['tc', [34718, 34720]]
['tc', [34744, 34746]]
['tc', [34840, 34842]]
['tc', [35007, 35009]]
['tc', [35037, 35039]]
['tc', [35126, 35128]]
['tc', [36040, 36042]]
['tc', [36143, 36145]]
['tc', [36444, 36446]]
['tc', [36593, 36595]]
['tc', [36745, 36747]]
['tc', [36771, 36773]]
['tc', [36867, 36869]]
['tc', [37034, 37036]]
['tc', [37064, 37066]]
['tc', [37153, 37155]]
['tc', [38068, 38070]]
['tc', [38171, 38173]]
['tc', [39201, 39203]]
['tc', [40926, 40928]]
['tc', [42639, 42641]]
['tc', [45361, 45363]]
['tc', [45471, 45473]]
['tc', [45859, 45861]]
['tc', [46529, 46531]]
['tc', [46705, 46707]]
['tc', [47043, 47045]]
['tc', [47097, 47099]]
['tc', [47259, 47261]]
['tc', [47374, 47376]]
['tc', [47585, 47587]]
['tc', [47636, 47638]]
['tc', [47686, 47688]]
['tc', [47895, 47897]]
['tc', [48012, 48014]]
['tc', [48061, 48063]]
['tc', [48257, 48259]]
['tc', [48371, 48373]]
['tc', [48434, 48436]]
['tc', [48502, 48504]]
['tc', [48860, 48862]]
['tc', [48877, 48879]]
['tc', [48952, 48954]]
['tc', [49358, 49360]]
['tc', [49511, 49513]]
['tc', [49655, 49657]]
['tc', [49726, 49728]]
['tc', [49862, 49864]]
['tc', [49898, 49900]]
['tc', [50336, 50338]]
['tc', [50392, 50394]]
['tc', [50510, 50512]]
['tc', [50535, 50537]]
['tc', [50676, 50678]]
['tc', [50743, 50745]]
['tc', [50816, 50818]]
['tc', [51214, 51216]]
['tc', [51580, 51582]]
['tc', [51601, 51603]]
['tc', [51728, 51730]]
['tc', [51821, 51823]]
['tc', [52078, 52080]]
['tc', [52163, 52165]]
['tc', [53040, 53042]]
['tc', [53083, 53085]]
['tc', [53361, 53363]]
['tc', [53537, 53539]]
['tc', [53875, 53877]]
['tc', [53929, 53931]]
['tc', [54091, 54093]]
['tc', [54206, 54208]]
['tc', [54417, 54419]]
['tc', [54468, 54470]]
['tc', [54518, 54520]]
['tc', [54727, 54729]]
['tc', [54844, 54846]]
['tc', [54893, 54895]]
['tc', [55089, 55091]]
['tc', [55203, 55205]]
['tc', [55266, 55268]]
['tc', [55334, 55336]]
['tc', [55692, 55694]]
['tc', [55709, 55711]]
['tc', [55784, 55786]]
['tc', [56190, 56192]]
['tc', [56343, 56345]]
['tc', [56487, 56489]]
['tc', [56558, 56560]]
['tc', [56694, 56696]]
['tc', [56730, 56732]]
['tc', [57168, 57170]]
['tc', [57224, 57226]]
['tc', [57342, 57344]]
['tc', [57367, 57369]]
['tc', [57508, 57510]]
['tc', [57575, 57577]]
['tc', [57648, 57650]]
['tc', [58046, 58048]]
['tc', [58412, 58414]]
['tc', [58433, 58435]]
['tc', [58560, 58562]]
['tc', [58653, 58655]]
['tc', [58910, 58912]]
['tc', [58995, 58997]]
['tc', [59872, 59874]]
['tc', [59915, 59917]]
['tc', [60185, 60187]]
['tc', [60361, 60363]]
['tc', [60699, 60701]]
['tc', [60824, 60826]]
['tc', [61000, 61002]]
['tc', [61338, 61340]]
['tc', [61393, 61395]]
['tc', [61555, 61557]]
['tc', [61670, 61672]]
['tc', [61881, 61883]]
['tc', [61932, 61934]]
['tc', [61982, 61984]]
['tc', [62191, 62193]]
['tc', [62308, 62310]]
['tc', [62357, 62359]]
['tc', [62553, 62555]]
['tc', [62667, 62669]]
['tc', [62730, 62732]]
['tc', [62798, 62800]]
['tc', [63156, 63158]]
['tc', [63173, 63175]]
['tc', [63248, 63250]]
['tc', [63511, 63513]]
['tc', [63673, 63675]]
['tc', [63788, 63790]]
['tc', [63999, 64001]]
['tc', [64050, 64052]]
['tc', [64100, 64102]]
['tc', [64309, 64311]]
['tc', [64426, 64428]]
['tc', [64475, 64477]]
['tc', [64671, 64673]]
['tc', [64785, 64787]]
['tc', [64848, 64850]]
['tc', [64916, 64918]]
['tc', [65274, 65276]]
['tc', [65291, 65293]]
['tc', [65366, 65368]]
['tc', [65773, 65775]]
['tc', [65926, 65928]]
['tc', [66070, 66072]]
['tc', [66141, 66143]]
['tc', [66277, 66279]]
['tc', [66313, 66315]]
['tc', [66751, 66753]]
['tc', [66807, 66809]]
['tc', [66925, 66927]]
['tc', [66950, 66952]]
['tc', [67091, 67093]]
['tc', [67158, 67160]]
['tc', [67231, 67233]]
['tc', [67629, 67631]]
['tc', [67995, 67997]]
['tc', [68016, 68018]]
['tc', [68143, 68145]]
['tc', [68236, 68238]]
['tc', [68493, 68495]]
['tc', [68578, 68580]]
['tc', [69455, 69457]]
['tc', [69498, 69500]]
['tc', [69842, 69844]]
['tc', [69995, 69997]]
['tc', [70139, 70141]]
['tc', [70210, 70212]]
['tc', [70346, 70348]]
['tc', [70382, 70384]]
['tc', [70820, 70822]]
['tc', [70876, 70878]]
['tc', [70994, 70996]]
['tc', [71019, 71021]]
['tc', [71160, 71162]]
['tc', [71227, 71229]]
['tc', [71300, 71302]]
['tc', [71698, 71700]]
['tc', [72064, 72066]]
['tc', [72085, 72087]]
['tc', [72212, 72214]]
['tc', [72305, 72307]]
['tc', [72562, 72564]]
['tc', [72647, 72649]]
['tc', [73524, 73526]]
['tc', [73567, 73569]]
['tc', [73868, 73870]]
['tc', [73940, 73942]]
['tc', [74039, 74041]]
['tc', [74124, 74126]]
['tc', [74270, 74272]]
['tc', [74475, 74477]]
['tc', [74612, 74614]]
