['b', [3504, 3505]]
['b', [3511, 3512]]
['b', [3529, 3530]]
['b', [3554, 3555]]
['b', [3563, 3564]]
['b', [3572, 3573]]
['b', [3672, 3673]]
['b', [3694, 3695]]
['b', [3772, 3773]]
['b', [3819, 3820]]
['b', [3848, 3849]]
['b', [3856, 3857]]
['b', [3921, 3922]]
['b', [4001, 4002]]
['b', [4179, 4180]]
['b', [4195, 4196]]
['b', [4332, 4333]]
['b', [4470, 4471]]
['b', [4473, 4474]]
['b', [4565, 4566]]
['b', [4606, 4607]]
['b', [4696, 4697]]
['b', [4726, 4727]]
['b', [4788, 4789]]
['b', [4844, 4845]]
['b', [4888, 4889]]
['b', [4916, 4917]]
['b', [4917, 4918]]
['b', [4959, 4960]]
['b', [4960, 4961]]
['b', [4983, 4984]]
['b', [5008, 5009]]
['b', [5009, 5010]]
['b', [5027, 5028]]
['b', [5049, 5050]]
['b', [5050, 5051]]
['b', [5083, 5084]]
['b', [5109, 5110]]
['b', [5205, 5206]]
['b', [5452, 5453]]
['b', [6178, 6179]]
['b', [6280, 6281]]
['b', [6293, 6294]]
['b', [6332, 6333]]
['b', [6350, 6351]]
['b', [6387, 6388]]
['b', [6471, 6472]]
['b', [6630, 6631]]
['b', [6813, 6814]]
['b', [6870, 6871]]
['b', [6957, 6958]]
['b', [6974, 6975]]
['b', [6983, 6984]]
['b', [7015, 7016]]
['b', [7021, 7022]]
['b', [7042, 7043]]
['b', [7069, 7070]]
['b', [7152, 7153]]
['b', [7729, 7730]]
['b', [7799, 7800]]
['b', [7852, 7853]]
['b', [7982, 7983]]
['b', [8002, 8003]]
['b', [8030, 8031]]
['b', [8094, 8095]]
['b', [8117, 8118]]
['b', [8132, 8133]]
['b', [8142, 8143]]
['b', [8186, 8187]]
['b', [8187, 8188]]
['b', [8217, 8218]]
['b', [8233, 8234]]
['b', [8299, 8300]]
['b', [8321, 8322]]
['b', [8350, 8351]]
['b', [8418, 8419]]
['b', [8472, 8473]]
['b', [8622, 8623]]
['b', [8676, 8677]]
['b', [8754, 8755]]
['b', [8909, 8910]]
['b', [9272, 9273]]
['b', [9513, 9514]]
['b', [9601, 9602]]
['b', [9709, 9710]]
['b', [9758, 9759]]
['b', [9766, 9767]]
['b', [9769, 9770]]
['b', [9800, 9801]]
['b', [10036, 10037]]
['b', [10168, 10169]]
['b', [10347, 10348]]
['b', [10380, 10381]]
['b', [10400, 10401]]
['b', [10638, 10639]]
['b', [10765, 10766]]
['b', [10858, 10859]]
['b', [10922, 10923]]
['b', [10981, 10982]]
['b', [11051, 11052]]
['b', [11313, 11314]]
['b', [11322, 11323]]
['b', [11358, 11359]]
['b', [11362, 11363]]
['b', [11369, 11370]]
['b', [11387, 11388]]
['b', [11412, 11413]]
['b', [11421, 11422]]
['b', [11430, 11431]]
