['4', [93147, 93148]]
['4', [93153, 93154]]
['4', [93154, 93155]]
['4', [93159, 93160]]
['4', [93160, 93161]]
['4', [93165, 93166]]
['4', [93171, 93172]]
['4', [93184, 93185]]
['4', [93372, 93373]]
['4', [93378, 93379]]
['4', [93384, 93385]]
['4', [93403, 93404]]
['4', [93408, 93409]]
['4', [93414, 93415]]
['4', [93427, 93428]]
['4', [93460, 93461]]
['4', [93505, 93506]]
['4', [93540, 93541]]
['4', [93565, 93566]]
['6', [2498, 2499]]
['6', [3429, 3430]]
['6', [5187, 5188]]
['6', [7066, 7067]]
['6', [13704, 13705]]
['6', [13823, 13824]]
['6', [15757, 15758]]
['6', [19417, 19418]]
['6', [20408, 20409]]
['6', [25588, 25589]]
['6', [25707, 25708]]
['6', [27642, 27643]]
['6', [31303, 31304]]
['6', [32294, 32295]]
['6', [40873, 40874]]
['6', [49271, 49272]]
['6', [49429, 49430]]
['6', [49430, 49431]]
['6', [49438, 49439]]
['6', [53770, 53771]]
['6', [62170, 62171]]
['6', [62328, 62329]]
['6', [62329, 62330]]
['6', [62337, 62338]]
['6', [63091, 63092]]
['6', [63288, 63289]]
['6', [63629, 63630]]
['6', [63804, 63805]]
['6', [64401, 64402]]
['6', [64499, 64500]]
['6', [64662, 64663]]
['6', [65886, 65887]]
['6', [65908, 65909]]
['6', [66128, 66129]]
['6', [66268, 66269]]
['6', [66748, 66749]]
['6', [67023, 67024]]
['6', [67271, 67272]]
['6', [67383, 67384]]
['6', [67392, 67393]]
['6', [67477, 67478]]
['6', [67577, 67578]]
['6', [67767, 67768]]
['6', [68226, 68227]]
['6', [68427, 68428]]
['6', [68452, 68453]]
['6', [68465, 68466]]
['6', [68950, 68951]]
['6', [69291, 69292]]
['6', [69466, 69467]]
['6', [70063, 70064]]
['6', [70162, 70163]]
['6', [70325, 70326]]
['6', [71549, 71550]]
['6', [71572, 71573]]
['6', [71792, 71793]]
['6', [71932, 71933]]
['6', [72412, 72413]]
['6', [72687, 72688]]
['6', [72935, 72936]]
['6', [73047, 73048]]
['6', [73056, 73057]]
['6', [73141, 73142]]
['6', [73241, 73242]]
['6', [73431, 73432]]
['6', [73890, 73891]]
['6', [74091, 74092]]
['6', [74116, 74117]]
['6', [74129, 74130]]
['6', [81814, 81815]]
['6', [82592, 82593]]
['6', [82669, 82670]]
['6', [82707, 82708]]
['6', [82767, 82768]]
['6', [82787, 82788]]
['6', [82817, 82818]]
['6', [82986, 82987]]
['6', [83871, 83872]]
['6', [83887, 83888]]
['6', [83929, 83930]]
['6', [84044, 84045]]
['6', [84054, 84055]]
['6', [84220, 84221]]
['6', [84294, 84295]]
['6', [84318, 84319]]
['6', [84361, 84362]]
['6', [84367, 84368]]
['6', [84419, 84420]]
['6', [84509, 84510]]
['6', [84554, 84555]]
['6', [84647, 84648]]
['6', [84828, 84829]]
['6', [84879, 84880]]
['6', [84978, 84979]]
['6', [84996, 84997]]
['6', [85035, 85036]]
['6', [85055, 85056]]
['6', [85138, 85139]]
['6', [85153, 85154]]
['6', [85289, 85290]]
['6', [85666, 85667]]
['6', [85682, 85683]]
['6', [85739, 85740]]
['6', [85786, 85787]]
['6', [85837, 85838]]
['6', [85842, 85843]]
['6', [85872, 85873]]
['6', [86048, 86049]]
['6', [86099, 86100]]
['6', [86109, 86110]]
['6', [86114, 86115]]
['6', [86124, 86125]]
['6', [86169, 86170]]
['6', [86204, 86205]]
['6', [86224, 86225]]
['6', [86356, 86357]]
['6', [86615, 86616]]
['6', [86631, 86632]]
['6', [86670, 86671]]
['6', [86732, 86733]]
['6', [86752, 86753]]
['6', [86756, 86757]]
['6', [86857, 86858]]
['6', [86862, 86863]]
['6', [86936, 86937]]
['6', [87005, 87006]]
['6', [87035, 87036]]
['6', [88274, 88275]]
['6', [89052, 89053]]
