['cxcr4', [27248, 27253]]
['cxcr4', [29350, 29355]]
['cxcr4', [29426, 29431]]
['cxcr4', [29718, 29723]]
['cxcr4', [29768, 29773]]
['cxcr4', [29852, 29857]]
['cxcr4', [29912, 29917]]
['cxcr4', [30027, 30032]]
['cxcr4', [30156, 30161]]
['cxcr4', [30255, 30260]]
['cxcr4', [30394, 30399]]
['cxcr4', [31504, 31509]]
['cxcr4', [31566, 31571]]
['cxcr4', [34541, 34546]]
['cxcr4', [34590, 34595]]
['cxcr4', [34935, 34940]]
['cxcr4', [35380, 35385]]
['cxcr4', [35519, 35524]]
['cxcr4', [35595, 35600]]
['cxcr4', [35887, 35892]]
['cxcr4', [35937, 35942]]
['cxcr4', [36021, 36026]]
['cxcr4', [36081, 36086]]
['cxcr4', [36196, 36201]]
['cxcr4', [36325, 36330]]
['cxcr4', [36424, 36429]]
['cxcr4', [36563, 36568]]
['cxcr4', [37673, 37678]]
['cxcr4', [37735, 37740]]
['cxcr4', [40710, 40715]]
['cxcr4', [40759, 40764]]
['cxcr4', [41104, 41109]]
['cxcr4', [41549, 41554]]
['coreceptor', [230, 240]]
['coreceptor', [2992, 3002]]
['coreceptor', [29447, 29457]]
['coreceptor', [35616, 35626]]
['gp120-iiib', [6, 16]]
['gp120-iiib', [286, 296]]
['gp120-iiib', [333, 343]]
['gp120-iiib', [465, 475]]
['gp120-iiib', [656, 666]]
['gp120-iiib', [825, 835]]
['gp120-iiib', [1090, 1100]]
['gp120-iiib', [1402, 1412]]
['gp120-iiib', [1646, 1656]]
['gp120-iiib', [3597, 3607]]
['gp120-iiib', [3760, 3770]]
['gp120-iiib', [5723, 5733]]
['gp120-iiib', [7926, 7936]]
['gp120-iiib', [9203, 9213]]
['gp120-iiib', [11486, 11496]]
['gp120-iiib', [13452, 13462]]
['gp120-iiib', [15657, 15667]]
['gp120-iiib', [16935, 16945]]
['gp120-iiib', [19822, 19832]]
['gp120-iiib', [19852, 19862]]
['gp120-iiib', [20084, 20094]]
['gp120-iiib', [20345, 20355]]
['gp120-iiib', [20426, 20436]]
['gp120-iiib', [20638, 20648]]
['gp120-iiib', [20738, 20748]]
['gp120-iiib', [20853, 20863]]
