['cdna', [6304, 6308]]
['cdna', [7893, 7897]]
['cdna', [14222, 14226]]
['cdna', [14258, 14262]]
['cdna', [15366, 15370]]
['cdna', [16956, 16960]]
['cdna', [21056, 21060]]
['cdna', [31181, 31185]]
['cdna', [31345, 31349]]
['cdna', [31586, 31590]]
['cdna', [32255, 32259]]
['cdna', [32408, 32412]]
['cdna', [32573, 32577]]
['cdna', [32622, 32626]]
['cdna', [32825, 32829]]
['cdna', [33574, 33578]]
['cdna', [33869, 33873]]
['cdna', [36942, 36946]]
['cdna', [37106, 37110]]
['cdna', [37347, 37351]]
['cdna', [38016, 38020]]
['cdna', [38169, 38173]]
['cdna', [38334, 38338]]
['cdna', [38383, 38387]]
['cdna', [38586, 38590]]
['cdna', [39335, 39339]]
['cdna', [39630, 39634]]
['cdna', [43746, 43750]]
['cdna', [43910, 43914]]
['cdna', [44151, 44155]]
['cdna', [44820, 44824]]
['cdna', [44973, 44977]]
['cdna', [45570, 45574]]
['cdna', [45734, 45738]]
['cdna', [45975, 45979]]
['cdna', [46644, 46648]]
['cdna', [46797, 46801]]
['cdna', [46963, 46967]]
['cdna', [47012, 47016]]
['cdna', [47215, 47219]]
['cdna', [47964, 47968]]
['cdna', [48259, 48263]]
['cdna', [48540, 48544]]
['cdna', [48589, 48593]]
['cdna', [48792, 48796]]
['cdna', [49541, 49545]]
['cdna', [49836, 49840]]
['cdna', [54031, 54035]]
['cdna', [55830, 55834]]
['cdna', [58991, 58995]]
['cdna', [60790, 60794]]
['probe', [978, 983]]
['probe', [7747, 7752]]
['probe', [7761, 7766]]
['probe', [10235, 10240]]
['probe', [10874, 10879]]
['probe', [10955, 10960]]
['probe', [12453, 12458]]
['probe', [12493, 12498]]
['probe', [13412, 13417]]
['probe', [13493, 13498]]
['probe', [16810, 16815]]
['probe', [16824, 16829]]
['probe', [19298, 19303]]
['probe', [19937, 19942]]
['probe', [20018, 20023]]
['probe', [20910, 20915]]
['probe', [20924, 20929]]
['probe', [23401, 23406]]
['probe', [24040, 24045]]
['probe', [24121, 24126]]
['probe', [25621, 25626]]
['probe', [25661, 25666]]
['probe', [26580, 26585]]
['probe', [26661, 26666]]
['probe', [27921, 27926]]
['probe', [27961, 27966]]
['probe', [28880, 28885]]
['probe', [28961, 28966]]
['probe', [32627, 32632]]
['probe', [34290, 34295]]
['probe', [34538, 34543]]
['probe', [34816, 34821]]
['probe', [34916, 34921]]
['probe', [35133, 35138]]
['probe', [38388, 38393]]
['probe', [40051, 40056]]
['probe', [40299, 40304]]
['probe', [40577, 40582]]
['probe', [40677, 40682]]
['probe', [40894, 40899]]
['probe', [47017, 47022]]
['probe', [48594, 48599]]
['probe', [50258, 50263]]
['probe', [50506, 50511]]
['probe', [50757, 50762]]
['probe', [51005, 51010]]
['probe', [51284, 51289]]
['probe', [51384, 51389]]
['probe', [51601, 51606]]
['probe', [52091, 52096]]
['probe', [52191, 52196]]
['probe', [52408, 52413]]
['probe', [54036, 54041]]
