['enzyme', [40476, 40482]]
['enzyme', [43517, 43523]]
['enzyme', [47561, 47567]]
['protein', [658, 665]]
['protein', [1462, 1469]]
['protein', [4987, 4994]]
['protein', [9176, 9183]]
['protein', [9275, 9282]]
['protein', [9300, 9307]]
['protein', [9497, 9504]]
['protein', [14499, 14506]]
['protein', [14598, 14605]]
['protein', [14623, 14630]]
['protein', [14821, 14828]]
['protein', [16313, 16320]]
['protein', [16683, 16690]]
['protein', [16775, 16782]]
['protein', [18674, 18681]]
['protein', [20053, 20060]]
['protein', [20368, 20375]]
['protein', [20654, 20661]]
['protein', [21021, 21028]]
['protein', [21618, 21625]]
['protein', [22899, 22906]]
['protein', [23906, 23913]]
['protein', [24040, 24047]]
['protein', [25854, 25861]]
['protein', [33176, 33183]]
['protein', [35898, 35905]]
['protein', [36825, 36832]]
['protein', [37766, 37773]]
['protein', [38136, 38143]]
['protein', [38228, 38235]]
['protein', [40128, 40135]]
['protein', [41507, 41514]]
['protein', [41822, 41829]]
['protein', [42108, 42115]]
['protein', [42475, 42482]]
['protein', [43072, 43079]]
['protein', [44353, 44360]]
['protein', [45360, 45367]]
['protein', [45494, 45501]]
['protein', [47308, 47315]]
['protein', [54632, 54639]]
['protein', [57354, 57361]]
['protein', [58281, 58288]]
['protein', [59113, 59120]]
['protein', [59981, 59988]]
['protein', [60405, 60412]]
['apoptosis-inducing', [758, 776]]
['factor', [777, 783]]
['factor', [23115, 23121]]
['factor', [44569, 44575]]
['aif', [785, 788]]
['aif', [920, 923]]
['aif', [1366, 1369]]
['aif', [1414, 1417]]
['aif', [5787, 5790]]
['aif', [9451, 9454]]
['aif', [10673, 10676]]
['aif', [11104, 11107]]
['aif', [14774, 14777]]
['aif', [15997, 16000]]
['aif', [23123, 23126]]
['aif', [24957, 24960]]
['aif', [25059, 25062]]
['aif', [25210, 25213]]
['aif', [25284, 25287]]
['aif', [25648, 25651]]
['aif', [25735, 25738]]
['aif', [25824, 25827]]
['aif', [25982, 25985]]
['aif', [26064, 26067]]
['aif', [26277, 26280]]
['aif', [26423, 26426]]
['aif', [26573, 26576]]
['aif', [26756, 26759]]
['aif', [26894, 26897]]
['aif', [27834, 27837]]
['aif', [27962, 27965]]
['aif', [28655, 28658]]
['aif', [28790, 28793]]
['aif', [28962, 28965]]
['aif', [36477, 36480]]
['aif', [36858, 36861]]
['aif', [36974, 36977]]
['aif', [44577, 44580]]
['aif', [46411, 46414]]
['aif', [46513, 46516]]
['aif', [46664, 46667]]
['aif', [46738, 46741]]
['aif', [47102, 47105]]
['aif', [47189, 47192]]
['aif', [47278, 47281]]
['aif', [47436, 47439]]
['aif', [47518, 47521]]
['aif', [47731, 47734]]
['aif', [47877, 47880]]
['aif', [48027, 48030]]
['aif', [48210, 48213]]
['aif', [48349, 48352]]
['aif', [49289, 49292]]
['aif', [49417, 49420]]
['aif', [50110, 50113]]
['aif', [50245, 50248]]
['aif', [50417, 50420]]
['aif', [57933, 57936]]
['aif', [58314, 58317]]
['aif', [58430, 58433]]
['aif', [60517, 60520]]
['aif', [60726, 60729]]
['aif', [61400, 61403]]
['aif', [61669, 61672]]
['aif', [61700, 61703]]
['aif', [62143, 62146]]
['mitochondria-deficient', [1087, 1109]]
['\\?', [1110, 1112]]
['\\?', [6389, 6391]]
['\\?', [6565, 6567]]
['\\?', [7498, 7500]]
['\\?', [10273, 10275]]
['\\?', [11707, 11709]]
['\\?', [11883, 11885]]
['\\?', [12818, 12820]]
['\\?', [15597, 15599]]
['\\?', [16404, 16406]]
['\\?', [16489, 16491]]
['\\?', [16579, 16581]]
['\\?', [16834, 16836]]
['\\?', [19508, 19510]]
['\\?', [19773, 19775]]
['\\?', [20794, 20796]]
['\\?', [20863, 20865]]
['\\?', [23024, 23026]]
['\\?', [23238, 23240]]
['\\?', [25018, 25020]]
['\\?', [25772, 25774]]
['\\?', [27742, 27744]]
['\\?', [28555, 28557]]
['\\?', [28739, 28741]]
['\\?', [29103, 29105]]
['\\?', [29266, 29268]]
['\\?', [29404, 29406]]
['\\?', [29420, 29422]]
['\\?', [29497, 29499]]
['\\?', [29586, 29588]]
['\\?', [30637, 30639]]
['\\?', [30878, 30880]]
['\\?', [30903, 30905]]
['\\?', [31228, 31230]]
['\\?', [31274, 31276]]
['\\?', [32561, 32563]]
['\\?', [32593, 32595]]
['\\?', [37857, 37859]]
['\\?', [37942, 37944]]
['\\?', [38032, 38034]]
['\\?', [38287, 38289]]
['\\?', [40962, 40964]]
['\\?', [41227, 41229]]
['\\?', [42248, 42250]]
['\\?', [42317, 42319]]
['\\?', [44478, 44480]]
['\\?', [44692, 44694]]
['\\?', [46472, 46474]]
['\\?', [47226, 47228]]
['\\?', [49197, 49199]]
['\\?', [50010, 50012]]
['\\?', [50194, 50196]]
['\\?', [50558, 50560]]
['\\?', [50721, 50723]]
['\\?', [50859, 50861]]
