['igf', [29210, 29213]]
['igf', [29346, 29349]]
['igf', [29418, 29421]]
['igf', [29451, 29454]]
['igf', [29477, 29480]]
['igf', [29930, 29933]]
['igf', [30162, 30165]]
['igf', [30723, 30726]]
['igf', [30795, 30798]]
['igf', [30974, 30977]]
['igf', [31699, 31702]]
['igf', [31822, 31825]]
['igf', [32252, 32255]]
['igf', [32427, 32430]]
['igf', [32564, 32567]]
['igf', [32655, 32658]]
['igf', [32797, 32800]]
['igf', [32824, 32827]]
['igf', [32882, 32885]]
['igf', [33366, 33369]]
['igf', [33596, 33599]]
['igf', [33927, 33930]]
['igf', [34063, 34066]]
['igf', [34284, 34287]]
['igf', [34473, 34476]]
['igf', [34521, 34524]]
['igf', [34565, 34568]]
['igf', [34620, 34623]]
['igf', [34741, 34744]]
['igf', [34797, 34800]]
['igf', [34949, 34952]]
['igf', [34992, 34995]]
['igf', [35195, 35198]]
['igf', [35304, 35307]]
['igf', [35443, 35446]]
['igf', [35604, 35607]]
['igf', [35691, 35694]]
['igf', [35938, 35941]]
['igf', [36026, 36029]]
['igf', [36167, 36170]]
['igf', [36327, 36330]]
['igf', [36390, 36393]]
['igf', [36547, 36550]]
['igf', [37015, 37018]]
['igf', [37117, 37120]]
['igf', [37174, 37177]]
['igf', [37283, 37286]]
['igf', [37336, 37339]]
['igf', [37509, 37512]]
['igf', [37663, 37666]]
['igf', [37698, 37701]]
['igf', [37924, 37927]]
['igf', [37958, 37961]]
['igf', [38035, 38038]]
['igf', [38090, 38093]]
['igf', [38131, 38134]]
['igf', [38169, 38172]]
['igf', [38270, 38273]]
['igf', [38406, 38409]]
['igf', [38478, 38481]]
['igf', [38511, 38514]]
['igf', [38537, 38540]]
['igf', [38990, 38993]]
['igf', [39222, 39225]]
['igf', [39783, 39786]]
['igf', [39855, 39858]]
['igf', [40034, 40037]]
['igf', [40759, 40762]]
['igf', [40882, 40885]]
['igf', [41312, 41315]]
['igf', [41487, 41490]]
['igf', [41616, 41619]]
['igf', [41707, 41710]]
['igf', [41849, 41852]]
['igf', [41876, 41879]]
['igf', [41934, 41937]]
['igf', [42418, 42421]]
['igf', [42648, 42651]]
['igf', [42979, 42982]]
['igf', [43115, 43118]]
['igf', [43336, 43339]]
['igf', [43525, 43528]]
['igf', [43573, 43576]]
['igf', [43617, 43620]]
['igf', [43672, 43675]]
['igf', [43793, 43796]]
['igf', [43849, 43852]]
['igf', [44001, 44004]]
['igf', [44044, 44047]]
['igf', [44247, 44250]]
['igf', [44356, 44359]]
['igf', [44495, 44498]]
['igf', [44656, 44659]]
['igf', [44743, 44746]]
['igf', [45017, 45020]]
['igf', [45108, 45111]]
['igf', [45250, 45253]]
['igf', [45277, 45280]]
['igf', [45335, 45338]]
['igf', [45819, 45822]]
['igf', [46049, 46052]]
['igf', [46380, 46383]]
['igf', [46516, 46519]]
['igf', [46737, 46740]]
['igf', [46926, 46929]]
['igf', [46974, 46977]]
['igf', [47018, 47021]]
['igf', [47073, 47076]]
['igf', [47194, 47197]]
['igf', [47250, 47253]]
['igf', [47402, 47405]]
['igf', [47445, 47448]]
['igf', [47648, 47651]]
['igf', [47757, 47760]]
['igf', [47896, 47899]]
['igf', [48057, 48060]]
['igf', [48144, 48147]]
['igf', [48392, 48395]]
['igf', [48480, 48483]]
['igf', [48621, 48624]]
['igf', [48781, 48784]]
['igf', [48844, 48847]]
['igf', [49001, 49004]]
['igf', [49469, 49472]]
['igf', [49571, 49574]]
['igf', [49628, 49631]]
['igf', [49737, 49740]]
['igf', [49790, 49793]]
['igf', [49963, 49966]]
['igf', [50117, 50120]]
['igf', [50152, 50155]]
['igf', [50378, 50381]]
['igf', [50412, 50415]]
['igf', [50489, 50492]]
['igf', [50544, 50547]]
['igf', [50585, 50588]]
['igf', [50623, 50626]]
['igf', [50724, 50727]]
['igf', [50860, 50863]]
['igf', [50932, 50935]]
['igf', [50965, 50968]]
['igf', [50991, 50994]]
['igf', [51444, 51447]]
['igf', [51676, 51679]]
['igf', [51883, 51886]]
['igf', [51971, 51974]]
['igf', [52112, 52115]]
['igf', [52272, 52275]]
['igf', [52335, 52338]]
['igf', [52492, 52495]]
['igf', [52960, 52963]]
['igf', [53062, 53065]]
['igf', [53119, 53122]]
['igf', [53228, 53231]]
['igf', [53281, 53284]]
['igf', [53454, 53457]]
['igf', [53608, 53611]]
['igf', [53643, 53646]]
['igf', [53869, 53872]]
['igf', [53903, 53906]]
['igf', [53980, 53983]]
['igf', [54035, 54038]]
['igf', [54076, 54079]]
['igf', [54114, 54117]]
['igf', [54215, 54218]]
['igf', [54351, 54354]]
['igf', [54423, 54426]]
['igf', [54456, 54459]]
['igf', [54482, 54485]]
['igf', [54935, 54938]]
['igf', [55167, 55170]]
['igf', [55729, 55732]]
['igf', [55801, 55804]]
['igf', [55980, 55983]]
['igf', [56669, 56672]]
['igf', [56741, 56744]]
['igf', [56920, 56923]]
['igf', [57646, 57649]]
['igf', [57769, 57772]]
['igf', [58199, 58202]]
['igf', [58374, 58377]]
['igf', [58869, 58872]]
['igf', [58992, 58995]]
['igf', [59422, 59425]]
['igf', [59597, 59600]]
['igf', [59773, 59776]]
['igf', [59956, 59959]]
['igf', [60023, 60026]]
['igf', [60206, 60209]]
['igf', [60326, 60329]]
['igf', [60345, 60348]]
['igf', [60397, 60400]]
['igf', [60459, 60462]]
['igf', [60516, 60519]]
['igf', [60662, 60665]]
['igf', [60765, 60768]]
['igf', [60821, 60824]]
['igf', [60928, 60931]]
['igf', [60937, 60940]]
['igf', [61270, 61273]]
['igf', [61408, 61411]]
['igf', [62214, 62217]]
['igf', [62221, 62224]]
['igf', [62360, 62363]]
['igf', [62485, 62488]]
['igf', [62508, 62511]]
['igf', [62683, 62686]]
['igf', [62718, 62721]]
['igf', [62818, 62821]]
['igf', [62862, 62865]]
['igf', [63003, 63006]]
['igf', [63047, 63050]]
['igf', [63102, 63105]]
['igf', [63196, 63199]]
['igf', [63405, 63408]]
['igf', [63618, 63621]]
['igf', [63637, 63640]]
['igf', [63714, 63717]]
['igf', [63857, 63860]]
['igf', [64002, 64005]]
['igf', [64060, 64063]]
['igf', [64179, 64182]]
['igf', [64983, 64986]]
['igf', [65151, 65154]]
['igf', [65245, 65248]]
['igf', [65349, 65352]]
['igf', [65619, 65622]]
['igf', [66391, 66394]]
['igf', [66479, 66482]]
['igf', [66682, 66685]]
['igf', [66844, 66847]]
['igf', [67220, 67223]]
['igf', [68566, 68569]]
['igf', [68802, 68805]]
['igf', [68966, 68969]]
['igf', [69181, 69184]]
['igf', [69379, 69382]]
['igf', [69493, 69496]]
['igf', [69650, 69653]]
['igf', [69740, 69743]]
