['a', [8364, 8365]]
['a', [8378, 8379]]
['a', [8382, 8383]]
['a', [8384, 8385]]
['a', [8392, 8393]]
['a', [8399, 8400]]
['a', [8439, 8440]]
['a', [8449, 8450]]
['a', [8463, 8464]]
['a', [8502, 8503]]
['a', [8508, 8509]]
['a', [8515, 8516]]
['a', [8525, 8526]]
['a', [8562, 8563]]
['a', [8570, 8571]]
['a', [8605, 8606]]
['a', [8619, 8620]]
['a', [8624, 8625]]
['a', [8627, 8628]]
['a', [8634, 8635]]
['a', [8649, 8650]]
['a', [8665, 8666]]
['a', [8688, 8689]]
['a', [8720, 8721]]
['a', [8733, 8734]]
['a', [8740, 8741]]
['a', [8746, 8747]]
['a', [8774, 8775]]
['a', [8803, 8804]]
['a', [8805, 8806]]
['a', [8811, 8812]]
['a', [8818, 8819]]
['a', [8821, 8822]]
['a', [8833, 8834]]
['a', [8835, 8836]]
['a', [8838, 8839]]
['a', [8842, 8843]]
['a', [8862, 8863]]
['a', [8875, 8876]]
['a', [8904, 8905]]
['a', [8918, 8919]]
['a', [8921, 8922]]
['a', [8931, 8932]]
['a', [8950, 8951]]
['a', [8965, 8966]]
['a', [8969, 8970]]
['a', [8974, 8975]]
['a', [9013, 9014]]
['a', [9017, 9018]]
['a', [9020, 9021]]
['a', [9033, 9034]]
['a', [9052, 9053]]
['a', [9066, 9067]]
['a', [9075, 9076]]
['a', [9084, 9085]]
['a', [9090, 9091]]
['a', [9094, 9095]]
['a', [9112, 9113]]
['a', [9117, 9118]]
['a', [9125, 9126]]
['a', [9138, 9139]]
['a', [9144, 9145]]
['a', [9158, 9159]]
['a', [9184, 9185]]
['a', [9216, 9217]]
['a', [9234, 9235]]
['a', [9277, 9278]]
['a', [9284, 9285]]
['a', [9297, 9298]]
['a', [9332, 9333]]
['a', [9336, 9337]]
['a', [9344, 9345]]
['a', [9350, 9351]]
['a', [9377, 9378]]
['a', [9400, 9401]]
['a', [9421, 9422]]
['a', [9433, 9434]]
['a', [9440, 9441]]
['a', [9445, 9446]]
['a', [9455, 9456]]
['a', [9469, 9470]]
['a', [9474, 9475]]
['a', [9481, 9482]]
['a', [9504, 9505]]
['a', [9506, 9507]]
['a', [9514, 9515]]
['a', [9538, 9539]]
['a', [9545, 9546]]
['a', [9553, 9554]]
['a', [9557, 9558]]
['a', [9575, 9576]]
['a', [9593, 9594]]
['a', [9606, 9607]]
['a', [9618, 9619]]
['a', [9625, 9626]]
['a', [9632, 9633]]
['a', [9652, 9653]]
['a', [9656, 9657]]
['a', [9670, 9671]]
['a', [9676, 9677]]
['a', [9688, 9689]]
['a', [9691, 9692]]
['a', [9694, 9695]]
['a', [9700, 9701]]
['a', [9708, 9709]]
['a', [9731, 9732]]
['a', [9733, 9734]]
['a', [9749, 9750]]
['a', [9778, 9779]]
['a', [9787, 9788]]
['a', [9797, 9798]]
['a', [9802, 9803]]
['a', [9804, 9805]]
['a', [9822, 9823]]
['a', [9841, 9842]]
['a', [9848, 9849]]
['a', [9860, 9861]]
['a', [9865, 9866]]
['a', [9868, 9869]]
['a', [9875, 9876]]
['a', [9882, 9883]]
['a', [9900, 9901]]
['a', [9916, 9917]]
['a', [9948, 9949]]
['a', [9963, 9964]]
['a', [9975, 9976]]
['a', [9978, 9979]]
['a', [9986, 9987]]
['a', [9997, 9998]]
['a', [10007, 10008]]
['a', [10060, 10061]]
['a', [10062, 10063]]
['a', [10076, 10077]]
['a', [10093, 10094]]
['a', [10100, 10101]]
['a', [10109, 10110]]
['a', [10124, 10125]]
['a', [10130, 10131]]
['a', [10142, 10143]]
['a', [10156, 10157]]
['a', [10168, 10169]]
['a', [10174, 10175]]
['a', [10179, 10180]]
['a', [10198, 10199]]
['a', [10203, 10204]]
['a', [10247, 10248]]
['a', [10249, 10250]]
['a', [10270, 10271]]
['a', [10280, 10281]]
['a', [10285, 10286]]
['a', [10290, 10291]]
['a', [10298, 10299]]
['a', [10302, 10303]]
['a', [10307, 10308]]
['a', [10311, 10312]]
['a', [10326, 10327]]
['a', [10331, 10332]]
['a', [10351, 10352]]
['a', [10364, 10365]]
['a', [10373, 10374]]
['a', [10375, 10376]]
['a', [10382, 10383]]
['a', [10385, 10386]]
['a', [10403, 10404]]
['a', [10411, 10412]]
['a', [10422, 10423]]
['a', [10429, 10430]]
['a', [10434, 10435]]
['a', [10444, 10445]]
['a', [10472, 10473]]
['a', [10476, 10477]]
['a', [10485, 10486]]
['a', [10492, 10493]]
['a', [10496, 10497]]
['a', [10515, 10516]]
['a', [10566, 10567]]
['a', [10572, 10573]]
['a', [10587, 10588]]
['a', [10590, 10591]]
['a', [10595, 10596]]
['a', [10650, 10651]]
['a', [10669, 10670]]
['a', [10702, 10703]]
['a', [10704, 10705]]
['a', [10706, 10707]]
['a', [10708, 10709]]
['a', [10715, 10716]]
['a', [10721, 10722]]
['a', [10740, 10741]]
['a', [10747, 10748]]
['a', [10761, 10762]]
['a', [10768, 10769]]
['a', [10772, 10773]]
['a', [10785, 10786]]
['a', [10796, 10797]]
['a', [10807, 10808]]
['a', [10809, 10810]]
['a', [10822, 10823]]
['a', [10836, 10837]]
['a', [10856, 10857]]
['a', [10876, 10877]]
['a', [10883, 10884]]
['a', [10892, 10893]]
['a', [10927, 10928]]
['a', [10960, 10961]]
['a', [10975, 10976]]
['a', [11009, 11010]]
['a', [11016, 11017]]
['a', [11029, 11030]]
['a', [11036, 11037]]
['a', [11043, 11044]]
['a', [11067, 11068]]
['a', [11088, 11089]]
['a', [11100, 11101]]
['a', [11104, 11105]]
