['1', [30104, 30105]]
['1', [31109, 31110]]
['1', [31518, 31519]]
['1', [31717, 31718]]
['1', [31745, 31746]]
['1', [31780, 31781]]
['1', [31815, 31816]]
['1', [32619, 32620]]
['1', [32647, 32648]]
['1', [32672, 32673]]
['1', [32682, 32683]]
['1', [32707, 32708]]
['1', [32717, 32718]]
['1', [32975, 32976]]
['1', [33015, 33016]]
['1', [33025, 33026]]
['1', [33550, 33551]]
['1', [33578, 33579]]
['1', [33613, 33614]]
['1', [33648, 33649]]
['1', [33890, 33891]]
['1', [33938, 33939]]
['1', [33942, 33943]]
['1', [33958, 33959]]
['1', [34000, 34001]]
['1', [34570, 34571]]
['1', [34627, 34628]]
['1', [35219, 35220]]
['1', [35241, 35242]]
['1', [35403, 35404]]
['1', [35412, 35413]]
['1', [35737, 35738]]
['1', [35886, 35887]]
['1', [35956, 35957]]
['1', [35959, 35960]]
['1', [35981, 35982]]
['1', [35984, 35985]]
['1', [36021, 36022]]
['1', [36198, 36199]]
['1', [36250, 36251]]
['1', [36308, 36309]]
['1', [36311, 36312]]
['1', [36328, 36329]]
['1', [36355, 36356]]
['1', [36367, 36368]]
['1', [37372, 37373]]
['1', [37781, 37782]]
['1', [37980, 37981]]
['1', [38008, 38009]]
['1', [38043, 38044]]
['1', [38078, 38079]]
['1', [38882, 38883]]
['1', [38910, 38911]]
['1', [38935, 38936]]
['1', [38945, 38946]]
['1', [38970, 38971]]
['1', [38980, 38981]]
['1', [39238, 39239]]
['1', [39278, 39279]]
['1', [39288, 39289]]
['1', [39813, 39814]]
['1', [39841, 39842]]
['1', [39876, 39877]]
['1', [39911, 39912]]
['1', [40153, 40154]]
['1', [40201, 40202]]
['1', [40205, 40206]]
['1', [40221, 40222]]
['1', [40263, 40264]]
['1', [40833, 40834]]
['1', [40890, 40891]]
['1', [41482, 41483]]
['1', [41504, 41505]]
['1', [41666, 41667]]
['1', [41675, 41676]]
['1', [41992, 41993]]
['1', [42141, 42142]]
['1', [42211, 42212]]
['1', [42214, 42215]]
['1', [42236, 42237]]
['1', [42239, 42240]]
['1', [42276, 42277]]
['1', [42453, 42454]]
['1', [42505, 42506]]
['1', [42563, 42564]]
['1', [42566, 42567]]
['1', [42583, 42584]]
['1', [42610, 42611]]
['1', [42622, 42623]]
['1', [43627, 43628]]
['1', [43911, 43912]]
['1', [44060, 44061]]
['1', [44130, 44131]]
['1', [44133, 44134]]
['1', [44155, 44156]]
['1', [44158, 44159]]
['1', [44195, 44196]]
['1', [44372, 44373]]
['1', [44424, 44425]]
['1', [44482, 44483]]
['1', [44485, 44486]]
['1', [44502, 44503]]
['1', [44529, 44530]]
['1', [44541, 44542]]
['1', [45546, 45547]]
['1', [45956, 45957]]
['1', [46155, 46156]]
['1', [46183, 46184]]
['1', [46218, 46219]]
['1', [46253, 46254]]
['1', [46786, 46787]]
['1', [46985, 46986]]
