['and', [62952, 62955]]
['and', [62961, 62964]]
['and', [63168, 63171]]
['and', [63228, 63231]]
['and', [63445, 63448]]
['and', [63511, 63514]]
['and', [63515, 63518]]
['and', [63627, 63630]]
['and', [63653, 63656]]
['and', [63911, 63914]]
['and', [63922, 63925]]
['and', [63941, 63944]]
['and', [63993, 63996]]
['and', [64287, 64290]]
['and', [64323, 64326]]
['and', [64391, 64394]]
['and', [64577, 64580]]
['and', [64833, 64836]]
['and', [65571, 65574]]
['and', [65749, 65752]]
['and', [65816, 65819]]
['and', [66446, 66449]]
['and', [66505, 66508]]
['and', [66534, 66537]]
['and', [66585, 66588]]
['and', [66867, 66870]]
['and', [67567, 67570]]
['and', [69805, 69808]]
['and', [69965, 69968]]
['and', [70164, 70167]]
['and', [70224, 70227]]
['and', [71291, 71294]]
['and', [71454, 71457]]
['and', [71636, 71639]]
['and', [71760, 71763]]
['and', [72094, 72097]]
['and', [72328, 72331]]
['and', [72456, 72459]]
['and', [72465, 72468]]
['and', [72672, 72675]]
['and', [72732, 72735]]
['and', [72949, 72952]]
['and', [73015, 73018]]
['and', [73019, 73022]]
['and', [73131, 73134]]
['and', [73157, 73160]]
['and', [73415, 73418]]
['and', [73426, 73429]]
['and', [73445, 73448]]
['and', [73497, 73500]]
['mature', [1855, 1861]]
['mature', [1866, 1872]]
['mature', [57680, 57686]]
['mature', [67184, 67190]]
['myeloid', [62, 69]]
['myeloid', [1873, 1880]]
['myeloid', [2862, 2869]]
['myeloid', [4951, 4958]]
['myeloid', [26576, 26583]]
['myeloid', [29443, 29450]]
['myeloid', [29553, 29560]]
['myeloid', [36204, 36211]]
['myeloid', [36314, 36321]]
