['sbs', [38541, 38544]]
['sbs', [38794, 38797]]
['sbs', [39402, 39405]]
['sbs', [41565, 41568]]
['sbs', [41679, 41682]]
['sbs', [42269, 42272]]
['sbs', [44092, 44095]]
['sbs', [44249, 44252]]
['sbs', [44897, 44900]]
['sbs', [45238, 45241]]
['sbs', [45449, 45452]]
['sbs', [46137, 46140]]
['sbs', [46224, 46227]]
['sbs', [46343, 46346]]
['sbs', [46604, 46607]]
['sbs', [46727, 46730]]
['sbs', [46802, 46805]]
['sbs', [47055, 47058]]
['sbs', [47663, 47666]]
['sbs', [49826, 49829]]
['sbs', [49940, 49943]]
['sbs', [50530, 50533]]
['sbs', [52353, 52356]]
['sbs', [52510, 52513]]
['sbs', [53158, 53161]]
['sbs', [53499, 53502]]
['sbs', [53710, 53713]]
['sbs', [54398, 54401]]
['sbs', [54485, 54488]]
['sbs', [54604, 54607]]
['sbs', [54865, 54868]]
['sbs', [54920, 54923]]
['sbs', [55020, 55023]]
['sbs', [55166, 55169]]
['sbs', [59710, 59713]]
['sbs', [59810, 59813]]
['sbs', [59956, 59959]]
['n\\=10', [5719, 5724]]
['n\\=10', [12544, 12549]]
['gcrc', [6559, 6563]]
['gcrc', [6690, 6694]]
['gcrc', [6917, 6921]]
['gcrc', [9772, 9776]]
['gcrc', [9867, 9871]]
['gcrc', [13384, 13388]]
['gcrc', [13515, 13519]]
['gcrc', [13743, 13747]]
['gcrc', [16598, 16602]]
['gcrc', [16693, 16697]]
['ga', [1503, 1505]]
['ga', [4537, 4539]]
['ga', [6604, 6606]]
['ga', [6939, 6941]]
['ga', [9674, 9676]]
['ga', [9805, 9807]]
['ga', [13429, 13431]]
['ga', [13765, 13767]]
['ga', [16500, 16502]]
['ga', [16631, 16633]]
['ga', [23433, 23435]]
['ga', [28666, 28668]]
['ga', [35880, 35882]]
['ga', [37662, 37664]]
['irb', [6657, 6660]]
['irb', [13482, 13485]]
['rdas', [8201, 8205]]
['rdas', [15027, 15031]]
['rda', [8201, 8204]]
['rda', [8274, 8277]]
['rda', [15027, 15030]]
