['pap', [66164, 66167]]
['pap', [66366, 66369]]
['pap', [66491, 66494]]
['pap', [66596, 66599]]
['pap', [66709, 66712]]
['pap', [68506, 68509]]
['pap', [69168, 69171]]
['pap', [69290, 69293]]
['pap', [71311, 71314]]
['pap', [71886, 71889]]
['pap', [72098, 72101]]
['pap', [72893, 72896]]
['pap', [73095, 73098]]
['pap', [73220, 73223]]
['pap', [73325, 73328]]
['pap', [73438, 73441]]
['pap', [75235, 75238]]
['pap', [75897, 75900]]
['pap', [76019, 76022]]
['pap', [77078, 77081]]
['pap', [77153, 77156]]
['pap', [77470, 77473]]
['pap', [77618, 77621]]
['pap', [77727, 77730]]
['pap', [77914, 77917]]
['pap', [78004, 78007]]
['pap', [78080, 78083]]
['pap', [78204, 78207]]
['pap', [78329, 78332]]
['pap', [79470, 79473]]
['pap', [79506, 79509]]
['pap', [79540, 79543]]
['pap', [81525, 81528]]
['pap', [82591, 82594]]
['pap', [82666, 82669]]
['pap', [82983, 82986]]
['pap', [83131, 83134]]
['pap', [83240, 83243]]
['pap', [83427, 83430]]
['pap', [83517, 83520]]
['pap', [83593, 83596]]
['pap', [83717, 83720]]
['pap', [83842, 83845]]
['pap', [84983, 84986]]
['pap', [85019, 85022]]
['pap', [85053, 85056]]
['pap', [87038, 87041]]
['data', [403, 407]]
['data', [1502, 1506]]
['data', [7555, 7559]]
['data', [7661, 7665]]
['data', [7932, 7936]]
['data', [8175, 8179]]
['data', [8311, 8315]]
['data', [8922, 8926]]
['data', [8977, 8981]]
['data', [9753, 9757]]
['data', [9911, 9915]]
['data', [10499, 10503]]
['data', [10519, 10523]]
['data', [10632, 10636]]
['data', [10981, 10985]]
['data', [11140, 11144]]
['data', [11232, 11236]]
['data', [11312, 11316]]
['data', [12633, 12637]]
['data', [15453, 15457]]
['data', [19795, 19799]]
['data', [20128, 20132]]
['data', [20163, 20167]]
['data', [20235, 20239]]
['data', [20298, 20302]]
['data', [21224, 21228]]
['data', [25332, 25336]]
['data', [27661, 27665]]
['data', [27767, 27771]]
['data', [28038, 28042]]
['data', [28281, 28285]]
['data', [28417, 28421]]
['data', [29028, 29032]]
['data', [29083, 29087]]
['data', [29859, 29863]]
['data', [30017, 30021]]
['data', [30605, 30609]]
['data', [30625, 30629]]
['data', [30738, 30742]]
['data', [31087, 31091]]
['data', [31246, 31250]]
['data', [31338, 31342]]
['data', [31418, 31422]]
['data', [32739, 32743]]
['data', [35560, 35564]]
['data', [39903, 39907]]
['data', [40236, 40240]]
['data', [40271, 40275]]
['data', [40343, 40347]]
['data', [40406, 40410]]
['data', [41332, 41336]]
['data', [45440, 45444]]
['data', [47806, 47810]]
