['fitc', [16282, 16286]]
['fitc', [16473, 16477]]
['fitc', [19616, 19620]]
['fitc', [19923, 19927]]
['fitc', [33146, 33150]]
['fitc', [33345, 33349]]
['fitc', [33698, 33702]]
['fitc', [56916, 56920]]
['fitc', [57115, 57119]]
['fitc', [57468, 57472]]
['fitc', [62834, 62838]]
['fitc', [62904, 62908]]
['fitc', [63079, 63083]]
['hplc', [5369, 5373]]
['hplc', [13490, 13494]]
['sheep', [5814, 5819]]
['sheep', [9018, 9023]]
['sheep', [13935, 13940]]
['sheep', [17141, 17146]]
['sheep', [27544, 27549]]
['sheep', [28430, 28435]]
['sheep', [41540, 41545]]
['sheep', [42426, 42431]]
['sheep', [51311, 51316]]
['sheep', [52198, 52203]]
['sheep', [60762, 60767]]
['sheep', [60995, 61000]]
['sheep', [61250, 61255]]
['sheep', [61415, 61420]]
['sheep', [61828, 61833]]
['sheep', [62081, 62086]]
['red', [1811, 1814]]
['red', [1981, 1984]]
['red', [3082, 3085]]
['red', [3684, 3687]]
['red', [4135, 4138]]
['red', [4640, 4643]]
['red', [5820, 5823]]
['red', [6102, 6105]]
['red', [6836, 6839]]
['red', [7344, 7347]]
['red', [7914, 7917]]
['red', [8101, 8104]]
['red', [8802, 8805]]
['red', [8908, 8911]]
['red', [8920, 8923]]
['red', [9234, 9237]]
['red', [9568, 9571]]
['red', [11632, 11635]]
['red', [11743, 11746]]
['red', [12012, 12015]]
['red', [12554, 12557]]
['red', [12675, 12678]]
['red', [12980, 12983]]
['red', [13941, 13944]]
['red', [14223, 14226]]
['red', [14958, 14961]]
['red', [15466, 15469]]
['red', [16036, 16039]]
['red', [16223, 16226]]
['red', [16925, 16928]]
['red', [17031, 17034]]
['red', [17043, 17046]]
['red', [17357, 17360]]
['red', [17691, 17694]]
['red', [19758, 19761]]
['red', [19869, 19872]]
['red', [20138, 20141]]
['red', [20681, 20684]]
['red', [20802, 20805]]
['red', [21107, 21110]]
['red', [22036, 22039]]
['red', [22329, 22332]]
['red', [23271, 23274]]
['red', [24605, 24608]]
['red', [25306, 25309]]
['red', [27782, 27785]]
['red', [29503, 29506]]
['red', [29864, 29867]]
['red', [30949, 30952]]
['red', [31411, 31414]]
['red', [36032, 36035]]
['red', [36325, 36328]]
['red', [37267, 37270]]
['red', [38601, 38604]]
['red', [39302, 39305]]
['red', [41778, 41781]]
['red', [43499, 43502]]
['red', [43860, 43863]]
['red', [44945, 44948]]
['red', [45801, 45804]]
['red', [46094, 46097]]
['red', [47036, 47039]]
['red', [48370, 48373]]
['red', [49071, 49074]]
['red', [51549, 51552]]
['red', [53271, 53274]]
['red', [53632, 53635]]
['red', [54717, 54720]]
['red', [55180, 55183]]
['red', [59529, 59532]]
['red', [62942, 62945]]
['red', [63471, 63474]]
['blood', [5824, 5829]]
['blood', [13945, 13950]]
['rbcs', [5837, 5841]]
['rbcs', [9024, 9028]]
['rbcs', [9200, 9204]]
['rbcs', [9254, 9258]]
['rbcs', [9816, 9820]]
['rbcs', [9858, 9862]]
['rbcs', [13958, 13962]]
['rbcs', [17147, 17151]]
['rbcs', [17323, 17327]]
['rbcs', [17377, 17381]]
['rbcs', [17939, 17943]]
['rbcs', [17981, 17985]]
['rbcs', [27115, 27119]]
['rbcs', [27550, 27554]]
['rbcs', [28593, 28597]]
['rbcs', [28781, 28785]]
['rbcs', [41111, 41115]]
['rbcs', [41546, 41550]]
['rbcs', [42589, 42593]]
['rbcs', [42777, 42781]]
['rbcs', [50882, 50886]]
['rbcs', [51317, 51321]]
['rbcs', [52361, 52365]]
['rbcs', [52549, 52553]]
['rbcs', [60768, 60772]]
['rbcs', [61001, 61005]]
['rbcs', [61256, 61260]]
['rbcs', [61421, 61425]]
['rbcs', [61739, 61743]]
['rbcs', [62087, 62091]]
['tcs', [5863, 5866]]
['tcs', [13984, 13987]]
['fbs', [6068, 6071]]
['fbs', [10024, 10027]]
['fbs', [10443, 10446]]
['fbs', [14189, 14192]]
['fbs', [18148, 18151]]
['fbs', [18568, 18571]]
['d-pbs', [6114, 6119]]
['d-pbs', [10850, 10855]]
['d-pbs', [10956, 10961]]
['d-pbs', [11222, 11227]]
['d-pbs', [11967, 11972]]
['d-pbs', [12933, 12938]]
['d-pbs', [14235, 14240]]
['d-pbs', [18975, 18980]]
['d-pbs', [19081, 19086]]
['d-pbs', [19347, 19352]]
['d-pbs', [20093, 20098]]
['d-pbs', [21060, 21065]]
['g', [35, 36]]
['g', [174, 175]]
['g', [181, 182]]
['g', [370, 371]]
['g', [522, 523]]
['g', [555, 556]]
['g', [565, 566]]
['g', [597, 598]]
['g', [609, 610]]
['g', [731, 732]]
['g', [957, 958]]
['g', [978, 979]]
['g', [1099, 1100]]
['g', [1188, 1189]]
['g', [1228, 1229]]
['g', [1267, 1268]]
['g', [1365, 1366]]
['g', [1397, 1398]]
['g', [1509, 1510]]
['g', [1563, 1564]]
['g', [1640, 1641]]
['g', [1646, 1647]]
['g', [1751, 1752]]
['g', [1820, 1821]]
['g', [1856, 1857]]
['g', [1951, 1952]]
['g', [2049, 2050]]
['g', [2156, 2157]]
['g', [2203, 2204]]
['g', [2320, 2321]]
['g', [2565, 2566]]
['g', [2584, 2585]]
['g', [2605, 2606]]
['g', [2768, 2769]]
['g', [2924, 2925]]
['g', [2973, 2974]]
['g', [2985, 2986]]
['g', [2994, 2995]]
['g', [3031, 3032]]
['g', [3045, 3046]]
['g', [3117, 3118]]
['g', [3174, 3175]]
['g', [3237, 3238]]
['g', [3247, 3248]]
['g', [3257, 3258]]
['g', [3279, 3280]]
['g', [3311, 3312]]
['g', [3352, 3353]]
