['wnt5a', [64125, 64130]]
['wnt5a', [64268, 64273]]
['wnt5a', [64311, 64316]]
['wnt5a', [64497, 64502]]
['wnt5a', [64595, 64600]]
['wnt5a', [64695, 64700]]
['wnt5a', [64980, 64985]]
['wnt5a', [65075, 65080]]
['wnt5a', [65110, 65115]]
['wnt5a', [65316, 65321]]
['wnt5a', [65430, 65435]]
['wnt5a', [65499, 65504]]
['wnt5a', [65566, 65571]]
['wnt5a', [65640, 65645]]
['wnt5a', [65738, 65743]]
['wnt5a', [65846, 65851]]
['wnt5a', [66039, 66044]]
['wnt5a', [66324, 66329]]
['wnt5a', [66419, 66424]]
['wnt5a', [66454, 66459]]
['wnt5a', [66660, 66665]]
['wnt5a', [66774, 66779]]
['wnt5a', [66843, 66848]]
['wnt5a', [66910, 66915]]
['wnt5a', [66984, 66989]]
['wnt5a', [67082, 67087]]
['wnt5a', [67190, 67195]]
['wnt5a', [67396, 67401]]
['wnt5a', [67499, 67504]]
['wnt5a', [67544, 67549]]
['wnt5a', [67602, 67607]]
['wnt5a', [67840, 67845]]
['wnt5a', [68049, 68054]]
['wnt5a', [68211, 68216]]
['wnt5a', [68266, 68271]]
['wnt5a', [68395, 68400]]
['wnt5a', [68756, 68761]]
['wnt5a', [68847, 68852]]
['wnt5a', [69188, 69193]]
['wnt5a', [69285, 69290]]
['wnt5a', [69346, 69351]]
['wnt5a', [69449, 69454]]
['wnt5a', [69919, 69924]]
['wnt5a', [70092, 70097]]
['wnt5a', [70330, 70335]]
['wnt5a', [70347, 70352]]
['wnt5a', [70478, 70483]]
['wnt5a', [70581, 70586]]
['wnt5a', [70626, 70631]]
['wnt5a', [70684, 70689]]
['wnt5a', [70922, 70927]]
['wnt5a', [71131, 71136]]
['wnt5a', [71293, 71298]]
['wnt5a', [71348, 71353]]
['wnt5a', [71477, 71482]]
['wnt5a', [71838, 71843]]
['wnt5a', [71929, 71934]]
['wnt5a', [72270, 72275]]
['wnt5a', [72367, 72372]]
['wnt5a', [72428, 72433]]
['wnt5a', [72531, 72536]]
['wnt5a', [73001, 73006]]
['wnt5a', [73174, 73179]]
['wnt5a', [73412, 73417]]
['wnt5a', [73429, 73434]]
['wnt5a', [73595, 73600]]
['wnt5a', [73729, 73734]]
['wnt5a', [73907, 73912]]
['wnt5a', [75009, 75014]]
['wnt5a', [75114, 75119]]
['wnt5a', [75251, 75256]]
['wnt5a', [75577, 75582]]
['wnt5a', [75711, 75716]]
['wnt5a', [76014, 76019]]
['wnt5a', [76305, 76310]]
['wnt5a', [76779, 76784]]
['wnt5a', [77277, 77282]]
['wnt5a', [77446, 77451]]
['wnt5a', [77791, 77796]]
['wnt5a', [78069, 78074]]
['wnt5a', [78087, 78092]]
['wnt5a', [78260, 78265]]
['wnt5a', [78364, 78369]]
['wnt5a', [78455, 78460]]
['wnt5a', [78578, 78583]]
['wnt5a', [78957, 78962]]
['wnt5a', [79024, 79029]]
['wnt5a', [79158, 79163]]
['wnt5a', [79336, 79341]]
['wnt5a', [80438, 80443]]
['wnt5a', [80543, 80548]]
['wnt5a', [80680, 80685]]
['wnt5a', [81006, 81011]]
['wnt5a', [81140, 81145]]
['wnt5a', [81443, 81448]]
['wnt5a', [81734, 81739]]
['wnt5a', [82208, 82213]]
['wnt5a', [82706, 82711]]
['wnt5a', [82875, 82880]]
['wnt5a', [83220, 83225]]
['wnt5a', [83498, 83503]]
['wnt5a', [83516, 83521]]
['wnt5a', [83689, 83694]]
['wnt5a', [83793, 83798]]
['wnt5a', [83884, 83889]]
['wnt5a', [84007, 84012]]
['wnt5a', [84386, 84391]]
['wnt5a', [84481, 84486]]
['wnt5a', [84557, 84562]]
