['growth', [13766, 13772]]
['growth', [14398, 14404]]
['growth', [14522, 14528]]
['growth', [16335, 16341]]
['growth', [21078, 21084]]
['growth', [21743, 21749]]
['factors', [6501, 6508]]
['factors', [6587, 6594]]
['factors', [11932, 11939]]
['factors', [12018, 12025]]
['factors', [14529, 14536]]
['factors', [21750, 21757]]
['endothelial', [12220, 12231]]
['endothelial', [13907, 13918]]
['endothelial', [14123, 14134]]
['endothelial', [14146, 14157]]
['endothelial', [14194, 14205]]
['cell', [1026, 1030]]
['cell', [4686, 4690]]
['cell', [4762, 4766]]
['cell', [4814, 4818]]
['cell', [5149, 5153]]
['cell', [5856, 5860]]
['cell', [6064, 6068]]
['cell', [6305, 6309]]
['cell', [6460, 6464]]
['cell', [6669, 6673]]
['cell', [10116, 10120]]
['cell', [10192, 10196]]
['cell', [10244, 10248]]
['cell', [10579, 10583]]
['cell', [11287, 11291]]
['cell', [11495, 11499]]
['cell', [11736, 11740]]
['cell', [11891, 11895]]
['cell', [12100, 12104]]
['cell', [12232, 12236]]
['cell', [14206, 14210]]
['cell', [15697, 15701]]
['cell', [17266, 17270]]
['cell', [17403, 17407]]
['cell', [18579, 18583]]
['cell', [21170, 21174]]
['cell', [21656, 21660]]
['vascular', [156, 164]]
['vascular', [372, 380]]
['vascular', [619, 627]]
['vascular', [12292, 12300]]
['vascular', [12907, 12915]]
['vascular', [19011, 19019]]
['neoplasms', [12301, 12310]]
['top', [5530, 5533]]
['top', [10961, 10964]]
['top', [13633, 13636]]
['top', [19564, 19567]]
['6', [1505, 1506]]
['6', [1783, 1784]]
['6', [3130, 3131]]
['6', [3985, 3986]]
['6', [4036, 4037]]
['6', [4521, 4522]]
['6', [4886, 4887]]
['6', [5321, 5322]]
['6', [5380, 5381]]
['6', [5727, 5728]]
['6', [6098, 6099]]
['6', [6436, 6437]]
['6', [6513, 6514]]
['6', [6931, 6932]]
['6', [7209, 7210]]
['6', [8557, 8558]]
['6', [9414, 9415]]
['6', [9465, 9466]]
['6', [9951, 9952]]
['6', [10316, 10317]]
['6', [10751, 10752]]
['6', [10810, 10811]]
['6', [11158, 11159]]
['6', [11529, 11530]]
['6', [11867, 11868]]
['6', [11944, 11945]]
['6', [13637, 13638]]
