['1', [51880, 51881]]
['1', [51986, 51987]]
['1', [52321, 52322]]
['1', [52339, 52340]]
['1', [52364, 52365]]
['1', [52584, 52585]]
['1', [52733, 52734]]
['1', [52847, 52848]]
['1', [53030, 53031]]
['1', [53031, 53032]]
['1', [53652, 53653]]
['1', [53653, 53654]]
['1', [54204, 54205]]
['1', [55856, 55857]]
['1', [55857, 55858]]
['1', [56850, 56851]]
['1', [57200, 57201]]
['1', [57201, 57202]]
['1', [57477, 57478]]
['1', [58381, 58382]]
['1', [58495, 58496]]
['1', [58678, 58679]]
['1', [58679, 58680]]
['1', [59300, 59301]]
['1', [59301, 59302]]
['1', [59852, 59853]]
['1', [61504, 61505]]
['1', [61505, 61506]]
['1', [62498, 62499]]
['1', [62848, 62849]]
['1', [62849, 62850]]
['1', [63125, 63126]]
['1', [64020, 64021]]
['1', [64156, 64157]]
['1', [65285, 65286]]
['1', [66615, 66616]]
['1', [66717, 66718]]
['1', [66750, 66751]]
['1', [66779, 66780]]
['1', [66809, 66810]]
['1', [66840, 66841]]
['1', [66869, 66870]]
['1', [66899, 66900]]
