['weighted', [14003, 14011]]
['weighted', [15816, 15824]]
['weighted', [19992, 20000]]
['weighted', [21805, 21813]]
['weighted', [27997, 28005]]
['weighted', [28691, 28699]]
['weighted', [31142, 31150]]
['weighted', [32723, 32731]]
['weighted', [36431, 36439]]
['weighted', [36487, 36495]]
['weighted', [36547, 36555]]
['weighted', [36851, 36859]]
['weighted', [43428, 43436]]
['weighted', [43484, 43492]]
['weighted', [43544, 43552]]
['weighted', [43848, 43856]]
['weighted', [48720, 48728]]
['sequence', [8437, 8445]]
['sequence', [8792, 8800]]
['sequence', [9054, 9062]]
['sequence', [36677, 36685]]
['sequence', [43674, 43682]]
['sequence', [48732, 48740]]
['hemorrhage', [967, 977]]
['hemorrhage', [2126, 2136]]
['hemorrhage', [3215, 3225]]
['hemorrhage', [5311, 5321]]
['hemorrhage', [7475, 7485]]
['hemorrhage', [7619, 7629]]
['hemorrhage', [11614, 11624]]
['hemorrhage', [11656, 11666]]
['hemorrhage', [11911, 11921]]
['hemorrhage', [11944, 11954]]
['hemorrhage', [12009, 12019]]
['hemorrhage', [12869, 12879]]
['hemorrhage', [13066, 13076]]
['hemorrhage', [13114, 13124]]
['hemorrhage', [13248, 13258]]
['hemorrhage', [13316, 13326]]
['hemorrhage', [13585, 13595]]
['hemorrhage', [13656, 13666]]
['hemorrhage', [14051, 14061]]
['hemorrhage', [15240, 15250]]
['hemorrhage', [15384, 15394]]
['hemorrhage', [15438, 15448]]
['hemorrhage', [15601, 15611]]
['hemorrhage', [16010, 16020]]
['hemorrhage', [17603, 17613]]
['hemorrhage', [17645, 17655]]
['hemorrhage', [17900, 17910]]
['hemorrhage', [17933, 17943]]
['hemorrhage', [17998, 18008]]
['hemorrhage', [18858, 18868]]
['hemorrhage', [19055, 19065]]
['hemorrhage', [19103, 19113]]
['hemorrhage', [19237, 19247]]
['hemorrhage', [19305, 19315]]
['hemorrhage', [19574, 19584]]
['hemorrhage', [19645, 19655]]
['hemorrhage', [20040, 20050]]
['hemorrhage', [21229, 21239]]
['hemorrhage', [21373, 21383]]
['hemorrhage', [21427, 21437]]
['hemorrhage', [21590, 21600]]
['hemorrhage', [21999, 22009]]
['hemorrhage', [23058, 23068]]
['hemorrhage', [23100, 23110]]
['hemorrhage', [23355, 23365]]
['hemorrhage', [23388, 23398]]
['hemorrhage', [23453, 23463]]
['hemorrhage', [24700, 24710]]
['hemorrhage', [24742, 24752]]
['hemorrhage', [24997, 25007]]
