['selenium', [9737, 9745]]
['selenium', [10094, 10102]]
['selenium', [10296, 10304]]
['selenium', [10525, 10533]]
['selenium', [10753, 10761]]
['selenium', [11275, 11283]]
['selenium', [11510, 11518]]
['selenium', [11866, 11874]]
['selenium', [11942, 11950]]
['selenium', [12069, 12077]]
['selenium', [12314, 12322]]
['selenium', [12442, 12450]]
['selenium', [12755, 12763]]
['selenium', [12868, 12876]]
['selenium', [13477, 13485]]
['selenium', [13564, 13572]]
['selenium', [13701, 13709]]
['selenium', [13917, 13925]]
['selenium', [13993, 14001]]
['selenium', [14162, 14170]]
['selenium', [14551, 14559]]
['selenium', [14803, 14811]]
['selenium', [14926, 14934]]
['selenium', [15049, 15057]]
['selenium', [15585, 15593]]
['selenium', [15780, 15788]]
['selenium', [15882, 15890]]
['selenium', [16087, 16095]]
['selenium', [16413, 16421]]
['selenium', [16512, 16520]]
['selenium', [16553, 16561]]
['selenium', [16667, 16675]]
['selenium', [16846, 16854]]
['selenium', [16893, 16901]]
['cancer survivor', [80, 95]]
['cancer survivor', [267, 282]]
['cancer survivor', [827, 842]]
['cancer survivor', [2008, 2023]]
['cancer survivor', [2379, 2394]]
['cancer survivor', [2400, 2415]]
['cancer survivor', [2555, 2570]]
['cancer survivor', [2926, 2941]]
['cancer survivor', [2981, 2996]]
['cancer survivor', [3310, 3325]]
['cancer survivor', [12880, 12895]]
['cancer survivor', [12979, 12994]]
['cancer survivor', [14141, 14156]]
['lack', [101, 105]]
['lack', [1892, 1896]]
['lack', [10907, 10911]]
['treatment', [109, 118]]
['treatment', [1501, 1510]]
['treatment', [1843, 1852]]
['treatment', [1900, 1909]]
['treatment', [11930, 11939]]
['treatment', [13033, 13042]]
['treatment', [13183, 13192]]
['treatment', [13260, 13269]]
['treatment', [13325, 13334]]
['treatment', [16178, 16187]]
['treatment', [16787, 16796]]
['worried', [123, 130]]
['worried', [1797, 1804]]
['worried', [1926, 1933]]
['well', [131, 135]]
['well', [1805, 1809]]
['well', [1934, 1938]]
['well', [4364, 4368]]
['well', [14967, 14971]]
['patients', [136, 144]]
