['t', [14095, 14096]]
['t', [14100, 14101]]
['t', [14105, 14106]]
['t', [14125, 14126]]
['t', [14135, 14136]]
['t', [14141, 14142]]
['t', [14144, 14145]]
['t', [14147, 14148]]
['t', [14151, 14152]]
['t', [14160, 14161]]
['t', [14167, 14168]]
['t', [14170, 14171]]
['t', [14171, 14172]]
['t', [14176, 14177]]
['t', [14196, 14197]]
['t', [14205, 14206]]
['t', [14206, 14207]]
['t', [14209, 14210]]
['t', [14210, 14211]]
['t', [14215, 14216]]
['t', [14220, 14221]]
['t', [14232, 14233]]
['t', [14240, 14241]]
['t', [14243, 14244]]
['t', [14250, 14251]]
['t', [14253, 14254]]
['t', [14256, 14257]]
['t', [14267, 14268]]
['t', [14272, 14273]]
['t', [14280, 14281]]
['t', [14281, 14282]]
['t', [14283, 14284]]
['t', [14291, 14292]]
['t', [14293, 14294]]
['t', [14298, 14299]]
['t', [14307, 14308]]
['t', [14313, 14314]]
['t', [14318, 14319]]
['t', [14319, 14320]]
['t', [14322, 14323]]
['t', [14335, 14336]]
['t', [14337, 14338]]
['t', [14339, 14340]]
['t', [14382, 14383]]
['t', [14384, 14385]]
['t', [14385, 14386]]
['t', [14386, 14387]]
['t', [14392, 14393]]
['t', [14397, 14398]]
['t', [14403, 14404]]
['t', [14423, 14424]]
['t', [14433, 14434]]
['t', [14439, 14440]]
['t', [14442, 14443]]
['t', [14445, 14446]]
['t', [14449, 14450]]
['t', [14458, 14459]]
['t', [14465, 14466]]
['t', [14468, 14469]]
['t', [14469, 14470]]
['t', [14474, 14475]]
['t', [14494, 14495]]
['t', [14503, 14504]]
['t', [14504, 14505]]
['t', [14507, 14508]]
['t', [14508, 14509]]
['t', [14513, 14514]]
['t', [14518, 14519]]
['t', [14530, 14531]]
['t', [14538, 14539]]
['t', [14541, 14542]]
['t', [14548, 14549]]
['t', [14551, 14552]]
['t', [14554, 14555]]
['t', [14625, 14626]]
['t', [14635, 14636]]
['t', [14662, 14663]]
['t', [14673, 14674]]
['t', [14686, 14687]]
['t', [14690, 14691]]
['t', [14704, 14705]]
['t', [14711, 14712]]
['t', [14721, 14722]]
['t', [14726, 14727]]
['t', [14743, 14744]]
['t', [14763, 14764]]
['t', [14803, 14804]]
['t', [14835, 14836]]
['t', [14837, 14838]]
['t', [14881, 14882]]
['t', [14888, 14889]]
['t', [14896, 14897]]
['t', [14938, 14939]]
['t', [14985, 14986]]
['t', [15016, 15017]]
['t', [15021, 15022]]
['t', [15034, 15035]]
['t', [15038, 15039]]
['t', [15043, 15044]]
['t', [15053, 15054]]
['t', [15092, 15093]]
['t', [15105, 15106]]
['t', [15122, 15123]]
['t', [15143, 15144]]
['t', [15157, 15158]]
['t', [15162, 15163]]
['t', [15170, 15171]]
['t', [15175, 15176]]
['t', [15187, 15188]]
['t', [15201, 15202]]
['t', [15210, 15211]]
['t', [15230, 15231]]
['t', [15247, 15248]]
['t', [15257, 15258]]
['t', [15261, 15262]]
['t', [15266, 15267]]
['t', [15276, 15277]]
['t', [15321, 15322]]
['t', [15330, 15331]]
['t', [15338, 15339]]
['t', [15342, 15343]]
['t', [15361, 15362]]
['t', [15370, 15371]]
['t', [15394, 15395]]
['t', [15403, 15404]]
['t', [15469, 15470]]
['t', [15481, 15482]]
['t', [15485, 15486]]
['t', [15512, 15513]]
['t', [15515, 15516]]
['t', [15529, 15530]]
['t', [15538, 15539]]
['t', [15564, 15565]]
['t', [15579, 15580]]
['t', [15639, 15640]]
['t', [15653, 15654]]
['t', [15666, 15667]]
['t', [15671, 15672]]
['t', [15680, 15681]]
['t', [15691, 15692]]
['t', [15703, 15704]]
['t', [15715, 15716]]
['t', [15719, 15720]]
['t', [15734, 15735]]
['t', [15738, 15739]]
['t', [15749, 15750]]
['t', [15758, 15759]]
['t', [15769, 15770]]
['t', [15783, 15784]]
['t', [15794, 15795]]
['t', [15796, 15797]]
['t', [15819, 15820]]
['t', [15864, 15865]]
['t', [15873, 15874]]
['t', [15898, 15899]]
['t', [15905, 15906]]
['t', [15910, 15911]]
['t', [15914, 15915]]
['t', [15935, 15936]]
['t', [15958, 15959]]
['t', [15988, 15989]]
['t', [16013, 16014]]
['t', [16067, 16068]]
['t', [16069, 16070]]
['t', [16103, 16104]]
['t', [16115, 16116]]
['t', [16126, 16127]]
['t', [16149, 16150]]
['t', [16160, 16161]]
['t', [16194, 16195]]
['t', [16199, 16200]]
['t', [16202, 16203]]
['t', [16204, 16205]]
['t', [16208, 16209]]
['t', [16216, 16217]]
['t', [16220, 16221]]
['t', [16241, 16242]]
['t', [16272, 16273]]
['t', [16321, 16322]]
['t', [16336, 16337]]
['t', [16414, 16415]]
['t', [16489, 16490]]
['t', [16529, 16530]]
['t', [16534, 16535]]
['t', [16544, 16545]]
['t', [16570, 16571]]
['t', [16572, 16573]]
['t', [16574, 16575]]
['t', [16584, 16585]]
['t', [16641, 16642]]
['t', [16647, 16648]]
['t', [16689, 16690]]
['t', [16700, 16701]]
['t', [16708, 16709]]
['t', [16730, 16731]]
['t', [16734, 16735]]
['t', [16769, 16770]]
['t', [16773, 16774]]
['t', [16781, 16782]]
['t', [16785, 16786]]
['t', [16791, 16792]]
['t', [16834, 16835]]
['t', [16863, 16864]]
['t', [16876, 16877]]
['t', [16880, 16881]]
['t', [16883, 16884]]
['t', [16906, 16907]]
['t', [16965, 16966]]
['t', [16985, 16986]]
['t', [16989, 16990]]
['t', [17000, 17001]]
['t', [17006, 17007]]
['t', [17016, 17017]]
['t', [17021, 17022]]
['t', [17047, 17048]]
['t', [17066, 17067]]
['t', [17083, 17084]]
['t', [17103, 17104]]
['t', [17115, 17116]]
['t', [17134, 17135]]
['t', [17145, 17146]]
['t', [17154, 17155]]
['t', [17163, 17164]]
['t', [17171, 17172]]
['t', [17174, 17175]]
['t', [17176, 17177]]
['t', [17223, 17224]]
['t', [17227, 17228]]
['t', [17239, 17240]]
['t', [17260, 17261]]
['t', [17268, 17269]]
['t', [17292, 17293]]
['t', [17313, 17314]]
['t', [17343, 17344]]
['t', [17368, 17369]]
['t', [17428, 17429]]
['t', [17449, 17450]]
['t', [17479, 17480]]
['t', [17484, 17485]]
['t', [17487, 17488]]
['t', [17489, 17490]]
['t', [17527, 17528]]
['t', [17538, 17539]]
['t', [17540, 17541]]
['t', [17551, 17552]]
