['nrf2', [16828, 16832]]
['nrf2', [16933, 16937]]
['nrf2', [17054, 17058]]
['nrf2', [17101, 17105]]
['nrf2', [17344, 17348]]
['nrf2', [17448, 17452]]
['nrf2', [17803, 17807]]
['nrf2', [17818, 17822]]
['nrf2', [18118, 18122]]
['nrf2', [18163, 18167]]
['nrf2', [18219, 18223]]
['nrf2', [18271, 18275]]
['nrf2', [18755, 18759]]
['nrf2', [18918, 18922]]
['nrf2', [19070, 19074]]
['nrf2', [19124, 19128]]
['nrf2', [19382, 19386]]
['nrf2', [19420, 19424]]
['nrf2', [19598, 19602]]
['nrf2', [19636, 19640]]
['nrf2', [19820, 19824]]
['nrf2', [19945, 19949]]
['nrf2', [19983, 19987]]
['nrf2', [20071, 20075]]
['nrf2', [20168, 20172]]
['nrf2', [20376, 20380]]
['nrf2', [20425, 20429]]
['nrf2', [20550, 20554]]
['nrf2', [20686, 20690]]
['nrf2', [20959, 20963]]
['nrf2', [21064, 21068]]
['nrf2', [21185, 21189]]
['nrf2', [21232, 21236]]
['nrf2', [21475, 21479]]
['nrf2', [21579, 21583]]
['nrf2', [21967, 21971]]
['nrf2', [22012, 22016]]
['nrf2', [22068, 22072]]
['nrf2', [22120, 22124]]
['nrf2', [22604, 22608]]
['nrf2', [22767, 22771]]
['nrf2', [22919, 22923]]
['nrf2', [22973, 22977]]
['nrf2', [23100, 23104]]
['nrf2', [23145, 23149]]
['nrf2', [23201, 23205]]
['nrf2', [23253, 23257]]
['nrf2', [23737, 23741]]
['nrf2', [23900, 23904]]
['nrf2', [24052, 24056]]
['nrf2', [24106, 24110]]
['nrf2', [24365, 24369]]
['nrf2', [24403, 24407]]
['nrf2', [24581, 24585]]
['nrf2', [24619, 24623]]
['nrf2', [24803, 24807]]
['nrf2', [24928, 24932]]
['nrf2', [24966, 24970]]
['nrf2', [25054, 25058]]
['nrf2', [25151, 25155]]
['nrf2', [25441, 25445]]
['nrf2', [25479, 25483]]
['nrf2', [25657, 25661]]
['nrf2', [25695, 25699]]
['nrf2', [25879, 25883]]
['nrf2', [26004, 26008]]
['nrf2', [26042, 26046]]
['nrf2', [26130, 26134]]
['nrf2', [26227, 26231]]
['nrf2', [26436, 26440]]
['nrf2', [26485, 26489]]
['nrf2', [26610, 26614]]
['nrf2', [26746, 26750]]
['nrf2', [27019, 27023]]
['nrf2', [27124, 27128]]
['nrf2', [27245, 27249]]
['nrf2', [27292, 27296]]
['nrf2', [27535, 27539]]
['nrf2', [27639, 27643]]
['nrf2', [28078, 28082]]
['nrf2', [28127, 28131]]
['nrf2', [28252, 28256]]
['nrf2', [28388, 28392]]
['nrf2', [28661, 28665]]
['nrf2', [28766, 28770]]
['nrf2', [28887, 28891]]
['nrf2', [28934, 28938]]
['nrf2', [29177, 29181]]
['nrf2', [29281, 29285]]
['nrf2', [30368, 30372]]
['nrf2', [30575, 30579]]
['nrf2', [31002, 31006]]
['nrf2', [31048, 31052]]
['nrf2', [31120, 31124]]
['nrf2', [31320, 31324]]
['nrf2', [31477, 31481]]
['nrf2', [31492, 31496]]
['nrf2', [31667, 31671]]
['nrf2', [31878, 31882]]
['nrf2', [31953, 31957]]
['nrf2', [32109, 32113]]
['nrf2', [32244, 32248]]
['nrf2', [32370, 32374]]
['nrf2', [32908, 32912]]
['nrf2', [33061, 33065]]
['nrf2', [33267, 33271]]
['nrf2', [33879, 33883]]
['nrf2', [33989, 33993]]
['nrf2', [34156, 34160]]
['nrf2', [34195, 34199]]
['nrf2', [34268, 34272]]
['nrf2', [34342, 34346]]
['nrf2', [34381, 34385]]
['nrf2', [35488, 35492]]
['nrf2', [35695, 35699]]
['nrf2', [36122, 36126]]
['nrf2', [36168, 36172]]
['nrf2', [36240, 36244]]
['nrf2', [36440, 36444]]
['nrf2', [36597, 36601]]
['nrf2', [36612, 36616]]
['nrf2', [36787, 36791]]
['nrf2', [36998, 37002]]
['nrf2', [37073, 37077]]
['nrf2', [37229, 37233]]
['nrf2', [37364, 37368]]
['nrf2', [37490, 37494]]
['nrf2', [38028, 38032]]
['nrf2', [38181, 38185]]
['nrf2', [38387, 38391]]
['nrf2', [38999, 39003]]
['nrf2', [39109, 39113]]
['nrf2', [39276, 39280]]
['nrf2', [39315, 39319]]
['nrf2', [39388, 39392]]
['nrf2', [39462, 39466]]
['nrf2', [39501, 39505]]
['nrf2', [39921, 39925]]
['nrf2', [39994, 39998]]
['nrf2', [40098, 40102]]
['nrf2', [40219, 40223]]
['nrf2', [40480, 40484]]
['nrf2', [40553, 40557]]
['nrf2', [40657, 40661]]
['nrf2', [40923, 40927]]
['nrf2', [40996, 41000]]
['nrf2', [41427, 41431]]
['nrf2', [41511, 41515]]
['nrf2', [41555, 41559]]
['nrf2', [41644, 41648]]
['nrf2', [41921, 41925]]
['nrf2', [41994, 41998]]
['nrf2', [42098, 42102]]
['nrf2', [42219, 42223]]
['nrf2', [42480, 42484]]
['nrf2', [42553, 42557]]
['nrf2', [42657, 42661]]
['nrf2', [42923, 42927]]
['nrf2', [42996, 43000]]
['nrf2', [43427, 43431]]
['nrf2', [43511, 43515]]
['nrf2', [43555, 43559]]
['nrf2', [43644, 43648]]
['sfn', [126, 129]]
['sfn', [264, 267]]
['sfn', [480, 483]]
['sfn', [604, 607]]
['sfn', [883, 886]]
['sfn', [1011, 1014]]
['sfn', [1147, 1150]]
['sfn', [3299, 3302]]
['sfn', [5293, 5296]]
['sfn', [10030, 10033]]
['sfn', [16768, 16771]]
['sfn', [16991, 16994]]
['sfn', [17617, 17620]]
['sfn', [20899, 20902]]
['sfn', [21122, 21125]]
['sfn', [21748, 21751]]
['sfn', [26959, 26962]]
['sfn', [27182, 27185]]
['sfn', [27808, 27811]]
['sfn', [28601, 28604]]
['sfn', [28824, 28827]]
['sfn', [29450, 29453]]
['sfn', [29592, 29595]]
['sfn', [30406, 30409]]
['sfn', [31174, 31177]]
['sfn', [32363, 32366]]
['sfn', [32886, 32889]]
['sfn', [33293, 33296]]
['sfn', [33588, 33591]]
['sfn', [33803, 33806]]
['sfn', [33933, 33936]]
['sfn', [34054, 34057]]
['sfn', [34497, 34500]]
['sfn', [34608, 34611]]
['sfn', [34712, 34715]]
['sfn', [35526, 35529]]
['sfn', [36294, 36297]]
['sfn', [37483, 37486]]
['sfn', [38006, 38009]]
['sfn', [38413, 38416]]
['sfn', [38708, 38711]]
['sfn', [38923, 38926]]
['sfn', [39053, 39056]]
['sfn', [39174, 39177]]
['sfn', [39617, 39620]]
['sfn', [39728, 39731]]
['sfn', [41724, 41727]]
['sfn', [43724, 43727]]
['primary', [518, 525]]
['primary', [622, 629]]
['primary', [849, 856]]
['primary', [961, 968]]
['primary', [6538, 6545]]
['primary', [11276, 11283]]
['primary', [13637, 13644]]
['primary', [14148, 14155]]
['primary', [17768, 17775]]
['primary', [18279, 18286]]
['primary', [22128, 22135]]
['primary', [23261, 23268]]
['lps-stimulated', [487, 501]]
['lps-stimulated', [672, 686]]
['lps-stimulated', [823, 837]]
['lps-stimulated', [1633, 1647]]
['lps-stimulated', [14924, 14938]]
['lps-stimulated', [14978, 14992]]
['lps-stimulated', [15925, 15939]]
['lps-stimulated', [16022, 16036]]
['lps-stimulated', [17645, 17659]]
