['\\(', [7281, 7283]]
['\\(', [7672, 7674]]
['\\(', [7921, 7923]]
['\\(', [7976, 7978]]
['\\(', [9323, 9325]]
['\\(', [9349, 9351]]
['\\(', [9366, 9368]]
['\\(', [9490, 9492]]
['\\(', [10380, 10382]]
['\\(', [10454, 10456]]
['\\(', [11017, 11019]]
['\\(', [11711, 11713]]
['\\(', [11824, 11826]]
['\\(', [12043, 12045]]
['\\(', [12162, 12164]]
['\\(', [12553, 12555]]
['\\(', [12802, 12804]]
['\\(', [12857, 12859]]
['\\(', [14395, 14397]]
['\\(', [14553, 14555]]
['\\(', [14580, 14582]]
['\\(', [14622, 14624]]
['\\(', [14759, 14761]]
['\\(', [15293, 15295]]
['\\(', [15328, 15330]]
['\\(', [15455, 15457]]
['\\(', [15487, 15489]]
['\\(', [15628, 15630]]
['\\(', [15779, 15781]]
['\\(', [15834, 15836]]
['\\(', [16009, 16011]]
['\\(', [16083, 16085]]
['\\(', [16414, 16416]]
['\\(', [16444, 16446]]
['\\(', [16574, 16576]]
['\\(', [16584, 16586]]
['\\(', [16694, 16696]]
['\\(', [16844, 16846]]
['\\(', [16928, 16930]]
['\\(', [17038, 17040]]
['\\(', [17326, 17328]]
['\\(', [17393, 17395]]
['\\(', [18511, 18513]]
['\\(', [18669, 18671]]
['\\(', [18696, 18698]]
['\\(', [18738, 18740]]
['\\(', [18875, 18877]]
['\\(', [19409, 19411]]
['\\(', [19444, 19446]]
['\\(', [19571, 19573]]
['\\(', [19603, 19605]]
['\\(', [19744, 19746]]
['\\(', [19895, 19897]]
['\\(', [19950, 19952]]
['\\(', [20125, 20127]]
['\\(', [20199, 20201]]
['\\(', [20530, 20532]]
['\\(', [20560, 20562]]
['\\(', [20690, 20692]]
['\\(', [20700, 20702]]
['\\(', [20810, 20812]]
['\\(', [20960, 20962]]
['\\(', [21044, 21046]]
['\\(', [21154, 21156]]
['\\(', [21442, 21444]]
['\\(', [21509, 21511]]
['\\(', [24057, 24059]]
['\\(', [29409, 29411]]
['\\(', [32864, 32866]]
['\\(', [32951, 32953]]
['\\(', [33089, 33091]]
['\\(', [33111, 33113]]
['\\(', [33226, 33228]]
['\\(', [33253, 33255]]
['\\(', [33304, 33306]]
['\\(', [33331, 33333]]
['\\(', [33488, 33490]]
['\\(', [33514, 33516]]
['\\(', [33571, 33573]]
['\\(', [33578, 33580]]
['\\(', [33587, 33589]]
['\\(', [33614, 33616]]
['\\(', [33620, 33622]]
['\\(', [33628, 33630]]
['\\(', [33645, 33647]]
['\\(', [33651, 33653]]
['\\(', [33660, 33662]]
['\\(', [33681, 33683]]
['\\(', [33688, 33690]]
['\\(', [33696, 33698]]
['\\(', [33732, 33734]]
['\\(', [33773, 33775]]
['\\(', [33835, 33837]]
['\\(', [33891, 33893]]
['\\(', [33951, 33953]]
['\\(', [33998, 34000]]
['\\(', [34045, 34047]]
['\\(', [34091, 34093]]
['\\(', [34102, 34104]]
['\\(', [34117, 34119]]
['\\(', [34147, 34149]]
['\\(', [34189, 34191]]
['\\(', [34202, 34204]]
['\\(', [34219, 34221]]
['\\(', [34253, 34255]]
['\\(', [34268, 34270]]
['\\(', [34294, 34296]]
['\\(', [34304, 34306]]
['\\(', [34319, 34321]]
['\\(', [34353, 34355]]
['\\(', [34409, 34411]]
['\\(', [34425, 34427]]
['\\(', [34535, 34537]]
['\\(', [34870, 34872]]
['\\(', [34894, 34896]]
['\\(', [34953, 34955]]
['\\(', [35030, 35032]]
['\\(', [35093, 35095]]
['\\(', [35156, 35158]]
['\\(', [35215, 35217]]
['\\(', [35226, 35228]]
['\\(', [35241, 35243]]
['\\(', [35256, 35258]]
['\\(', [35271, 35273]]
['\\(', [35302, 35304]]
['\\(', [35360, 35362]]
['\\(', [35372, 35374]]
['\\(', [35388, 35390]]
['\\(', [35406, 35408]]
['\\(', [35424, 35426]]
['\\(', [35453, 35455]]
['\\(', [35463, 35465]]
['\\(', [35478, 35480]]
['\\(', [35493, 35495]]
['\\(', [35508, 35510]]
['\\(', [35543, 35545]]
['\\(', [35612, 35614]]
['\\(', [35629, 35631]]
['\\(', [35646, 35648]]
['\\(', [35663, 35665]]
['\\(', [35697, 35699]]
['\\(', [35721, 35723]]
['\\(', [35779, 35781]]
['\\(', [35856, 35858]]
['\\(', [35919, 35921]]
['\\(', [35985, 35987]]
['\\(', [36044, 36046]]
['\\(', [36054, 36056]]
['\\(', [36068, 36070]]
['\\(', [36082, 36084]]
['\\(', [36096, 36098]]
['\\(', [36122, 36124]]
['\\(', [36181, 36183]]
['\\(', [36193, 36195]]
['\\(', [36209, 36211]]
['\\(', [36226, 36228]]
['\\(', [36244, 36246]]
['\\(', [36273, 36275]]
['\\(', [36283, 36285]]
['\\(', [36298, 36300]]
['\\(', [36314, 36316]]
['\\(', [36330, 36332]]
['\\(', [36360, 36362]]
['\\(', [36429, 36431]]
['\\(', [36445, 36447]]
['\\(', [36461, 36463]]
['\\(', [36478, 36480]]
['\\(', [36588, 36590]]
['\\(', [38250, 38252]]
['\\(', [38337, 38339]]
['\\(', [38475, 38477]]
['\\(', [38497, 38499]]
['\\(', [38612, 38614]]
['\\(', [38639, 38641]]
['\\(', [38690, 38692]]
['\\(', [38717, 38719]]
['\\(', [38874, 38876]]
['\\(', [38900, 38902]]
['\\(', [38957, 38959]]
['\\(', [38964, 38966]]
['\\(', [38973, 38975]]
['\\(', [39000, 39002]]
['\\(', [39006, 39008]]
['\\(', [39014, 39016]]
['\\(', [39031, 39033]]
['\\(', [39037, 39039]]
['\\(', [39046, 39048]]
['\\(', [39067, 39069]]
['\\(', [39074, 39076]]
['\\(', [39082, 39084]]
['\\(', [39118, 39120]]
['\\(', [39159, 39161]]
['\\(', [39221, 39223]]
['\\(', [39277, 39279]]
['\\(', [39337, 39339]]
['\\(', [39384, 39386]]
['\\(', [39431, 39433]]
['\\(', [39477, 39479]]
['\\(', [39488, 39490]]
['\\(', [39503, 39505]]
['\\(', [39533, 39535]]
['\\(', [39575, 39577]]
['\\(', [39588, 39590]]
['\\(', [39605, 39607]]
['\\(', [39639, 39641]]
['\\(', [39654, 39656]]
['\\(', [39680, 39682]]
['\\(', [39690, 39692]]
['\\(', [39705, 39707]]
['\\(', [39739, 39741]]
['\\(', [39795, 39797]]
['\\(', [39811, 39813]]
['\\(', [39921, 39923]]
['\\(', [40256, 40258]]
['\\(', [40280, 40282]]
['\\(', [40339, 40341]]
['\\(', [40416, 40418]]
['\\(', [40479, 40481]]
['\\(', [40542, 40544]]
['\\(', [40601, 40603]]
['\\(', [40612, 40614]]
['\\(', [40627, 40629]]
['\\(', [40642, 40644]]
['\\(', [40657, 40659]]
['\\(', [40688, 40690]]
['\\(', [40746, 40748]]
['\\(', [40758, 40760]]
['\\(', [40774, 40776]]
['\\(', [40792, 40794]]
['\\(', [40810, 40812]]
['\\(', [40839, 40841]]
['\\(', [40849, 40851]]
['\\(', [40864, 40866]]
['\\(', [40879, 40881]]
['\\(', [40894, 40896]]
['\\(', [40929, 40931]]
['\\(', [40998, 41000]]
['\\(', [41015, 41017]]
['\\(', [41032, 41034]]
['\\(', [41049, 41051]]
['\\(', [41083, 41085]]
['\\(', [41107, 41109]]
['\\(', [41165, 41167]]
['\\(', [41242, 41244]]
['\\(', [41305, 41307]]
['\\(', [41371, 41373]]
['\\(', [41430, 41432]]
['\\(', [41440, 41442]]
['\\(', [41454, 41456]]
['\\(', [41468, 41470]]
['\\(', [41482, 41484]]
['\\(', [41508, 41510]]
['\\(', [41567, 41569]]
['\\(', [41579, 41581]]
['\\(', [41595, 41597]]
['\\(', [41612, 41614]]
['\\(', [41630, 41632]]
['\\(', [41659, 41661]]
['\\(', [41669, 41671]]
['\\(', [41684, 41686]]
['\\(', [41700, 41702]]
['\\(', [41716, 41718]]
['\\(', [41746, 41748]]
['\\(', [41815, 41817]]
['\\(', [41831, 41833]]
['\\(', [41847, 41849]]
['\\(', [41864, 41866]]
['\\(', [41974, 41976]]
['cvd', [242, 245]]
['cvd', [1878, 1881]]
['cvd', [2201, 2204]]
['cvd', [2335, 2338]]
['cvd', [2544, 2547]]
['cvd', [2715, 2718]]
['cvd', [22379, 22382]]
['cvd', [22608, 22611]]
['cvd', [22709, 22712]]
['cvd', [24798, 24801]]
['cvd', [27731, 27734]]
['cvd', [27960, 27963]]
['cvd', [28061, 28064]]
['cvd', [30150, 30153]]
['\\)', [193, 195]]
['\\)', [245, 247]]
['\\)', [358, 360]]
['\\)', [610, 612]]
['\\)', [654, 656]]
['\\)', [735, 737]]
['\\)', [772, 774]]
['\\)', [908, 910]]
['\\)', [1080, 1082]]
['\\)', [1172, 1174]]
['\\)', [1274, 1276]]
['\\)', [1384, 1386]]
['\\)', [1881, 1883]]
['\\)', [3006, 3008]]
['\\)', [3794, 3796]]
['\\)', [4451, 4453]]
['\\)', [4477, 4479]]
['\\)', [4493, 4495]]
['\\)', [4650, 4652]]
['\\)', [5534, 5536]]
['\\)', [5598, 5600]]
['\\)', [6146, 6148]]
['\\)', [6837, 6839]]
['\\)', [6951, 6953]]
['\\)', [7184, 7186]]
['\\)', [7288, 7290]]
['\\)', [7738, 7740]]
['\\)', [7949, 7951]]
['\\)', [7995, 7997]]
['\\)', [9329, 9331]]
