genia tagger: 5759['folfox6', [224, 231]]
['capecitabine', [29434, 29446]]
['capecitabine', [29671, 29683]]
['capecitabine', [30104, 30116]]
['capecitabine', [30216, 30228]]
['capecitabine', [30466, 30478]]
['capecitabine', [30617, 30629]]
['capecitabine', [31096, 31108]]
['capecitabine', [31166, 31178]]
['capecitabine', [31250, 31262]]
['capecitabine', [31482, 31494]]
['capecitabine', [35760, 35772]]
['capecitabine', [35933, 35945]]
['capecitabine', [36170, 36182]]
['capecitabine', [36524, 36536]]
['capecitabine', [36697, 36709]]
['capecitabine', [36934, 36946]]
['capecitabine', [37688, 37700]]
['capecitabine', [37800, 37812]]
['capecitabine', [38050, 38062]]
['capecitabine', [38201, 38213]]
['capecitabine', [38680, 38692]]
['capecitabine', [38750, 38762]]
['capecitabine', [38834, 38846]]
['capecitabine', [39066, 39078]]
['capecitabine', [39132, 39144]]
['capecitabine', [39244, 39256]]
['capecitabine', [39494, 39506]]
['capecitabine', [39645, 39657]]
['capecitabine', [40124, 40136]]
['capecitabine', [40194, 40206]]
['capecitabine', [40278, 40290]]
['capecitabine', [40510, 40522]]
['capecitabine', [40687, 40699]]
['capecitabine', [40855, 40867]]
['capecitabine', [40978, 40990]]
['capecitabine', [41169, 41181]]
['capecitabine', [41334, 41346]]
['capecitabine', [41654, 41666]]
['capecitabine', [41953, 41965]]
['capecitabine', [42239, 42251]]
['capecitabine', [42345, 42357]]
['capecitabine', [42426, 42438]]
['capecitabine', [42488, 42500]]
['capecitabine', [42581, 42593]]
['capecitabine', [42690, 42702]]
['capecitabine', [43955, 43967]]
['capecitabine', [44232, 44244]]
['capecitabine', [44632, 44644]]
['capecitabine', [44763, 44775]]
['capecitabine', [44871, 44883]]
['capecitabine', [45084, 45096]]
['capecitabine', [45252, 45264]]
['capecitabine', [45375, 45387]]
['capecitabine', [45566, 45578]]
['capecitabine', [45731, 45743]]
['capecitabine', [46051, 46063]]
['capecitabine', [46350, 46362]]
['capecitabine', [46636, 46648]]
['capecitabine', [46742, 46754]]
['capecitabine', [46823, 46835]]
['capecitabine', [46885, 46897]]
['capecitabine', [46978, 46990]]
['capecitabine', [47087, 47099]]
['capecitabine', [48352, 48364]]
['capecitabine', [48629, 48641]]
['capecitabine', [49029, 49041]]
['capecitabine', [49160, 49172]]
['capecitabine', [49268, 49280]]
['capecitabine', [49510, 49522]]
['capecitabine', [51655, 51667]]
['capecitabine', [51719, 51731]]
['capecitabine', [51993, 52005]]
['capecitabine', [52403, 52415]]
['capecitabine', [52451, 52463]]
['capecitabine', [52517, 52529]]
['capecitabine', [52552, 52564]]
['capecitabine', [52770, 52782]]
['capecitabine', [54915, 54927]]
['capecitabine', [54979, 54991]]
['capecitabine', [55253, 55265]]
['capecitabine', [55663, 55675]]
['capecitabine', [55711, 55723]]
['capecitabine', [55777, 55789]]
['capecitabine', [55812, 55824]]
['1000', [3574, 3578]]
['1000', [49593, 49597]]
['1000', [52853, 52857]]
['twice', [3585, 3590]]
['twice', [4247, 4252]]
['twice', [42464, 42469]]
['twice', [46861, 46866]]
['daily', [3036, 3041]]
['daily', [3591, 3596]]
['daily', [4253, 4258]]
['daily', [10019, 10024]]
['daily', [16314, 16319]]
['days', [138, 142]]
['days', [368, 372]]
['days', [461, 465]]
['days', [1812, 1816]]
['days', [3597, 3601]]
['days', [4265, 4269]]
