genia tagger: 2723['hnscc', [298, 303]]
['i', [6647, 6648]]
['i', [6658, 6659]]
['i', [6673, 6674]]
['i', [6714, 6715]]
['i', [6721, 6722]]
['i', [6725, 6726]]
['i', [6730, 6731]]
['i', [6736, 6737]]
['i', [6743, 6744]]
['i', [6746, 6747]]
['i', [6758, 6759]]
['i', [6778, 6779]]
['i', [6785, 6786]]
['i', [6790, 6791]]
['i', [6795, 6796]]
['i', [6865, 6866]]
['i', [6870, 6871]]
['i', [6883, 6884]]
['i', [6884, 6885]]
['i', [6890, 6891]]
['i', [6916, 6917]]
['i', [6929, 6930]]
['i', [6940, 6941]]
['i', [6951, 6952]]
['i', [6958, 6959]]
['i', [6962, 6963]]
['i', [6996, 6997]]
['i', [7009, 7010]]
['i', [7011, 7012]]
['i', [7020, 7021]]
['i', [7023, 7024]]
['i', [7031, 7032]]
['i', [7059, 7060]]
['i', [7077, 7078]]
['i', [7100, 7101]]
['i', [7172, 7173]]
['i', [7177, 7178]]
['i', [7183, 7184]]
['i', [7195, 7196]]
['i', [7199, 7200]]
['i', [7203, 7204]]
['i', [7210, 7211]]
['i', [7218, 7219]]
['i', [7230, 7231]]
['i', [7259, 7260]]
['i', [7272, 7273]]
['i', [7295, 7296]]
['i', [7327, 7328]]
['i', [7337, 7338]]
['i', [7339, 7340]]
['i', [7347, 7348]]
['i', [7349, 7350]]
['i', [7351, 7352]]
['i', [7359, 7360]]
['i', [7384, 7385]]
['i', [7393, 7394]]
['i', [7398, 7399]]
['i', [7417, 7418]]
['i', [7421, 7422]]
['i', [7444, 7445]]
['i', [7450, 7451]]
['i', [7454, 7455]]
['i', [7471, 7472]]
['i', [7479, 7480]]
['i', [7495, 7496]]
['i', [7518, 7519]]
['i', [7572, 7573]]
['i', [7591, 7592]]
['i', [7595, 7596]]
['i', [7603, 7604]]
['i', [7615, 7616]]
['i', [7662, 7663]]
['i', [7667, 7668]]
['i', [7673, 7674]]
['i', [7697, 7698]]
['i', [7725, 7726]]
['i', [7728, 7729]]
['i', [7765, 7766]]
['i', [7771, 7772]]
['i', [7775, 7776]]
['i', [7784, 7785]]
['i', [7795, 7796]]
['i', [7800, 7801]]
['i', [7807, 7808]]
['i', [7817, 7818]]
['i', [7829, 7830]]
['i', [7862, 7863]]
['i', [7865, 7866]]
['i', [7873, 7874]]
['i', [7876, 7877]]
['i', [7897, 7898]]
['i', [7913, 7914]]
['i', [7916, 7917]]
['i', [7943, 7944]]
['i', [7945, 7946]]
['i', [7953, 7954]]
['i', [7983, 7984]]
['i', [8011, 8012]]
['i', [8024, 8025]]
['i', [8033, 8034]]
['i', [8046, 8047]]
['i', [8060, 8061]]
['i', [8129, 8130]]
['i', [8159, 8160]]
['i', [8187, 8188]]
['i', [8200, 8201]]
['i', [8210, 8211]]
['i', [8217, 8218]]
['i', [8272, 8273]]
['i', [8311, 8312]]
['i', [8324, 8325]]
['i', [8330, 8331]]
['i', [8354, 8355]]
['i', [8356, 8357]]
['i', [8374, 8375]]
['i', [8405, 8406]]
['i', [8421, 8422]]
['i', [8427, 8428]]
['i', [8444, 8445]]
['i', [8449, 8450]]
['i', [8496, 8497]]
['i', [8509, 8510]]
['i', [8511, 8512]]
['i', [8533, 8534]]
['i', [8540, 8541]]
['i', [8543, 8544]]
['i', [8555, 8556]]
['i', [8572, 8573]]
['i', [8580, 8581]]
['i', [8591, 8592]]
['i', [8593, 8594]]
['i', [8595, 8596]]
['i', [8602, 8603]]
['i', [8604, 8605]]
['i', [8615, 8616]]
['i', [8644, 8645]]
['i', [8651, 8652]]
['i', [8697, 8698]]
['i', [8701, 8702]]
['i', [8734, 8735]]
['i', [8752, 8753]]
['i', [8754, 8755]]
['i', [8797, 8798]]
['i', [8803, 8804]]
['i', [8805, 8806]]
['i', [8813, 8814]]
['i', [8815, 8816]]
['i', [8817, 8818]]
['i', [8839, 8840]]
['i', [8848, 8849]]
['i', [8871, 8872]]
['i', [8911, 8912]]
['i', [8913, 8914]]
['i', [8915, 8916]]
['i', [8948, 8949]]
['i', [8966, 8967]]
['i', [9017, 9018]]
['i', [9059, 9060]]
['i', [9066, 9067]]
['i', [9069, 9070]]
['i', [9131, 9132]]
['i', [9191, 9192]]
['i', [9218, 9219]]
['i', [9233, 9234]]
['i', [9303, 9304]]
['i', [9309, 9310]]
['i', [9315, 9316]]
['i', [9334, 9335]]
['i', [9356, 9357]]
['i', [9357, 9358]]
['i', [9363, 9364]]
['i', [9376, 9377]]
['i', [9392, 9393]]
['i', [9407, 9408]]
['i', [9434, 9435]]
['i', [9441, 9442]]
['i', [9445, 9446]]
['i', [9450, 9451]]
['i', [9456, 9457]]
['i', [9463, 9464]]
['i', [9466, 9467]]
['i', [9478, 9479]]
['i', [9498, 9499]]
['i', [9505, 9506]]
['i', [9510, 9511]]
['i', [9515, 9516]]
['i', [9543, 9544]]
['i', [9547, 9548]]
['i', [9589, 9590]]
['i', [9595, 9596]]
['i', [9606, 9607]]
['i', [9634, 9635]]
['i', [9636, 9637]]
['i', [9638, 9639]]
['i', [9645, 9646]]
['i', [9647, 9648]]
['i', [9649, 9650]]
['i', [9658, 9659]]
['i', [9684, 9685]]
['i', [9708, 9709]]
['i', [9721, 9722]]
['i', [9728, 9729]]
['i', [9743, 9744]]
['i', [9745, 9746]]
['i', [9749, 9750]]
['i', [9758, 9759]]
['i', [9790, 9791]]
['i', [9794, 9795]]
['i', [9798, 9799]]
['i', [9811, 9812]]
['i', [9813, 9814]]
['i', [9842, 9843]]
['i', [9844, 9845]]
['i', [9907, 9908]]
['i', [9976, 9977]]
['i', [10003, 10004]]
['i', [10011, 10012]]
['i', [10017, 10018]]
['i', [10025, 10026]]
['i', [10034, 10035]]
['i', [10043, 10044]]
['i', [10058, 10059]]
['i', [10115, 10116]]
['i', [10150, 10151]]
['i', [10162, 10163]]
['i', [10201, 10202]]
['i', [10207, 10208]]
['i', [10236, 10237]]
['i', [10238, 10239]]
['i', [10258, 10259]]
['i', [10275, 10276]]
['i', [10307, 10308]]
['i', [10355, 10356]]
['i', [10358, 10359]]
['i', [10374, 10375]]
['i', [10389, 10390]]
['i', [10400, 10401]]
['i', [10411, 10412]]
['i', [10421, 10422]]
['i', [10431, 10432]]
['i', [10441, 10442]]
['i', [10444, 10445]]
['i', [10475, 10476]]
['i', [10483, 10484]]
['i', [10490, 10491]]
['i', [10495, 10496]]
['i', [10514, 10515]]
['i', [10517, 10518]]
['i', [10534, 10535]]
['i', [10543, 10544]]
['i', [10545, 10546]]
['i', [10566, 10567]]
['i', [10581, 10582]]
['i', [10586, 10587]]
['i', [10607, 10608]]
['i', [10609, 10610]]
['i', [10616, 10617]]
['i', [10619, 10620]]
['i', [10634, 10635]]
['i', [10653, 10654]]
['i', [10674, 10675]]
['i', [10680, 10681]]
['i', [10685, 10686]]
['i', [10729, 10730]]
['i', [10736, 10737]]
['i', [10746, 10747]]
['i', [10783, 10784]]
['i', [10789, 10790]]
['i', [10805, 10806]]
['i', [10812, 10813]]
['i', [10815, 10816]]
['i', [10826, 10827]]
['i', [10838, 10839]]
['i', [10843, 10844]]
['i', [10848, 10849]]
['i', [10864, 10865]]
['i', [10910, 10911]]
['i', [10943, 10944]]
['i', [10994, 10995]]
['i', [11009, 11010]]
['i', [11037, 11038]]
['i', [11068, 11069]]
['i', [11070, 11071]]
['i', [11097, 11098]]
['i', [11100, 11101]]
['i', [11144, 11145]]
['i', [11150, 11151]]
['i', [11163, 11164]]
['i', [11176, 11177]]
['i', [11198, 11199]]
['i', [11199, 11200]]
['i', [11205, 11206]]
['i', [11218, 11219]]
['i', [11229, 11230]]
['i', [11244, 11245]]
['i', [11285, 11286]]
['i', [11292, 11293]]
['i', [11296, 11297]]
['i', [11301, 11302]]
['i', [11307, 11308]]
['i', [11314, 11315]]
['i', [11317, 11318]]
['i', [11329, 11330]]
['i', [11349, 11350]]
['i', [11356, 11357]]
['i', [11361, 11362]]
['i', [11366, 11367]]
['i', [11436, 11437]]
['i', [11441, 11442]]
['i', [11454, 11455]]
['i', [11455, 11456]]
['i', [11461, 11462]]
['i', [11487, 11488]]
['i', [11500, 11501]]
['i', [11511, 11512]]
['i', [11522, 11523]]
