['c', [1799, 1800]]
['c', [1851, 1852]]
['c', [1901, 1902]]
['c', [1928, 1929]]
['c', [1984, 1985]]
['c', [1999, 2000]]
['c', [2005, 2006]]
['c', [2114, 2115]]
['c', [2148, 2149]]
['c', [2191, 2192]]
['c', [2218, 2219]]
['c', [2248, 2249]]
['c', [2312, 2313]]
['c', [2315, 2316]]
['c', [2318, 2319]]
['c', [2438, 2439]]
['c', [2451, 2452]]
['c', [2456, 2457]]
['c', [2480, 2481]]
['c', [2490, 2491]]
['c', [2596, 2597]]
['c', [2632, 2633]]
['c', [2708, 2709]]
['c', [2751, 2752]]
['c', [2776, 2777]]
['c', [2800, 2801]]
['c', [2814, 2815]]
['c', [2819, 2820]]
['c', [2854, 2855]]
['c', [2887, 2888]]
['c', [2913, 2914]]
['c', [2920, 2921]]
['c', [2999, 3000]]
