['mo', [32023, 32025]]
['mo', [32180, 32182]]
['mo', [32347, 32349]]
['mo', [32910, 32912]]
['mo', [32995, 32997]]
['mo', [34218, 34220]]
['mo', [34232, 34234]]
['mo', [34485, 34487]]
['mo', [34497, 34499]]
['mo', [34546, 34548]]
['mo', [35200, 35202]]
['mo', [36017, 36019]]
['mo', [36121, 36123]]
['mo', [36663, 36665]]
['mo', [37402, 37404]]
['mo', [37588, 37590]]
['mo', [39135, 39137]]
['mo', [39350, 39352]]
['mo', [39507, 39509]]
['mo', [39674, 39676]]
['mo', [40237, 40239]]
['mo', [40322, 40324]]
['mo', [41126, 41128]]
['mo', [41341, 41343]]
['mo', [41498, 41500]]
['mo', [41665, 41667]]
['mo', [42228, 42230]]
['mo', [42313, 42315]]
['mo', [43117, 43119]]
['mo', [43332, 43334]]
['mo', [43489, 43491]]
['mo', [43656, 43658]]
['mo', [44219, 44221]]
['mo', [44304, 44306]]
['mo', [46152, 46154]]
['mo', [47316, 47318]]
['mo', [47795, 47797]]
['single', [7512, 7518]]
['single', [7634, 7640]]
['single', [14280, 14286]]
['single', [14402, 14408]]
['phycoerythrin', [7775, 7788]]
['phycoerythrin', [14543, 14556]]
['\\(', [103, 105]]
['\\(', [137, 139]]
['\\(', [241, 243]]
['\\(', [289, 291]]
['\\(', [460, 462]]
['\\(', [547, 549]]
['\\(', [731, 733]]
['\\(', [778, 780]]
['\\(', [1026, 1028]]
['\\(', [1082, 1084]]
['\\(', [1124, 1126]]
['\\(', [1593, 1595]]
['\\(', [1828, 1830]]
['\\(', [2337, 2339]]
['\\(', [2529, 2531]]
['\\(', [3282, 3284]]
['\\(', [4913, 4915]]
['\\(', [4922, 4924]]
['\\(', [5229, 5231]]
['\\(', [5295, 5297]]
['\\(', [5567, 5569]]
['\\(', [6174, 6176]]
['\\(', [6436, 6438]]
['\\(', [6497, 6499]]
['\\(', [6684, 6686]]
['\\(', [6805, 6807]]
['\\(', [6852, 6854]]
['\\(', [7187, 7189]]
['\\(', [7411, 7413]]
['\\(', [7471, 7473]]
['\\(', [7571, 7573]]
['\\(', [7789, 7791]]
['\\(', [7836, 7838]]
['\\(', [7950, 7952]]
['\\(', [8023, 8025]]
['\\(', [8333, 8335]]
['\\(', [8825, 8827]]
['\\(', [8880, 8882]]
['\\(', [8928, 8930]]
['\\(', [9026, 9028]]
['\\(', [9640, 9642]]
['\\(', [9754, 9756]]
['\\(', [9856, 9858]]
['\\(', [10184, 10186]]
['\\(', [10223, 10225]]
['\\(', [10786, 10788]]
['\\(', [11503, 11505]]
['\\(', [11679, 11681]]
['\\(', [11688, 11690]]
['\\(', [11995, 11997]]
['\\(', [12061, 12063]]
['\\(', [12333, 12335]]
['\\(', [12941, 12943]]
['\\(', [13203, 13205]]
['\\(', [13264, 13266]]
['\\(', [13451, 13453]]
['\\(', [13572, 13574]]
['\\(', [13619, 13621]]
['\\(', [13955, 13957]]
['\\(', [14179, 14181]]
['\\(', [14239, 14241]]
['\\(', [14339, 14341]]
['\\(', [14557, 14559]]
['\\(', [14604, 14606]]
['\\(', [14718, 14720]]
['\\(', [14791, 14793]]
['\\(', [15101, 15103]]
['\\(', [15593, 15595]]
['\\(', [15648, 15650]]
['\\(', [15696, 15698]]
['\\(', [15794, 15796]]
['\\(', [16408, 16410]]
['\\(', [16522, 16524]]
['\\(', [16624, 16626]]
['\\(', [16952, 16954]]
['\\(', [16991, 16993]]
['\\(', [17555, 17557]]
['\\(', [18272, 18274]]
['\\(', [18603, 18605]]
['\\(', [18713, 18715]]
['\\(', [18961, 18963]]
['\\(', [19123, 19125]]
['\\(', [19150, 19152]]
['\\(', [19159, 19161]]
['\\(', [19446, 19448]]
['\\(', [19792, 19794]]
['\\(', [20071, 20073]]
['\\(', [20159, 20161]]
['\\(', [20348, 20350]]
['\\(', [20689, 20691]]
['\\(', [20824, 20826]]
['\\(', [20850, 20852]]
['\\(', [21017, 21019]]
['\\(', [21237, 21239]]
['\\(', [21430, 21432]]
['\\(', [21547, 21549]]
['\\(', [21824, 21826]]
['\\(', [22074, 22076]]
['\\(', [22557, 22559]]
['\\(', [22667, 22669]]
['\\(', [22915, 22917]]
['\\(', [23077, 23079]]
['\\(', [23104, 23106]]
['\\(', [23113, 23115]]
['\\(', [23400, 23402]]
['\\(', [23746, 23748]]
['\\(', [24025, 24027]]
['\\(', [24113, 24115]]
['\\(', [24302, 24304]]
['\\(', [24643, 24645]]
['\\(', [24778, 24780]]
['\\(', [24804, 24806]]
['\\(', [24971, 24973]]
['\\(', [25191, 25193]]
['\\(', [25384, 25386]]
['\\(', [25501, 25503]]
['\\(', [25778, 25780]]
['\\(', [26028, 26030]]
['\\(', [26431, 26433]]
['\\(', [26814, 26816]]
['\\(', [26998, 27000]]
['\\(', [27138, 27140]]
['\\(', [27195, 27197]]
['\\(', [27684, 27686]]
['\\(', [28295, 28297]]
['\\(', [30771, 30773]]
['\\(', [32065, 32067]]
