['1', [51014, 51015]]
['1', [51042, 51043]]
['1', [51064, 51065]]
['1', [51086, 51087]]
['1', [51091, 51092]]
['1', [51096, 51097]]
['1', [51097, 51098]]
['1', [51102, 51103]]
['1', [51108, 51109]]
['1', [51117, 51118]]
['1', [51139, 51140]]
['1', [51151, 51152]]
['1', [51176, 51177]]
['1', [51184, 51185]]
['1', [51192, 51193]]
['1', [51202, 51203]]
['1', [51210, 51211]]
['1', [51427, 51428]]
['2', [470, 471]]
['2', [483, 484]]
['2', [711, 712]]
['2', [871, 872]]
['2', [1566, 1567]]
['2', [1690, 1691]]
['2', [1701, 1702]]
['2', [3037, 3038]]
['2', [3050, 3051]]
['2', [3279, 3280]]
['2', [3439, 3440]]
['2', [3733, 3734]]
['2', [3746, 3747]]
['2', [4017, 4018]]
['2', [5718, 5719]]
['2', [6975, 6976]]
['2', [7615, 7616]]
['2', [8441, 8442]]
['2', [8460, 8461]]
['2', [8480, 8481]]
['2', [8631, 8632]]
['2', [8644, 8645]]
['2', [8915, 8916]]
['2', [10617, 10618]]
['2', [11875, 11876]]
['2', [12516, 12517]]
['2', [13342, 13343]]
['2', [13361, 13362]]
['2', [13381, 13382]]
['2', [13513, 13514]]
['2', [14171, 14172]]
['2', [14176, 14177]]
['2', [14349, 14350]]
['2', [14363, 14364]]
['2', [14631, 14632]]
['2', [14700, 14701]]
['2', [14743, 14744]]
['2', [15027, 15028]]
['2', [15031, 15032]]
['2', [15229, 15230]]
['2', [15395, 15396]]
['2', [15408, 15409]]
['2', [15484, 15485]]
['2', [15636, 15637]]
['2', [15637, 15638]]
['2', [15694, 15695]]
['2', [15800, 15801]]
['2', [15917, 15918]]
['2', [16048, 16049]]
['2', [16158, 16159]]
['2', [16172, 16173]]
['2', [16742, 16743]]
['2', [17400, 17401]]
['2', [17405, 17406]]
['2', [17578, 17579]]
['2', [17592, 17593]]
['2', [17860, 17861]]
['2', [17929, 17930]]
['2', [17972, 17973]]
['2', [18256, 18257]]
['2', [18260, 18261]]
['2', [18458, 18459]]
['2', [18624, 18625]]
['2', [18637, 18638]]
['2', [18713, 18714]]
['2', [18865, 18866]]
['2', [18866, 18867]]
['2', [18923, 18924]]
['2', [19029, 19030]]
['2', [19146, 19147]]
['2', [19277, 19278]]
['2', [19387, 19388]]
['2', [19401, 19402]]
['2', [19963, 19964]]
['2', [20621, 20622]]
['2', [20626, 20627]]
['2', [20799, 20800]]
['2', [20813, 20814]]
['2', [21081, 21082]]
['2', [21150, 21151]]
['2', [21193, 21194]]
['2', [21477, 21478]]
['2', [21481, 21482]]
['2', [21679, 21680]]
['2', [21845, 21846]]
['2', [21858, 21859]]
['2', [21934, 21935]]
['2', [22086, 22087]]
['2', [22087, 22088]]
['2', [22144, 22145]]
['2', [22250, 22251]]
['2', [22367, 22368]]
['2', [22498, 22499]]
['2', [22608, 22609]]
['2', [22622, 22623]]
['2', [23184, 23185]]
['2', [23842, 23843]]
['2', [23847, 23848]]
['2', [24020, 24021]]
['2', [24034, 24035]]
['2', [24302, 24303]]
['2', [24371, 24372]]
['2', [24414, 24415]]
['2', [24698, 24699]]
['2', [24702, 24703]]
['2', [24900, 24901]]
['2', [25066, 25067]]
