genia tagger: 5668['jakob-creutzfeldt', [60, 77]]
['prpsc', [24442, 24447]]
['prpsc', [24973, 24978]]
['prpsc', [25359, 25364]]
['prpsc', [25679, 25684]]
['prpsc', [25763, 25768]]
['prpsc', [25832, 25837]]
['prpsc', [26004, 26009]]
['prpsc', [26151, 26156]]
['prpsc', [26326, 26331]]
['prpsc', [26405, 26410]]
['prpsc', [26478, 26483]]
['prpsc', [26575, 26580]]
['prpsc', [26693, 26698]]
['prpsc', [29785, 29790]]
['prpsc', [29975, 29980]]
['prpsc', [30142, 30147]]
['prpsc', [30393, 30398]]
['prpsc', [30711, 30716]]
['prpsc', [32917, 32922]]
['prpsc', [33448, 33453]]
['prpsc', [33834, 33839]]
['prpsc', [34154, 34159]]
['prpsc', [34238, 34243]]
['prpsc', [34307, 34312]]
['prpsc', [34479, 34484]]
['prpsc', [34626, 34631]]
['prpsc', [34801, 34806]]
['prpsc', [34880, 34885]]
['prpsc', [34953, 34958]]
['prpsc', [35050, 35055]]
['prpsc', [35168, 35173]]
['prpsc', [36326, 36331]]
['prpsc', [37208, 37213]]
['prpsc', [37842, 37847]]
['prpsc', [38724, 38729]]
['vacuolation', [773, 784]]
['vacuolation', [1037, 1048]]
['vacuolation', [1605, 1616]]
['vacuolation', [2128, 2139]]
['vacuolation', [8815, 8826]]
['vacuolation', [9611, 9622]]
['vacuolation', [9710, 9721]]
['vacuolation', [9740, 9751]]
['vacuolation', [13408, 13419]]
['vacuolation', [14204, 14215]]
['vacuolation', [14303, 14314]]
['vacuolation', [14333, 14344]]
['vacuolation', [16298, 16309]]
['vacuolation', [16472, 16483]]
['vacuolation', [16895, 16906]]
['vacuolation', [16985, 16996]]
['vacuolation', [17954, 17965]]
['vacuolation', [18128, 18139]]
['vacuolation', [18551, 18562]]
['vacuolation', [18641, 18652]]
['vacuolation', [21340, 21351]]
['vacuolation', [21487, 21498]]
['vacuolation', [21615, 21626]]
['vacuolation', [21806, 21817]]
['vacuolation', [22151, 22162]]
['vacuolation', [22802, 22813]]
['vacuolation', [22840, 22851]]
['vacuolation', [24462, 24473]]
['vacuolation', [25026, 25037]]
['vacuolation', [25382, 25393]]
['vacuolation', [25605, 25616]]
['vacuolation', [25658, 25669]]
['vacuolation', [29815, 29826]]
['vacuolation', [29962, 29973]]
['vacuolation', [30090, 30101]]
['vacuolation', [30281, 30292]]
['vacuolation', [30626, 30637]]
['vacuolation', [31277, 31288]]
['vacuolation', [31315, 31326]]
['vacuolation', [32937, 32948]]
['vacuolation', [33501, 33512]]
['vacuolation', [33857, 33868]]
['vacuolation', [34080, 34091]]
['vacuolation', [34133, 34144]]
['vacuolation', [37191, 37202]]
['vacuolation', [38707, 38718]]
['9', [2140, 2141]]
['9', [9213, 9214]]
['9', [9260, 9261]]
['9', [10182, 10183]]
['9', [10922, 10923]]
['9', [13806, 13807]]
['9', [13853, 13854]]
['9', [14775, 14776]]
['9', [15517, 15518]]
['9', [19105, 19106]]
['9', [19127, 19128]]
['9', [22401, 22402]]
['9', [25810, 25811]]
['9', [27580, 27581]]
