['b', [17193, 17194]]
['b', [17236, 17237]]
['b', [17274, 17275]]
['b', [17390, 17391]]
['b', [17732, 17733]]
['b', [17774, 17775]]
['b', [17810, 17811]]
['b', [17825, 17826]]
['b', [17908, 17909]]
['b', [18175, 18176]]
['b', [18178, 18179]]
['b', [18215, 18216]]
['b', [18256, 18257]]
['b', [18293, 18294]]
['b', [18472, 18473]]
['b', [18483, 18484]]
['b', [18502, 18503]]
['b', [18534, 18535]]
['b', [18587, 18588]]
['b', [18666, 18667]]
['b', [18704, 18705]]
['b', [18749, 18750]]
['b', [18788, 18789]]
['b', [18856, 18857]]
['b', [18886, 18887]]
['b', [18916, 18917]]
['b', [18945, 18946]]
['b', [19004, 19005]]
['b', [19037, 19038]]
['b', [19047, 19048]]
['b', [19071, 19072]]
['b', [19098, 19099]]
['b', [19108, 19109]]
['b', [19123, 19124]]
['b', [19132, 19133]]
['b', [19377, 19378]]
['b', [19389, 19390]]
['b', [19406, 19407]]
['b', [19442, 19443]]
['b', [19458, 19459]]
['b', [19468, 19469]]
['b', [19487, 19488]]
['b', [19491, 19492]]
['b', [19524, 19525]]
['b', [19594, 19595]]
['b', [19650, 19651]]
['b', [19764, 19765]]
['b', [19929, 19930]]
['b', [19957, 19958]]
['b', [19963, 19964]]
['b', [20010, 20011]]
['b', [20037, 20038]]
['b', [20043, 20044]]
['b', [20125, 20126]]
['b', [20274, 20275]]
['b', [20292, 20293]]
['b', [20353, 20354]]
['b', [20803, 20804]]
['b', [20850, 20851]]
['b', [20909, 20910]]
['b', [20921, 20922]]
['b', [21018, 21019]]
['b', [21021, 21022]]
['b', [21030, 21031]]
['b', [21073, 21074]]
['b', [21079, 21080]]
['b', [21155, 21156]]
['b', [21217, 21218]]
['b', [21468, 21469]]
['b', [21500, 21501]]
['b', [21525, 21526]]
['b', [21554, 21555]]
['b', [21604, 21605]]
['b', [21668, 21669]]
['b', [21774, 21775]]
['b', [21782, 21783]]
['b', [21783, 21784]]
['b', [21791, 21792]]
['b', [21845, 21846]]
['b', [21856, 21857]]
['b', [21876, 21877]]
['b', [21877, 21878]]
['b', [21899, 21900]]
['b', [21916, 21917]]
['b', [21928, 21929]]
['b', [21996, 21997]]
['b', [22040, 22041]]
['b', [22087, 22088]]
['b', [22211, 22212]]
['b', [22265, 22266]]
['b', [22340, 22341]]
['b', [22392, 22393]]
['b', [22489, 22490]]
['b', [22546, 22547]]
['b', [22887, 22888]]
['b', [22940, 22941]]
['b', [22981, 22982]]
['b', [23105, 23106]]
['b', [23114, 23115]]
['b', [23155, 23156]]
['b', [23255, 23256]]
['b', [23368, 23369]]
['b', [23460, 23461]]
['b', [23471, 23472]]
['b', [23507, 23508]]
['b', [23560, 23561]]
