['\\(', [13627, 13629]]
['\\(', [14073, 14075]]
['\\(', [14261, 14263]]
['\\(', [14385, 14387]]
['\\(', [14420, 14422]]
['\\(', [14730, 14732]]
['\\(', [14884, 14886]]
['\\(', [15154, 15156]]
['\\(', [15258, 15260]]
['\\(', [15393, 15395]]
['\\(', [15463, 15465]]
['\\(', [15685, 15687]]
['\\(', [15744, 15746]]
['\\(', [15818, 15820]]
['\\(', [16197, 16199]]
['\\(', [16277, 16279]]
['\\(', [16511, 16513]]
['\\(', [16515, 16517]]
['\\(', [16581, 16583]]
['\\(', [16653, 16655]]
['\\(', [16657, 16659]]
['\\(', [16725, 16727]]
['\\(', [16787, 16789]]
['\\(', [16983, 16985]]
['\\(', [17073, 17075]]
['\\(', [17341, 17343]]
['\\(', [17571, 17573]]
['\\(', [17748, 17750]]
['\\(', [17794, 17796]]
['\\(', [18031, 18033]]
['\\(', [18821, 18823]]
['\\(', [18929, 18931]]
['\\(', [18995, 18997]]
['\\(', [19455, 19457]]
['\\(', [20345, 20347]]
['\\(', [20542, 20544]]
['\\(', [20827, 20829]]
['\\(', [21122, 21124]]
['\\(', [21214, 21216]]
['\\(', [21478, 21480]]
['\\(', [21641, 21643]]
['\\(', [21807, 21809]]
['\\(', [21974, 21976]]
['\\(', [22090, 22092]]
['\\(', [22309, 22311]]
