['cathepsin', [31539, 31548]]
['cathepsin', [31585, 31594]]
['cathepsin', [31598, 31607]]
['cathepsin', [31639, 31648]]
['cathepsin', [31655, 31664]]
['cathepsin', [32145, 32154]]
['cathepsin', [32350, 32359]]
['cathepsin', [40611, 40620]]
['cathepsin', [40624, 40633]]
['cathepsin', [40807, 40816]]
['cathepsin', [41334, 41343]]
['cathepsin', [41347, 41356]]
['cathepsin', [41543, 41552]]
['cathepsin', [41589, 41598]]
['cathepsin', [42091, 42100]]
['cathepsin', [42104, 42113]]
['cathepsin', [42287, 42296]]
['cathepsin', [42814, 42823]]
['cathepsin', [42827, 42836]]
['cathepsin', [43023, 43032]]
['cathepsin', [43069, 43078]]
['cathepsin', [43083, 43092]]
['cathepsin', [43124, 43133]]
['cathepsin', [43140, 43149]]
['cathepsin', [43630, 43639]]
['cathepsin', [43835, 43844]]
['cathepsin', [43894, 43903]]
['cathepsin', [43935, 43944]]
['cathepsin', [43951, 43960]]
['cathepsin', [44441, 44450]]
['cathepsin', [44646, 44655]]
['cathepsin', [48812, 48821]]
['cathepsin', [48828, 48837]]
['cathepsin', [48840, 48849]]
['cathepsin', [48999, 49008]]
['cathepsin', [49015, 49024]]
['cathepsin', [49134, 49143]]
['cathepsin', [49150, 49159]]
['cathepsin', [55643, 55652]]
['cathepsin', [55659, 55668]]
['cathepsin', [55671, 55680]]
['cathepsin', [55830, 55839]]
['cathepsin', [55846, 55855]]
['cathepsin', [55965, 55974]]
['cathepsin', [55981, 55990]]
['cathepsin', [59917, 59926]]
['cathepsin', [59933, 59942]]
['cathepsin', [59945, 59954]]
['cathepsin', [60104, 60113]]
['cathepsin', [60120, 60129]]
['cathepsin', [60239, 60248]]
['cathepsin', [60255, 60264]]
['cathepsin', [60395, 60404]]
['cathepsin', [60411, 60420]]
['cathepsin', [60423, 60432]]
['cathepsin', [60582, 60591]]
['cathepsin', [60598, 60607]]
['cathepsin', [60717, 60726]]
['cathepsin', [60733, 60742]]
['cathepsin', [66052, 66061]]
['cathepsin', [66077, 66086]]
['cathepsin', [66641, 66650]]
['cathepsin', [66664, 66673]]
['cathepsin', [66786, 66795]]
['cathepsin', [67013, 67022]]
['cathepsin', [67580, 67589]]
['cathepsin', [67815, 67824]]
['cathepsin', [68359, 68368]]
['cathepsin', [71367, 71376]]
['cathepsin', [71392, 71401]]
['cathepsin', [71956, 71965]]
['cathepsin', [71979, 71988]]
['cathepsin', [72101, 72110]]
['cathepsin', [72328, 72337]]
['cathepsin', [72895, 72904]]
['cathepsin', [73130, 73139]]
['cathepsin', [73674, 73683]]
['d', [50, 51]]
['d', [81, 82]]
['d', [119, 120]]
['d', [125, 126]]
['d', [194, 195]]
['d', [195, 196]]
['d', [255, 256]]
['d', [263, 264]]
['d', [364, 365]]
['d', [390, 391]]
['d', [403, 404]]
['d', [422, 423]]
['d', [440, 441]]
['d', [476, 477]]
['d', [495, 496]]
['d', [503, 504]]
['d', [526, 527]]
['d', [613, 614]]
['d', [636, 637]]
['d', [659, 660]]
['d', [692, 693]]
['d', [750, 751]]
['d', [785, 786]]
['d', [840, 841]]
['d', [904, 905]]
['d', [937, 938]]
['d', [945, 946]]
['d', [976, 977]]
['d', [999, 1000]]
['d', [1066, 1067]]
['d', [1068, 1069]]
['d', [1095, 1096]]
['d', [1141, 1142]]
['d', [1153, 1154]]
['d', [1176, 1177]]
['d', [1213, 1214]]
['d', [1240, 1241]]
['d', [1277, 1278]]
['d', [1297, 1298]]
['d', [1316, 1317]]
['d', [1334, 1335]]
['d', [1359, 1360]]
['d', [1367, 1368]]
['d', [1383, 1384]]
['d', [1463, 1464]]
['d', [1548, 1549]]
['d', [1584, 1585]]
['d', [1630, 1631]]
['d', [1640, 1641]]
['d', [1677, 1678]]
['d', [1706, 1707]]
['d', [1738, 1739]]
['d', [1745, 1746]]
['d', [1761, 1762]]
['d', [1821, 1822]]
['d', [1832, 1833]]
['d', [1842, 1843]]
['d', [1901, 1902]]
['d', [1918, 1919]]
['d', [1932, 1933]]
['d', [1935, 1936]]
['d', [1942, 1943]]
['d', [1981, 1982]]
['d', [1994, 1995]]
['d', [2003, 2004]]
['d', [2020, 2021]]
['d', [2024, 2025]]
['d', [2036, 2037]]
['d', [2058, 2059]]
['d', [2079, 2080]]
['d', [2096, 2097]]
['d', [2112, 2113]]
['d', [2122, 2123]]
['d', [2208, 2209]]
['d', [2241, 2242]]
['d', [2267, 2268]]
['d', [2271, 2272]]
['d', [2284, 2285]]
['d', [2291, 2292]]
['d', [2319, 2320]]
['d', [2350, 2351]]
['d', [2445, 2446]]
['d', [2490, 2491]]
['d', [2523, 2524]]
['d', [2542, 2543]]
['d', [2635, 2636]]
['d', [2700, 2701]]
['d', [2704, 2705]]
['d', [2711, 2712]]
['d', [2749, 2750]]
['d', [2772, 2773]]
['d', [2842, 2843]]
['d', [2849, 2850]]
['d', [2875, 2876]]
['d', [2898, 2899]]
['d', [2920, 2921]]
['d', [2925, 2926]]
['d', [2931, 2932]]
['d', [2983, 2984]]
['d', [2999, 3000]]
['d', [3015, 3016]]
['d', [3042, 3043]]
['d', [3046, 3047]]
['d', [3053, 3054]]
['d', [3103, 3104]]
['d', [3122, 3123]]
['d', [3177, 3178]]
['d', [3186, 3187]]
['d', [3204, 3205]]
['d', [3224, 3225]]
['d', [3244, 3245]]
['d', [3256, 3257]]
['d', [3267, 3268]]
['d', [3315, 3316]]
['d', [3334, 3335]]
['d', [3345, 3346]]
