['tumor', [37055, 37060]]
['tumor', [37103, 37108]]
['tumor', [37279, 37284]]
['tumor', [37451, 37456]]
['tumor', [37593, 37598]]
['tumor', [37718, 37723]]
['tumor', [38167, 38172]]
['tumor', [38510, 38515]]
['tumor', [38578, 38583]]
['tumor', [38948, 38953]]
['tumor', [39155, 39160]]
['tumor', [39516, 39521]]
['tumor', [40740, 40745]]
['tumor', [40918, 40923]]
['tumor', [41525, 41530]]
['tumor', [42073, 42078]]
['tumor', [42181, 42186]]
['tumor', [42650, 42655]]
['tumor', [42744, 42749]]
['tumor', [42945, 42950]]
['tumor', [43100, 43105]]
['tumor', [43148, 43153]]
['tumor', [43324, 43329]]
['tumor', [43496, 43501]]
['tumor', [43638, 43643]]
['tumor', [43763, 43768]]
['tumor', [44212, 44217]]
['tumor', [44555, 44560]]
['tumor', [44623, 44628]]
['tumor', [44993, 44998]]
['tumor', [45200, 45205]]
['tumor', [45561, 45566]]
['tumor', [46785, 46790]]
['tumor', [46963, 46968]]
['tumor', [47570, 47575]]
['tumor', [48110, 48115]]
['tumor', [48218, 48223]]
['tumor', [48687, 48692]]
['tumor', [48781, 48786]]
['tumor', [48982, 48987]]
['tumor', [49137, 49142]]
['tumor', [49185, 49190]]
['tumor', [49361, 49366]]
['tumor', [49686, 49691]]
['tumor', [49794, 49799]]
['tumor', [50263, 50268]]
['tumor', [50357, 50362]]
['tumor', [50558, 50563]]
['tumor', [50713, 50718]]
['tumor', [50761, 50766]]
['tumor', [50937, 50942]]
['tumor', [51110, 51115]]
['tumor', [51252, 51257]]
['tumor', [51377, 51382]]
['tumor', [51826, 51831]]
['tumor', [52169, 52174]]
['tumor', [52237, 52242]]
['tumor', [52607, 52612]]
['tumor', [52814, 52819]]
['tumor', [53175, 53180]]
['tumor', [54058, 54063]]
['tumor', [54200, 54205]]
['tumor', [54325, 54330]]
['tumor', [54774, 54779]]
['tumor', [55117, 55122]]
['tumor', [55185, 55190]]
['tumor', [55555, 55560]]
['tumor', [55762, 55767]]
['tumor', [56123, 56128]]
['tumor', [57348, 57353]]
['tumor', [57526, 57531]]
['tumor', [58133, 58138]]
['tumor', [58863, 58868]]
['tumor', [59041, 59046]]
['tumor', [59648, 59653]]
['tumor', [60828, 60833]]
['tumor', [60910, 60915]]
['tumor', [61576, 61581]]
['tumor', [61658, 61663]]
['tumor', [61692, 61697]]
['tumor', [61745, 61750]]
['tumor', [61825, 61830]]
['tumor', [63176, 63181]]
['tumor', [63267, 63272]]
['tumor', [63860, 63865]]
['tumor', [65023, 65028]]
['tumor', [65086, 65091]]
['tumor', [65251, 65256]]
['tumor', [66508, 66513]]
['tumor', [66590, 66595]]
['tumor', [67256, 67261]]
['tumor', [67338, 67343]]
['tumor', [67372, 67377]]
