['\\(', [13145, 13147]]
['\\(', [13626, 13628]]
['\\(', [13952, 13954]]
['\\(', [14164, 14166]]
['\\(', [14256, 14258]]
['\\(', [14475, 14477]]
['\\(', [14524, 14526]]
['\\(', [14773, 14775]]
['\\(', [14885, 14887]]
['\\(', [15704, 15706]]
['\\(', [15875, 15877]]
['\\(', [15928, 15930]]
['\\(', [16107, 16109]]
['\\(', [16162, 16164]]
['\\(', [16200, 16202]]
['\\(', [16293, 16295]]
['\\(', [16398, 16400]]
['\\(', [16440, 16442]]
['\\(', [16490, 16492]]
['\\(', [16560, 16562]]
['\\(', [16588, 16590]]
['\\(', [16635, 16637]]
['\\(', [16678, 16680]]
['\\(', [16802, 16804]]
