['table', [20324, 20329]]
['table', [20654, 20659]]
['table', [21455, 21460]]
['table', [21542, 21547]]
['table', [21816, 21821]]
['table', [22105, 22110]]
['table', [23289, 23294]]
['table', [23597, 23602]]
['table', [23927, 23932]]
['table', [24728, 24733]]
['table', [37848, 37853]]
['table', [37855, 37860]]
['table', [38648, 38653]]
['table', [40854, 40859]]
['1', [447, 448]]
['1', [787, 788]]
['1', [865, 866]]
['1', [996, 997]]
['1', [998, 999]]
['1', [1004, 1005]]
['1', [1061, 1062]]
['1', [1066, 1067]]
['1', [1068, 1069]]
['1', [1072, 1073]]
['1', [1169, 1170]]
['1', [1175, 1176]]
['1', [1479, 1480]]
['1', [1804, 1805]]
['1', [1998, 1999]]
['1', [2110, 2111]]
['1', [2251, 2252]]
['1', [2455, 2456]]
['1', [3031, 3032]]
['1', [3214, 3215]]
['1', [3586, 3587]]
['1', [3784, 3785]]
['1', [4318, 4319]]
['1', [4321, 4322]]
['1', [4339, 4340]]
['1', [4360, 4361]]
['1', [4908, 4909]]
['1', [5221, 5222]]
['1', [5228, 5229]]
['1', [5237, 5238]]
['1', [5244, 5245]]
['1', [5365, 5366]]
['1', [5699, 5700]]
['1', [5706, 5707]]
['1', [6005, 6006]]
['1', [6038, 6039]]
['1', [6043, 6044]]
['1', [6099, 6100]]
['1', [6103, 6104]]
['1', [6151, 6152]]
['1', [6381, 6382]]
['1', [6671, 6672]]
['1', [7629, 7630]]
['1', [8151, 8152]]
['1', [8454, 8455]]
['1', [8473, 8474]]
['1', [8846, 8847]]
['1', [10583, 10584]]
['1', [10719, 10720]]
['1', [10731, 10732]]
['1', [11004, 11005]]
['1', [11550, 11551]]
['1', [11863, 11864]]
['1', [11870, 11871]]
['1', [11879, 11880]]
['1', [11886, 11887]]
['1', [12007, 12008]]
['1', [12341, 12342]]
['1', [12348, 12349]]
['1', [12647, 12648]]
['1', [12680, 12681]]
['1', [12685, 12686]]
['1', [12741, 12742]]
['1', [12745, 12746]]
['1', [12793, 12794]]
