['6', [46729, 46730]]
['6', [46733, 46734]]
['6', [46888, 46889]]
['6', [47258, 47259]]
['6', [47259, 47260]]
['6', [47743, 47744]]
['6', [50084, 50085]]
['6', [50858, 50859]]
['6', [52718, 52719]]
['6', [52912, 52913]]
['6', [53745, 53746]]
['6', [56542, 56543]]
['6', [57316, 57317]]
['6', [59176, 59177]]
['6', [59370, 59371]]
['6', [60203, 60204]]
['myocardial', [319, 329]]
['myocardial', [410, 420]]
['myocardial', [1095, 1105]]
['myocardial', [2144, 2154]]
['myocardial', [4196, 4206]]
['myocardial', [5288, 5298]]
['myocardial', [8929, 8939]]
['myocardial', [9171, 9181]]
['myocardial', [9388, 9398]]
['myocardial', [11043, 11053]]
['myocardial', [11530, 11540]]
['myocardial', [18113, 18123]]
['myocardial', [18355, 18365]]
['myocardial', [18572, 18582]]
['myocardial', [20229, 20239]]
['myocardial', [20717, 20727]]
['myocardial', [24347, 24357]]
['myocardial', [24442, 24452]]
['myocardial', [24578, 24588]]
['myocardial', [27193, 27203]]
['myocardial', [30262, 30272]]
['myocardial', [30357, 30367]]
['myocardial', [30493, 30503]]
['myocardial', [33108, 33118]]
['myocardial', [36169, 36179]]
['myocardial', [36264, 36274]]
['myocardial', [36400, 36410]]
['myocardial', [36517, 36527]]
['myocardial', [36612, 36622]]
['myocardial', [36748, 36758]]
['myocardial', [41809, 41819]]
['myocardial', [42541, 42551]]
['myocardial', [48413, 48423]]
['myocardial', [52471, 52481]]
['myocardial', [54373, 54383]]
['myocardial', [54871, 54881]]
['myocardial', [58929, 58939]]
['myocardial', [60831, 60841]]
['energy', [4207, 4213]]
['utilization', [4214, 4225]]
['16', [4226, 4228]]
['16', [29514, 29516]]
['16', [35429, 35431]]
['16', [45685, 45687]]
['16', [47257, 47259]]
['ischemia', [330, 338]]
['ischemia', [1882, 1890]]
['ischemia', [1961, 1969]]
['ischemia', [2220, 2228]]
['ischemia', [4008, 4016]]
['ischemia', [4412, 4420]]
['ischemia', [4584, 4592]]
['ischemia', [5115, 5123]]
['ischemia', [12887, 12895]]
['ischemia', [22075, 22083]]
['ischemia', [48072, 48080]]
['ischemia', [48197, 48205]]
['ischemia', [48558, 48566]]
['ischemia', [49130, 49138]]
['ischemia', [49628, 49636]]
['ischemia', [50336, 50344]]
['ischemia', [50396, 50404]]
['ischemia', [50671, 50679]]
['ischemia', [50802, 50810]]
['ischemia', [50892, 50900]]
['ischemia', [51435, 51443]]
['ischemia', [51889, 51897]]
['ischemia', [52291, 52299]]
['ischemia', [54257, 54265]]
['ischemia', [54530, 54538]]
['ischemia', [54655, 54663]]
['ischemia', [55016, 55024]]
['ischemia', [55588, 55596]]
['ischemia', [56086, 56094]]
['ischemia', [56794, 56802]]
['ischemia', [56854, 56862]]
['ischemia', [57129, 57137]]
['ischemia', [57260, 57268]]
['ischemia', [57350, 57358]]
['ischemia', [57893, 57901]]
['ischemia', [58347, 58355]]
['ischemia', [58749, 58757]]
['ischemia', [60715, 60723]]
['17', [4421, 4423]]
['17', [4484, 4486]]
['17', [29442, 29444]]
['17', [29453, 29455]]
['17', [29988, 29990]]
['17', [35357, 35359]]
['17', [35368, 35370]]
['17', [35903, 35905]]
['17', [45613, 45615]]
['17', [45624, 45626]]
['17', [46159, 46161]]
['17', [47185, 47187]]
['17', [47196, 47198]]
['17', [47731, 47733]]
['17', [50605, 50607]]
['17', [50680, 50682]]
['17', [50811, 50813]]
['17', [57063, 57065]]
['17', [57138, 57140]]
['17', [57269, 57271]]
['cardioprotection', [4737, 4753]]
['18', [4754, 4756]]
['18', [30218, 30220]]
['18', [36133, 36135]]
['18', [46389, 46391]]
['18', [47961, 47963]]
['18', [50078, 50080]]
['18', [56536, 56538]]
['22', [4761, 4763]]
['22', [12967, 12969]]
['22', [22155, 22157]]
['22', [29458, 29460]]
['22', [35373, 35375]]
['22', [45629, 45631]]
['22', [47201, 47203]]
['rabbits', [291, 298]]
['rabbits', [348, 355]]
['rabbits', [1083, 1090]]
['rabbits', [3363, 3370]]
['rabbits', [5087, 5094]]
['rabbits', [5237, 5244]]
['rabbits', [5331, 5338]]
['rabbits', [5933, 5940]]
['rabbits', [5972, 5979]]
['rabbits', [6653, 6660]]
['rabbits', [6759, 6766]]
['rabbits', [6973, 6980]]
['rabbits', [7121, 7128]]
['rabbits', [7814, 7821]]
['rabbits', [8620, 8627]]
['rabbits', [8766, 8773]]
['rabbits', [8989, 8996]]
['rabbits', [9252, 9259]]
['rabbits', [9531, 9538]]
['rabbits', [10465, 10472]]
['rabbits', [11641, 11648]]
['rabbits', [11812, 11819]]
['rabbits', [12624, 12631]]
['rabbits', [15155, 15162]]
['rabbits', [15836, 15843]]
['rabbits', [15942, 15949]]
['rabbits', [16157, 16164]]
['rabbits', [16305, 16312]]
['rabbits', [16998, 17005]]
['rabbits', [17804, 17811]]
['rabbits', [17950, 17957]]
['rabbits', [18173, 18180]]
['rabbits', [18436, 18443]]
['rabbits', [18716, 18723]]
['rabbits', [19651, 19658]]
['rabbits', [20828, 20835]]
['rabbits', [20999, 21006]]
['rabbits', [21812, 21819]]
['rabbits', [25134, 25141]]
['rabbits', [25206, 25213]]
['rabbits', [25264, 25271]]
['rabbits', [25480, 25487]]
['rabbits', [27293, 27300]]
['rabbits', [27750, 27757]]
['rabbits', [27912, 27919]]
['rabbits', [31049, 31056]]
['rabbits', [31121, 31128]]
['rabbits', [31179, 31186]]
['rabbits', [31395, 31402]]
['rabbits', [33208, 33215]]
['rabbits', [33665, 33672]]
['rabbits', [33827, 33834]]
['rabbits', [37748, 37755]]
['rabbits', [37820, 37827]]
['rabbits', [37878, 37885]]
['rabbits', [38094, 38101]]
['rabbits', [38219, 38226]]
['rabbits', [38291, 38298]]
['rabbits', [38349, 38356]]
['rabbits', [38565, 38572]]
['rabbits', [41909, 41916]]
['rabbits', [42366, 42373]]
['rabbits', [42641, 42648]]
['rabbits', [43098, 43105]]
['rabbits', [43261, 43268]]
['rabbits', [44082, 44089]]
['rabbits', [49172, 49179]]
['rabbits', [49423, 49430]]
['rabbits', [52137, 52144]]
['rabbits', [52904, 52911]]
['rabbits', [53014, 53021]]
['rabbits', [53144, 53151]]
['rabbits', [53421, 53428]]
['rabbits', [53761, 53768]]
['rabbits', [54218, 54225]]
['rabbits', [55630, 55637]]
['rabbits', [55881, 55888]]
['rabbits', [58595, 58602]]
['rabbits', [59362, 59369]]
['rabbits', [59472, 59479]]
['rabbits', [59602, 59609]]
['rabbits', [59879, 59886]]
['rabbits', [60219, 60226]]
['rabbits', [60676, 60683]]
['cao', [597, 600]]
['cao', [639, 642]]
['cao', [885, 888]]
['cao', [7207, 7210]]
['cao', [7394, 7397]]
['cao', [7609, 7612]]
['cao', [9834, 9837]]
['cao', [11924, 11927]]
['cao', [11966, 11969]]
['cao', [12662, 12665]]
['cao', [12778, 12781]]
['cao', [16391, 16394]]
['cao', [16578, 16581]]
['cao', [16793, 16796]]
['cao', [19019, 19022]]
['cao', [21111, 21114]]
['cao', [21153, 21156]]
['cao', [21850, 21853]]
['cao', [21966, 21969]]
['cao', [25809, 25812]]
['cao', [26372, 26375]]
['cao', [31724, 31727]]
['cao', [32287, 32290]]
['cao', [38895, 38898]]
['cao', [39458, 39461]]
['cao', [40016, 40019]]
['cao', [40579, 40582]]
['ttc', [10823, 10826]]
['ttc', [20009, 20012]]
['figure', [7111, 7117]]
['figure', [9453, 9459]]
['figure', [12733, 12739]]
['figure', [14089, 14095]]
['figure', [16295, 16301]]
['figure', [18637, 18643]]
['figure', [21921, 21927]]
['figure', [23277, 23283]]
['figure', [24419, 24425]]
['figure', [26610, 26616]]
['figure', [26960, 26966]]
['figure', [27705, 27711]]
['figure', [27786, 27792]]
['figure', [28063, 28069]]
['figure', [28101, 28107]]
['figure', [28213, 28219]]
['figure', [28351, 28357]]
['figure', [28425, 28431]]
['figure', [28536, 28542]]
['figure', [28617, 28623]]
['figure', [28658, 28664]]
['figure', [29583, 29589]]
['figure', [29842, 29848]]
['figure', [30334, 30340]]
['figure', [32525, 32531]]
['figure', [32875, 32881]]
['figure', [33620, 33626]]
['figure', [33701, 33707]]
['figure', [33978, 33984]]
['figure', [34016, 34022]]
['figure', [34128, 34134]]
['figure', [34266, 34272]]
['figure', [34340, 34346]]
