['4', [28128, 28129]]
['4', [28158, 28159]]
['4', [28845, 28846]]
['4', [29328, 29329]]
['4', [30172, 30173]]
['4', [30200, 30201]]
['4', [30288, 30289]]
['4', [30305, 30306]]
['4', [30453, 30454]]
['4', [32206, 32207]]
['4', [32222, 32223]]
['4', [32546, 32547]]
['4', [32562, 32563]]
['4', [33418, 33419]]
['4', [33448, 33449]]
['4', [34135, 34136]]
['4', [34618, 34619]]
['4', [35462, 35463]]
['4', [35490, 35491]]
['4', [35578, 35579]]
['4', [35595, 35596]]
['4', [35743, 35744]]
['4', [37496, 37497]]
['4', [37512, 37513]]
['4', [38178, 38179]]
['4', [38182, 38183]]
['4', [38211, 38212]]
['4', [38232, 38233]]
['4', [38252, 38253]]
['4', [38256, 38257]]
['4', [38268, 38269]]
['4', [38297, 38298]]
['4', [38300, 38301]]
['4', [38339, 38340]]
['4', [38351, 38352]]
['4', [38384, 38385]]
['4', [38390, 38391]]
['4', [38395, 38396]]
['4', [38397, 38398]]
['4', [38418, 38419]]
['4', [38429, 38430]]
['4', [38437, 38438]]
['4', [38449, 38450]]
['4', [38455, 38456]]
['4', [38459, 38460]]
['4', [38567, 38568]]
['4', [38593, 38594]]
['4', [38609, 38610]]
['4', [38626, 38627]]
['4', [38633, 38634]]
['4', [38638, 38639]]
['4', [38650, 38651]]
['4', [38661, 38662]]
['4', [38680, 38681]]
['4', [38688, 38689]]
['4', [38691, 38692]]
['4', [38720, 38721]]
['4', [38733, 38734]]
['4', [38751, 38752]]
['4', [38780, 38781]]
['4', [38810, 38811]]
['4', [38840, 38841]]
['4', [38855, 38856]]
['4', [38860, 38861]]
['4', [38926, 38927]]
['4', [38968, 38969]]
['4', [38980, 38981]]
['4', [38982, 38983]]
['4', [38990, 38991]]
['4', [38993, 38994]]
['4', [39036, 39037]]
['4', [39047, 39048]]
['4', [39059, 39060]]
['4', [39061, 39062]]
['4', [39095, 39096]]
['4', [39107, 39108]]
['4', [39110, 39111]]
['4', [39136, 39137]]
['4', [39147, 39148]]
['4', [39177, 39178]]
['4', [39189, 39190]]
['4', [39227, 39228]]
['4', [39228, 39229]]
['4', [39253, 39254]]
['4', [39302, 39303]]
['4', [39350, 39351]]
['4', [39398, 39399]]
['4', [39850, 39851]]
['4', [39880, 39881]]
['4', [39910, 39911]]
['4', [39946, 39947]]
['4', [39989, 39990]]
['4', [40013, 40014]]
['4', [40021, 40022]]
['4', [40024, 40025]]
['4', [40053, 40054]]
['4', [40081, 40082]]
['4', [40090, 40091]]
['4', [40178, 40179]]
['4', [40201, 40202]]
['4', [40231, 40232]]
['4', [40279, 40280]]
['4', [40303, 40304]]
['4', [40333, 40334]]
['4', [40376, 40377]]
['4', [40405, 40406]]
['4', [40434, 40435]]
['4', [40455, 40456]]
['4', [40541, 40542]]
['4', [40542, 40543]]
['4', [40618, 40619]]
['4', [40624, 40625]]
['4', [40630, 40631]]
['4', [40632, 40633]]
['4', [40640, 40641]]
['4', [40643, 40644]]
['4', [40721, 40722]]
['4', [40732, 40733]]
['4', [40761, 40762]]
['4', [40770, 40771]]
['4', [40789, 40790]]
['4', [40809, 40810]]
['4', [40810, 40811]]
['4', [40829, 40830]]
['4', [40833, 40834]]
['4', [40858, 40859]]
['4', [40862, 40863]]
['4', [41176, 41177]]
['4', [41538, 41539]]
['4', [41540, 41541]]
['4', [41566, 41567]]
['4', [41578, 41579]]
['4', [41605, 41606]]
['4', [41633, 41634]]
['4', [41634, 41635]]
['4', [41656, 41657]]
['4', [41671, 41672]]
['4', [41676, 41677]]
['4', [41709, 41710]]
['4', [41756, 41757]]
['4', [41787, 41788]]
['4', [41811, 41812]]
['4', [41815, 41816]]
['4', [41825, 41826]]
['4', [41847, 41848]]
['4', [41859, 41860]]
['4', [41863, 41864]]
['4', [41873, 41874]]
['4', [41874, 41875]]
['4', [41879, 41880]]
['4', [41880, 41881]]
['4', [41889, 41890]]
['4', [41928, 41929]]
['4', [41949, 41950]]
['4', [41952, 41953]]
['4', [41973, 41974]]
['4', [41993, 41994]]
['4', [42011, 42012]]
['4', [42016, 42017]]
['4', [42035, 42036]]
['4', [42065, 42066]]
['4', [42067, 42068]]
['4', [42075, 42076]]
['4', [42078, 42079]]
['4', [42095, 42096]]
['4', [42104, 42105]]
['4', [42106, 42107]]
['4', [42118, 42119]]
['4', [42125, 42126]]
['4', [42136, 42137]]
['4', [42142, 42143]]
['4', [42163, 42164]]
['4', [42222, 42223]]
['4', [42224, 42225]]
['4', [42246, 42247]]
['4', [42294, 42295]]
['4', [42311, 42312]]
['4', [42323, 42324]]
['4', [42347, 42348]]
['4', [42768, 42769]]
['4', [42772, 42773]]
['4', [42801, 42802]]
['4', [42822, 42823]]
['4', [42842, 42843]]
['4', [42846, 42847]]
['4', [42858, 42859]]
['4', [42887, 42888]]
['4', [42890, 42891]]
['4', [42929, 42930]]
['4', [42941, 42942]]
['4', [42974, 42975]]
['4', [42980, 42981]]
['4', [42985, 42986]]
['4', [42987, 42988]]
['4', [43008, 43009]]
['4', [43019, 43020]]
['4', [43027, 43028]]
['4', [43039, 43040]]
['4', [43045, 43046]]
['4', [43049, 43050]]
['4', [43157, 43158]]
['4', [43183, 43184]]
['4', [43199, 43200]]
['4', [43216, 43217]]
['4', [43223, 43224]]
['4', [43228, 43229]]
['4', [43240, 43241]]
['4', [43251, 43252]]
['4', [43270, 43271]]
['4', [43278, 43279]]
['4', [43281, 43282]]
['4', [43310, 43311]]
['4', [43323, 43324]]
['4', [43341, 43342]]
['4', [43370, 43371]]
['4', [43400, 43401]]
['4', [43430, 43431]]
['4', [43445, 43446]]
['4', [43450, 43451]]
['4', [43516, 43517]]
['4', [43558, 43559]]
['4', [43570, 43571]]
['4', [43572, 43573]]
['4', [43580, 43581]]
['4', [43583, 43584]]
['4', [43626, 43627]]
['4', [43637, 43638]]
['4', [43649, 43650]]
['4', [43651, 43652]]
['4', [43685, 43686]]
['4', [43697, 43698]]
['4', [43700, 43701]]
['4', [43726, 43727]]
['4', [43737, 43738]]
['4', [43767, 43768]]
['4', [43779, 43780]]
['4', [43817, 43818]]
['4', [43818, 43819]]
['4', [43843, 43844]]
['4', [43892, 43893]]
['4', [43940, 43941]]
['4', [43988, 43989]]
['4', [44440, 44441]]
['4', [44470, 44471]]
['4', [44500, 44501]]
['4', [44536, 44537]]
['4', [44579, 44580]]
['4', [44603, 44604]]
['4', [44611, 44612]]
['4', [44614, 44615]]
['4', [44643, 44644]]
['4', [44671, 44672]]
['4', [44680, 44681]]
['4', [44768, 44769]]
['4', [44791, 44792]]
['4', [44821, 44822]]
['4', [44869, 44870]]
['4', [44893, 44894]]
['4', [44923, 44924]]
['4', [44966, 44967]]
['4', [44995, 44996]]
['4', [45024, 45025]]
['4', [45045, 45046]]
['4', [45131, 45132]]
['4', [45132, 45133]]
['4', [45208, 45209]]
['4', [45214, 45215]]
['4', [45220, 45221]]
