['3', [20088, 20089]]
['3', [20090, 20091]]
['3', [20239, 20240]]
['3', [20308, 20309]]
['3', [20515, 20516]]
['3', [20523, 20524]]
['3', [20542, 20543]]
['3', [20598, 20599]]
['3', [20756, 20757]]
['3', [20761, 20762]]
['3', [20840, 20841]]
['3', [20848, 20849]]
['3', [20854, 20855]]
['3', [21320, 21321]]
['3', [21339, 21340]]
['3', [21342, 21343]]
['3', [21475, 21476]]
['3', [21477, 21478]]
['3', [21645, 21646]]
['3', [21964, 21965]]
['3', [24961, 24962]]
['3', [25265, 25266]]
['3', [25298, 25299]]
['3', [25506, 25507]]
['3', [25507, 25508]]
['3', [25587, 25588]]
['3', [25589, 25590]]
['3', [25738, 25739]]
['3', [25807, 25808]]
['3', [26014, 26015]]
['3', [26022, 26023]]
['3', [26041, 26042]]
['3', [26097, 26098]]
['3', [26255, 26256]]
['3', [26260, 26261]]
['3', [26339, 26340]]
['3', [26347, 26348]]
['3', [26353, 26354]]
['3', [26544, 26545]]
['3', [26848, 26849]]
['3', [26881, 26882]]
['3', [27089, 27090]]
['3', [27090, 27091]]
['3', [27170, 27171]]
['3', [27172, 27173]]
['3', [27321, 27322]]
['3', [27390, 27391]]
['3', [27597, 27598]]
['3', [27605, 27606]]
['3', [27624, 27625]]
['3', [27680, 27681]]
['3', [27838, 27839]]
['3', [27843, 27844]]
['3', [27922, 27923]]
['3', [27930, 27931]]
['3', [27936, 27937]]
['3', [28403, 28404]]
['3', [28422, 28423]]
['3', [28425, 28426]]
['3', [28558, 28559]]
['3', [28560, 28561]]
['3', [28728, 28729]]
['3', [29047, 29048]]
['3', [29472, 29473]]
['3', [29491, 29492]]
['3', [29494, 29495]]
['3', [29627, 29628]]
['3', [29629, 29630]]
['3', [29797, 29798]]
['3', [30116, 30117]]
['3', [31993, 31994]]
['3', [33196, 33197]]
['3', [33320, 33321]]
['3', [34015, 34016]]
['3', [34178, 34179]]
['3', [34756, 34757]]
['3', [34771, 34772]]
['3', [34776, 34777]]
['3', [34892, 34893]]
['3', [34893, 34894]]
['3', [35219, 35220]]
['3', [35676, 35677]]
['3', [36231, 36232]]
['3', [36240, 36241]]
['3', [37165, 37166]]
['3', [37172, 37173]]
['3', [37250, 37251]]
['3', [37401, 37402]]
['3', [37406, 37407]]
['3', [37674, 37675]]
['3', [40966, 40967]]
['3', [41049, 41050]]
['3', [41175, 41176]]
['3', [42156, 42157]]
['3', [42172, 42173]]
['3', [42238, 42239]]
['3', [42292, 42293]]
