['types', [18453, 18458]]
['types', [23341, 23346]]
['types', [25772, 25777]]
['types', [30093, 30098]]
['types', [42580, 42585]]
['types', [47839, 47844]]
['major', [2767, 2772]]
['major', [3041, 3046]]
['major', [3213, 3218]]
['major', [29576, 29581]]
['major', [30457, 30462]]
['major', [36065, 36070]]
['structural', [3047, 3057]]
['structural', [7679, 7689]]
['16', [14, 16]]
['16', [989, 991]]
['16', [1383, 1385]]
['16', [1693, 1695]]
['16', [1730, 1732]]
['16', [1755, 1757]]
['16', [1786, 1788]]
['16', [1816, 1818]]
['16', [3700, 3702]]
['16', [4009, 4011]]
['16', [4502, 4504]]
['16', [5694, 5696]]
['16', [6368, 6370]]
['16', [7526, 7528]]
['16', [8614, 8616]]
['16', [9064, 9066]]
['16', [10917, 10919]]
['16', [12251, 12253]]
['16', [17283, 17285]]
['16', [17471, 17473]]
['16', [24602, 24604]]
['16', [24790, 24792]]
['16', [28502, 28504]]
['16', [28740, 28742]]
['16', [29214, 29216]]
['16', [29407, 29409]]
['16', [29457, 29459]]
['16', [29524, 29526]]
['16', [29645, 29647]]
['16', [29711, 29713]]
['16', [29974, 29976]]
['16', [30192, 30194]]
['16', [30395, 30397]]
['16', [30474, 30476]]
['16', [30557, 30559]]
['16', [30754, 30756]]
['16', [30843, 30845]]
['16', [31130, 31132]]
['16', [31994, 31996]]
['16', [32222, 32224]]
['16', [32448, 32450]]
['16', [32637, 32639]]
['16', [32843, 32845]]
['16', [33050, 33052]]
['16', [33111, 33113]]
['16', [33655, 33657]]
['16', [33900, 33902]]
['16', [34012, 34014]]
['16', [34535, 34537]]
['16', [34586, 34588]]
['16', [34686, 34688]]
['16', [34793, 34795]]
['16', [35214, 35216]]
['16', [35309, 35311]]
['16', [35373, 35375]]
['16', [35433, 35435]]
['16', [35495, 35497]]
['16', [35659, 35661]]
['16', [35736, 35738]]
['16', [35894, 35896]]
['16', [35964, 35966]]
['16', [36082, 36084]]
['16', [36165, 36167]]
['16', [36362, 36364]]
['16', [36451, 36453]]
['16', [36738, 36740]]
['16', [37603, 37605]]
['16', [37831, 37833]]
['16', [38057, 38059]]
['16', [38246, 38248]]
['16', [38452, 38454]]
['16', [38660, 38662]]
['16', [38721, 38723]]
['16', [39265, 39267]]
['16', [39510, 39512]]
['16', [39622, 39624]]
['16', [40145, 40147]]
['16', [40197, 40199]]
['16', [40297, 40299]]
['16', [40404, 40406]]
['16', [40825, 40827]]
['16', [40920, 40922]]
['16', [40984, 40986]]
['16', [41044, 41046]]
['16', [41106, 41108]]
['16', [41270, 41272]]
['16', [41347, 41349]]
['16', [41505, 41507]]
['16', [41575, 41577]]
['16', [41669, 41671]]
['16', [41727, 41729]]
['16', [41992, 41994]]
['16', [42110, 42112]]
['16', [42144, 42146]]
['16', [42232, 42234]]
['16', [42267, 42269]]
['16', [42395, 42397]]
['16', [42491, 42493]]
['16', [42563, 42565]]
['16', [42616, 42618]]
['16', [42732, 42734]]
['16', [42813, 42815]]
['16', [42943, 42945]]
['16', [43006, 43008]]
['16', [43103, 43105]]
['16', [43210, 43212]]
['16', [43281, 43283]]
['16', [43433, 43435]]
['16', [43553, 43555]]
['16', [43582, 43584]]
['16', [43768, 43770]]
['16', [44004, 44006]]
['16', [44120, 44122]]
['16', [44160, 44162]]
['16', [44244, 44246]]
['16', [44384, 44386]]
['16', [44594, 44596]]
['16', [44691, 44693]]
['16', [44849, 44851]]
['16', [44948, 44950]]
['16', [45089, 45091]]
['16', [45154, 45156]]
['16', [45235, 45237]]
['16', [45348, 45350]]
['16', [45526, 45528]]
['16', [45613, 45615]]
['16', [45724, 45726]]
['16', [45823, 45825]]
['16', [45993, 45995]]
['16', [46149, 46151]]
['16', [46227, 46229]]
['16', [46269, 46271]]
['16', [46394, 46396]]
['16', [46574, 46576]]
['16', [46865, 46867]]
['16', [46986, 46988]]
['16', [47251, 47253]]
['16', [47369, 47371]]
['16', [47403, 47405]]
['16', [47491, 47493]]
['16', [47526, 47528]]
['16', [47654, 47656]]
['16', [47750, 47752]]
['16', [47822, 47824]]
['16', [47875, 47877]]
['16', [47991, 47993]]
['16', [48072, 48074]]
['16', [48202, 48204]]
['16', [48265, 48267]]
['16', [48362, 48364]]
['16', [48469, 48471]]
['16', [48540, 48542]]
['16', [48692, 48694]]
['16', [48813, 48815]]
['16', [48842, 48844]]
['16', [49028, 49030]]
['16', [49264, 49266]]
['16', [49380, 49382]]
['16', [49420, 49422]]
['16', [49504, 49506]]
['16', [49644, 49646]]
['16', [49854, 49856]]
['16', [49951, 49953]]
['16', [50109, 50111]]
['16', [50208, 50210]]
['16', [50349, 50351]]
['16', [50414, 50416]]
['16', [50495, 50497]]
['16', [50609, 50611]]
['16', [50787, 50789]]
['16', [50874, 50876]]
['16', [50985, 50987]]
['16', [51084, 51086]]
['16', [51254, 51256]]
['16', [51410, 51412]]
['16', [51488, 51490]]
['16', [51530, 51532]]
['16', [51655, 51657]]
['16', [51835, 51837]]
['16', [52126, 52128]]
['16', [52243, 52245]]
['16', [52350, 52352]]
['16', [52816, 52818]]
['16', [53230, 53232]]
['16', [53398, 53400]]
['16', [54315, 54317]]
['16', [54417, 54419]]
['16', [55255, 55257]]
['16', [55314, 55316]]
['16', [55371, 55373]]
['16', [55421, 55423]]
['16', [55481, 55483]]
['16', [55535, 55537]]
['16', [55595, 55597]]
['16', [55713, 55715]]
['16', [56223, 56225]]
['16', [56226, 56228]]
['16', [56550, 56552]]
['16', [57139, 57141]]
['e6', [5407, 5409]]
['e6', [6913, 6915]]
['e6', [7012, 7014]]
['e6', [7228, 7230]]
['e6', [7589, 7591]]
['e6', [7974, 7976]]
['e6', [8321, 8323]]
['e6', [8617, 8619]]
['e6', [9107, 9109]]
['e6', [9311, 9313]]
['e6', [10116, 10118]]
['e6', [10661, 10663]]
['e6', [10734, 10736]]
['e6', [10786, 10788]]
['e6', [10828, 10830]]
['e6', [10846, 10848]]
['e6', [10885, 10887]]
['e6', [10957, 10959]]
['e6', [11000, 11002]]
['e6', [11009, 11011]]
['e6', [11897, 11899]]
['e6', [12147, 12149]]
['e6', [12693, 12695]]
['e6', [12753, 12755]]
['e6', [14157, 14159]]
['e6', [14548, 14550]]
['e6', [15492, 15494]]
['e6', [15583, 15585]]
['e6', [15916, 15918]]
['e6', [17168, 17170]]
['e6', [17286, 17288]]
['e6', [21476, 21478]]
['e6', [21867, 21869]]
['e6', [22811, 22813]]
['e6', [22902, 22904]]
['e6', [23235, 23237]]
['e6', [24487, 24489]]
['e6', [24605, 24607]]
['e6', [28808, 28810]]
['e6', [28888, 28890]]
['e6', [53186, 53188]]
['e6', [55051, 55053]]
['e6', [55132, 55134]]
['e6', [55196, 55198]]
['proteins', [5630, 5638]]
['proteins', [6622, 6630]]
['proteins', [7022, 7030]]
['proteins', [10671, 10679]]
['infected', [225, 233]]
['infected', [5670, 5678]]
['cells', [5679, 5684]]
['cells', [8252, 8257]]
['cells', [29288, 29293]]
['cells', [29509, 29514]]
['cells', [30332, 30337]]
