['epithelial', [1247, 1257]]
['epithelial', [1634, 1644]]
['epithelial', [2720, 2730]]
['epithelial', [2847, 2857]]
['epithelial', [2924, 2934]]
['epithelial', [9344, 9354]]
['epithelial', [11825, 11835]]
['epithelial', [12120, 12130]]
['epithelial', [13257, 13267]]
['epithelial', [13766, 13776]]
['epithelial', [34555, 34565]]
['epithelial', [37034, 37044]]
['epithelial', [37329, 37339]]
['epithelial', [38465, 38475]]
['epithelial', [38974, 38984]]
['epithelial', [42752, 42762]]
['epithelial', [45231, 45241]]
['epithelial', [45526, 45536]]
['epithelial', [46662, 46672]]
['epithelial', [47171, 47181]]
['epithelial', [50105, 50115]]
['epithelial', [52379, 52389]]
['epithelial', [53492, 53502]]
['epithelial', [53848, 53858]]
['epithelial', [53934, 53944]]
['epithelial', [55489, 55499]]
['epithelial', [57397, 57407]]
['epithelial', [59671, 59681]]
['epithelial', [60784, 60794]]
['epithelial', [61140, 61150]]
['epithelial', [61226, 61236]]
['epithelial', [62781, 62791]]
['epithelial', [65120, 65130]]
['epithelial', [65692, 65702]]
['epithelial', [67862, 67872]]
['epithelial', [68434, 68444]]
['marker', [1258, 1264]]
['marker', [1314, 1320]]
['marker', [3196, 3202]]
['marker', [9355, 9361]]
['marker', [11469, 11475]]
['marker', [11836, 11842]]
['marker', [11889, 11895]]
['marker', [12811, 12817]]
['marker', [13268, 13274]]
['marker', [13321, 13327]]
['marker', [13997, 14003]]
['marker', [14404, 14410]]
['marker', [34566, 34572]]
['marker', [36678, 36684]]
['marker', [37045, 37051]]
['marker', [37098, 37104]]
['marker', [38019, 38025]]
['marker', [38476, 38482]]
['marker', [38529, 38535]]
['marker', [39205, 39211]]
['marker', [39612, 39618]]
['marker', [42763, 42769]]
['marker', [44875, 44881]]
['marker', [45242, 45248]]
['marker', [45295, 45301]]
['marker', [46216, 46222]]
['marker', [46673, 46679]]
['marker', [46726, 46732]]
['marker', [47402, 47408]]
['marker', [47809, 47815]]
['marker', [50406, 50412]]
['marker', [50592, 50598]]
['marker', [56365, 56371]]
['marker', [57698, 57704]]
['marker', [57884, 57890]]
['marker', [63657, 63663]]
['e-cadherin', [1265, 1275]]
['e-cadherin', [3131, 3141]]
['e-cadherin', [3413, 3423]]
['e-cadherin', [3546, 3556]]
['e-cadherin', [4434, 4444]]
['e-cadherin', [9362, 9372]]
['e-cadherin', [11843, 11853]]
['e-cadherin', [13275, 13285]]
['e-cadherin', [13541, 13551]]
['e-cadherin', [14176, 14186]]
['e-cadherin', [17352, 17362]]
['e-cadherin', [20532, 20542]]
['e-cadherin', [25842, 25852]]
['e-cadherin', [29026, 29036]]
['e-cadherin', [34573, 34583]]
['e-cadherin', [37052, 37062]]
['e-cadherin', [38483, 38493]]
['e-cadherin', [38749, 38759]]
['e-cadherin', [39384, 39394]]
['e-cadherin', [42770, 42780]]
['e-cadherin', [45249, 45259]]
['e-cadherin', [46680, 46690]]
['e-cadherin', [46946, 46956]]
['e-cadherin', [47581, 47591]]
['e-cadherin', [50432, 50442]]
['e-cadherin', [50555, 50565]]
['e-cadherin', [50870, 50880]]
['e-cadherin', [52104, 52114]]
['e-cadherin', [52251, 52261]]
['e-cadherin', [52485, 52495]]
['e-cadherin', [52773, 52783]]
['e-cadherin', [53249, 53259]]
['e-cadherin', [53439, 53449]]
['e-cadherin', [53883, 53893]]
['e-cadherin', [57724, 57734]]
['e-cadherin', [57847, 57857]]
['e-cadherin', [58162, 58172]]
['e-cadherin', [59396, 59406]]
['e-cadherin', [59543, 59553]]
['e-cadherin', [59777, 59787]]
['e-cadherin', [60065, 60075]]
['e-cadherin', [60541, 60551]]
['e-cadherin', [60731, 60741]]
['e-cadherin', [61175, 61185]]
['e-cadherin', [64349, 64359]]
['e-cadherin', [64563, 64573]]
['e-cadherin', [64923, 64933]]
['e-cadherin', [65353, 65363]]
['e-cadherin', [65509, 65519]]
['e-cadherin', [67091, 67101]]
['e-cadherin', [67305, 67315]]
['e-cadherin', [67665, 67675]]
['e-cadherin', [68095, 68105]]
['e-cadherin', [68251, 68261]]
['mesenchymal', [89, 100]]
['mesenchymal', [424, 435]]
['mesenchymal', [1302, 1313]]
['mesenchymal', [2734, 2745]]
['mesenchymal', [2971, 2982]]
['mesenchymal', [3184, 3195]]
['mesenchymal', [9472, 9483]]
['mesenchymal', [11877, 11888]]
['mesenchymal', [13309, 13320]]
['mesenchymal', [34683, 34694]]
['mesenchymal', [37086, 37097]]
['mesenchymal', [38517, 38528]]
['mesenchymal', [42880, 42891]]
['mesenchymal', [45283, 45294]]
['mesenchymal', [46714, 46725]]
['mesenchymal', [49914, 49925]]
['mesenchymal', [52367, 52378]]
['mesenchymal', [53165, 53176]]
['mesenchymal', [53833, 53844]]
['mesenchymal', [55408, 55419]]
['mesenchymal', [57206, 57217]]
['mesenchymal', [59659, 59670]]
['mesenchymal', [60457, 60468]]
['mesenchymal', [61125, 61136]]
['mesenchymal', [62700, 62711]]
['markers', [1314, 1321]]
['markers', [3196, 3203]]
['markers', [11469, 11476]]
['markers', [11889, 11896]]
['markers', [13321, 13328]]
['markers', [13997, 14004]]
['markers', [14404, 14411]]
['markers', [36678, 36685]]
['markers', [37098, 37105]]
['markers', [38529, 38536]]
['markers', [39205, 39212]]
['markers', [39612, 39619]]
['markers', [44875, 44882]]
['markers', [45295, 45302]]
['markers', [46726, 46733]]
['markers', [47402, 47409]]
['markers', [47809, 47816]]
['vimentin', [1330, 1338]]
['vimentin', [1547, 1555]]
['vimentin', [3212, 3220]]
['vimentin', [3578, 3586]]
['vimentin', [9501, 9509]]
['vimentin', [11916, 11924]]
['vimentin', [13336, 13344]]
['vimentin', [17382, 17390]]
['vimentin', [20544, 20552]]
['vimentin', [25872, 25880]]
['vimentin', [29038, 29046]]
['vimentin', [34712, 34720]]
['vimentin', [37125, 37133]]
['vimentin', [38544, 38552]]
['vimentin', [42909, 42917]]
['vimentin', [45322, 45330]]
['vimentin', [46741, 46749]]
['vimentin', [50447, 50455]]
['vimentin', [50838, 50846]]
['vimentin', [52143, 52151]]
['vimentin', [52267, 52275]]
['vimentin', [57739, 57747]]
['vimentin', [58130, 58138]]
['vimentin', [59435, 59443]]
['vimentin', [59559, 59567]]
['vimentin', [64402, 64410]]
['vimentin', [64514, 64522]]
['vimentin', [64980, 64988]]
['vimentin', [65412, 65420]]
['vimentin', [67144, 67152]]
['vimentin', [67256, 67264]]
['vimentin', [67722, 67730]]
['vimentin', [68154, 68162]]
['zeb1\\.', [1343, 1349]]
['zeb1\\.', [52667, 52673]]
['zeb1\\.', [59959, 59965]]
['zeb1', [1343, 1347]]
['zeb1', [1531, 1535]]
['zeb1', [4570, 4574]]
['zeb1', [11907, 11911]]
['zeb1', [13330, 13334]]
['zeb1', [14237, 14241]]
['zeb1', [17313, 17317]]
['zeb1', [25803, 25807]]
['zeb1', [37116, 37120]]
['zeb1', [38538, 38542]]
['zeb1', [39445, 39449]]
['zeb1', [45313, 45317]]
['zeb1', [46735, 46739]]
['zeb1', [47642, 47646]]
['zeb1', [52153, 52157]]
['zeb1', [52239, 52243]]
['zeb1', [52413, 52417]]
