['nf', [18931, 18933]]
['nf', [19085, 19087]]
['nf', [19388, 19390]]
['nf', [19458, 19460]]
['nf', [20025, 20027]]
['nf', [20056, 20058]]
['nf', [20066, 20068]]
['nf', [20146, 20148]]
['nf', [20501, 20503]]
['nf', [20859, 20861]]
['nf', [21058, 21060]]
['nf', [21252, 21254]]
['nf', [21305, 21307]]
['nf', [21550, 21552]]
['nf', [21968, 21970]]
['nf', [22081, 22083]]
['nf', [22183, 22185]]
['nf', [22492, 22494]]
['nf', [22699, 22701]]
['nf', [22844, 22846]]
['nf', [22894, 22896]]
['nf', [23105, 23107]]
['nf', [23337, 23339]]
['nf', [23559, 23561]]
['nf', [23639, 23641]]
['nf', [23782, 23784]]
['nf', [23821, 23823]]
['nf', [24585, 24587]]
['nf', [24902, 24904]]
['nf', [25202, 25204]]
['nf', [25232, 25234]]
['nf', [25386, 25388]]
['nf', [25689, 25691]]
['nf', [25759, 25761]]
['nf', [26326, 26328]]
['nf', [26357, 26359]]
['nf', [26367, 26369]]
['nf', [26447, 26449]]
['nf', [26802, 26804]]
['nf', [27160, 27162]]
['nf', [27359, 27361]]
['nf', [27553, 27555]]
['nf', [27606, 27608]]
['nf', [27851, 27853]]
['nf', [28269, 28271]]
['nf', [28382, 28384]]
['nf', [28484, 28486]]
['nf', [28793, 28795]]
['nf', [29000, 29002]]
['nf', [29145, 29147]]
['nf', [29195, 29197]]
['nf', [29406, 29408]]
['nf', [29638, 29640]]
['nf', [30907, 30909]]
['nf', [31049, 31051]]
['nf', [31422, 31424]]
['nf', [31694, 31696]]
['nf', [31987, 31989]]
['nf', [32560, 32562]]
['nf', [33836, 33838]]
['nf', [33978, 33980]]
['nf', [34351, 34353]]
['nf', [34623, 34625]]
['nf', [34916, 34918]]
['nf', [35489, 35491]]
['\\?', [564, 566]]
['\\?', [1052, 1054]]
['\\?', [1259, 1261]]
['\\?', [1463, 1465]]
['\\?', [4784, 4786]]
['\\?', [4803, 4805]]
['\\?', [5172, 5174]]
['\\?', [5191, 5193]]
['\\?', [5282, 5284]]
['\\?', [6110, 6112]]
['\\?', [6542, 6544]]
['\\?', [6658, 6660]]
['\\?', [6911, 6913]]
['\\?', [6917, 6919]]
['\\?', [6919, 6921]]
['\\?', [6926, 6928]]
['\\?', [7198, 7200]]
['\\?', [7206, 7208]]
['\\?', [7208, 7210]]
['\\?', [8121, 8123]]
['\\?', [8140, 8142]]
['\\?', [8509, 8511]]
['\\?', [8528, 8530]]
['\\?', [8619, 8621]]
['\\?', [9448, 9450]]
['\\?', [9881, 9883]]
