['tgf-', [80181, 80185]]
['tgf-', [80246, 80250]]
['tgf-', [80608, 80612]]
['tgf-', [80791, 80795]]
['tgf-', [86093, 86097]]
['egg-stimulated', [633, 647]]
['egg-stimulated', [17379, 17393]]
['egg-stimulated', [17544, 17558]]
['egg-stimulated', [18623, 18637]]
['egg-stimulated', [19988, 20002]]
['egg-stimulated', [20682, 20696]]
['egg-stimulated', [20997, 21011]]
['egg-stimulated', [22500, 22514]]
['egg-stimulated', [23304, 23318]]
['egg-stimulated', [23921, 23935]]
['egg-stimulated', [26767, 26781]]
['egg-stimulated', [26932, 26946]]
['egg-stimulated', [28011, 28025]]
['egg-stimulated', [29376, 29390]]
['egg-stimulated', [30070, 30084]]
['egg-stimulated', [30385, 30399]]
['egg-stimulated', [31888, 31902]]
['egg-stimulated', [32692, 32706]]
['egg-stimulated', [33309, 33323]]
['egg-stimulated', [37359, 37373]]
['egg-stimulated', [37524, 37538]]
['egg-stimulated', [39228, 39242]]
['egg-stimulated', [39393, 39407]]
['egg-stimulated', [40473, 40487]]
['egg-stimulated', [41580, 41594]]
['egg-stimulated', [42946, 42960]]
['egg-stimulated', [43640, 43654]]
['egg-stimulated', [44116, 44130]]
['egg-stimulated', [44810, 44824]]
['egg-stimulated', [45126, 45140]]
['egg-stimulated', [45967, 45981]]
['egg-stimulated', [48406, 48420]]
['egg-stimulated', [49210, 49224]]
['egg-stimulated', [49616, 49630]]
['egg-stimulated', [50420, 50434]]
['egg-stimulated', [51038, 51052]]
['egg-stimulated', [52083, 52097]]
['egg-stimulated', [54121, 54135]]
['egg-stimulated', [54569, 54583]]
['egg-stimulated', [56729, 56743]]
['egg-stimulated', [61187, 61201]]
['egg-stimulated', [63799, 63813]]
['egg-stimulated', [64247, 64261]]
['egg-stimulated', [66407, 66421]]
['egg-stimulated', [70865, 70879]]
['egg-stimulated', [73997, 74011]]
['egg-stimulated', [74743, 74757]]
['egg-stimulated', [75399, 75413]]
['egg-stimulated', [75482, 75496]]
['egg-stimulated', [75539, 75553]]
['egg-stimulated', [78714, 78728]]
['egg-stimulated', [79044, 79058]]
['egg-stimulated', [81234, 81248]]
['egg-stimulated', [81980, 81994]]
['egg-stimulated', [82636, 82650]]
['egg-stimulated', [82719, 82733]]
['egg-stimulated', [82776, 82790]]
['egg-stimulated', [85951, 85965]]
['egg-stimulated', [86281, 86295]]
['naive', [669, 674]]
['naive', [16838, 16843]]
['naive', [18452, 18457]]
['naive', [26226, 26231]]
['naive', [27840, 27845]]
['naive', [36818, 36823]]
['naive', [38687, 38692]]
