['left', [16677, 16681]]
['left', [17657, 17661]]
['left', [17707, 17711]]
['left', [19089, 19093]]
['left', [19279, 19283]]
['left', [19309, 19313]]
['left', [19461, 19465]]
['left', [19545, 19549]]
['left', [19739, 19743]]
['left', [20066, 20070]]
['left', [20501, 20505]]
['left', [20862, 20866]]
['left', [21269, 21273]]
['left', [21705, 21709]]
['left', [24293, 24297]]
['left', [25435, 25439]]
['left', [28023, 28027]]
['left', [28823, 28827]]
['left', [29128, 29132]]
['left', [29382, 29386]]
['left', [29768, 29772]]
['left', [30029, 30033]]
['left', [30674, 30678]]
['left', [30848, 30852]]
['left', [31107, 31111]]
['left', [31689, 31693]]
['left', [34060, 34064]]
['left', [34185, 34189]]
['left', [34646, 34650]]
['left', [35470, 35474]]
['left', [36045, 36049]]
['left', [36832, 36836]]
['left', [41672, 41676]]
['left', [43196, 43200]]
['left', [43321, 43325]]
['left', [43782, 43786]]
['left', [44606, 44610]]
['left', [45181, 45185]]
['left', [45969, 45973]]
['left', [50810, 50814]]
['left', [51029, 51033]]
['left', [52652, 52656]]
['left', [54643, 54647]]
['left', [57341, 57345]]
['left', [58542, 58546]]
['neural', [132, 138]]
['neural', [720, 726]]
['neural', [1746, 1752]]
['neural', [2410, 2416]]
['neural', [3171, 3177]]
['neural', [9823, 9829]]
['neural', [13924, 13930]]
['neural', [21063, 21069]]
['neural', [28895, 28901]]
['neural', [31287, 31293]]
['neural', [31958, 31964]]
['neural', [33438, 33444]]
['neural', [33641, 33647]]
['neural', [40994, 41000]]
['neural', [42574, 42580]]
['neural', [42777, 42783]]
['neural', [50132, 50138]]
['recruitment', [2978, 2989]]
['recruitment', [4693, 4704]]
['recruitment', [6433, 6444]]
['recruitment', [8515, 8526]]
['recruitment', [8634, 8645]]
['recruitment', [9830, 9841]]
['recruitment', [13938, 13949]]
['recruitment', [14052, 14063]]
['recruitment', [17673, 17684]]
['recruitment', [19755, 19766]]
['recruitment', [19874, 19885]]
['recruitment', [21070, 21081]]
['recruitment', [28909, 28920]]
['recruitment', [29023, 29034]]
['recruitment', [33648, 33659]]
['recruitment', [34307, 34318]]
['recruitment', [42784, 42795]]
['recruitment', [43443, 43454]]
['recruitment', [58112, 58123]]
['site', [9842, 9846]]
['site', [10909, 10913]]
['site', [11188, 11192]]
['site', [21082, 21086]]
['site', [22149, 22153]]
['site', [22428, 22432]]
['site', [25879, 25883]]
['site', [26158, 26162]]
['cortical', [10768, 10776]]
['cortical', [12330, 12338]]
['cortical', [12933, 12941]]
['cortical', [12949, 12957]]
['cortical', [13266, 13274]]
['cortical', [13316, 13324]]
['cortical', [13479, 13487]]
['cortical', [14305, 14313]]
['cortical', [22008, 22016]]
['cortical', [23570, 23578]]
['cortical', [24173, 24181]]
['cortical', [24189, 24197]]
['cortical', [24506, 24514]]
['cortical', [24556, 24564]]
['cortical', [24719, 24727]]
['cortical', [25738, 25746]]
['cortical', [27300, 27308]]
['cortical', [27903, 27911]]
['cortical', [27919, 27927]]
['cortical', [28236, 28244]]
['cortical', [28286, 28294]]
['cortical', [28449, 28457]]
['cortical', [29276, 29284]]
['cortical', [51874, 51882]]
['cortical', [51978, 51986]]
['dti', [12817, 12820]]
['dti', [24057, 24060]]
['dti', [27787, 27790]]
['ino', [14689, 14692]]
['ino', [29660, 29663]]
['activation', [2943, 2953]]
['activation', [3075, 3085]]
['activation', [3310, 3320]]
['activation', [3572, 3582]]
['activation', [3636, 3646]]
['activation', [3843, 3853]]
['activation', [3967, 3977]]
['activation', [4019, 4029]]
['activation', [4066, 4076]]
['activation', [4192, 4202]]
['activation', [4311, 4321]]
['activation', [4894, 4904]]
['activation', [5670, 5680]]
['activation', [7000, 7010]]
['activation', [7593, 7603]]
['activation', [7753, 7763]]
['activation', [7883, 7893]]
['activation', [8291, 8301]]
['activation', [8840, 8850]]
['activation', [9638, 9648]]
['activation', [9965, 9975]]
['activation', [10556, 10566]]
['activation', [11423, 11433]]
['activation', [14130, 14140]]
['activation', [14387, 14397]]
['activation', [14445, 14455]]
['activation', [14586, 14596]]
['activation', [14901, 14911]]
['activation', [15081, 15091]]
['activation', [15150, 15160]]
['activation', [15439, 15449]]
['activation', [15498, 15508]]
['activation', [15642, 15652]]
['activation', [15732, 15742]]
['activation', [15893, 15903]]
['activation', [16909, 16919]]
['activation', [18240, 18250]]
['activation', [18833, 18843]]
['activation', [18993, 19003]]
['activation', [19123, 19133]]
['activation', [19531, 19541]]
['activation', [20080, 20090]]
['activation', [20878, 20888]]
['activation', [21205, 21215]]
['activation', [21796, 21806]]
['activation', [22663, 22673]]
['activation', [25526, 25536]]
['activation', [26393, 26403]]
['activation', [29101, 29111]]
['activation', [29358, 29368]]
['activation', [29416, 29426]]
['activation', [29557, 29567]]
['activation', [29872, 29882]]
['activation', [30052, 30062]]
['activation', [30121, 30131]]
['activation', [30410, 30420]]
['activation', [30469, 30479]]
['activation', [30613, 30623]]
['activation', [30703, 30713]]
['activation', [30864, 30874]]
['activation', [31405, 31415]]
['activation', [31671, 31681]]
['activation', [31965, 31975]]
['activation', [32191, 32201]]
['activation', [32283, 32293]]
['activation', [34076, 34086]]
['activation', [34208, 34218]]
['activation', [34426, 34436]]
['activation', [34523, 34533]]
['activation', [34628, 34638]]
['activation', [35223, 35233]]
['activation', [35343, 35353]]
['activation', [35381, 35391]]
['activation', [35498, 35508]]
['activation', [35595, 35605]]
['activation', [35750, 35760]]
['activation', [35813, 35823]]
['activation', [35970, 35980]]
['activation', [36281, 36291]]
['activation', [36706, 36716]]
['activation', [36873, 36883]]
['activation', [37035, 37045]]
['activation', [37163, 37173]]
['activation', [37521, 37531]]
['activation', [38140, 38150]]
['activation', [40922, 40932]]
['activation', [43212, 43222]]
['activation', [43344, 43354]]
['activation', [43562, 43572]]
['activation', [43659, 43669]]
['activation', [43764, 43774]]
['activation', [44359, 44369]]
['activation', [44479, 44489]]
['activation', [44517, 44527]]
['activation', [44634, 44644]]
['activation', [44731, 44741]]
['activation', [44886, 44896]]
['activation', [44949, 44959]]
['activation', [45106, 45116]]
['activation', [45418, 45428]]
['activation', [45843, 45853]]
['activation', [46010, 46020]]
['activation', [46172, 46182]]
['activation', [46300, 46310]]
['activation', [46658, 46668]]
['activation', [47277, 47287]]
['activation', [50060, 50070]]
['activation', [51987, 51997]]
['activation', [52411, 52421]]
['activation', [52619, 52629]]
['activation', [52854, 52864]]
['activation', [53422, 53432]]
['activation', [54189, 54199]]
['activation', [54416, 54426]]
['activation', [54955, 54965]]
['activation', [57038, 57048]]
['activation', [57709, 57719]]
['activation', [58380, 58390]]
['peaks', [15904, 15909]]
['peaks', [30875, 30880]]
['structures', [16014, 16024]]
['structures', [30985, 30995]]
['structures', [54782, 54792]]
['inferior', [7273, 7281]]
['inferior', [7854, 7862]]
['inferior', [8092, 8100]]
['inferior', [9399, 9407]]
['inferior', [14427, 14435]]
['inferior', [18513, 18521]]
['inferior', [19094, 19102]]
['inferior', [19332, 19340]]
['inferior', [20639, 20647]]
['inferior', [29398, 29406]]
['inferior', [31621, 31629]]
['inferior', [34190, 34198]]
['inferior', [34450, 34458]]
['inferior', [34651, 34659]]
['inferior', [34692, 34700]]
['inferior', [35475, 35483]]
['inferior', [35578, 35586]]
['inferior', [36891, 36899]]
['inferior', [43326, 43334]]
['inferior', [43586, 43594]]
['inferior', [43787, 43795]]
['inferior', [43828, 43836]]
['inferior', [44611, 44619]]
['inferior', [44714, 44722]]
['inferior', [46028, 46036]]
['inferior', [57187, 57195]]
['inferior', [57217, 57225]]
['inferior', [57277, 57285]]
['inferior', [57835, 57843]]
['inferior', [58283, 58291]]
['frontal', [7306, 7313]]
['frontal', [7863, 7870]]
['frontal', [8101, 8108]]
['frontal', [9081, 9088]]
['frontal', [9408, 9415]]
['frontal', [18546, 18553]]
['frontal', [19103, 19110]]
['frontal', [19341, 19348]]
['frontal', [20321, 20328]]
['frontal', [20648, 20655]]
['frontal', [31630, 31637]]
['frontal', [34459, 34466]]
['frontal', [34660, 34667]]
['frontal', [35484, 35491]]
['frontal', [35587, 35594]]
['frontal', [36900, 36907]]
['frontal', [43595, 43602]]
['frontal', [43796, 43803]]
['frontal', [44620, 44627]]
['frontal', [44723, 44730]]
['frontal', [46037, 46044]]
['frontal', [55547, 55554]]
['frontal', [57196, 57203]]
['frontal', [57371, 57378]]
['frontal', [58292, 58299]]
['occipital', [31694, 31703]]
['table', [11816, 11821]]
['table', [23056, 23061]]
['table', [26786, 26791]]
['table', [32105, 32110]]
['table', [32117, 32122]]
['table', [32763, 32768]]
['table', [32775, 32780]]
['table', [41899, 41904]]
['table', [41911, 41916]]
['table', [54139, 54144]]
['table', [54833, 54838]]
['table', [57582, 57587]]
['1', [1898, 1899]]
['1', [2213, 2214]]
['1', [3482, 3483]]
['1', [6033, 6034]]
['1', [6083, 6084]]
['1', [7105, 7106]]
['1', [7455, 7456]]
['1', [7456, 7457]]
['1', [7720, 7721]]
