['data', [29398, 29402]]
['data', [37937, 37941]]
['home', [4119, 4123]]
['home', [4990, 4994]]
['home', [5738, 5742]]
['home', [5838, 5842]]
['home', [6009, 6013]]
['home', [10815, 10819]]
['home', [11686, 11690]]
['home', [12434, 12438]]
['home', [12534, 12538]]
['home', [12705, 12709]]
['home', [17270, 17274]]
['home', [21449, 21453]]
['home', [29294, 29298]]
['home', [29442, 29446]]
['home', [37833, 37837]]
['home', [37981, 37985]]
['phototherapy', [155, 167]]
['phototherapy', [751, 763]]
['phototherapy', [865, 877]]
['phototherapy', [1363, 1375]]
['phototherapy', [3269, 3281]]
['phototherapy', [3365, 3377]]
['phototherapy', [3973, 3985]]
['phototherapy', [5009, 5021]]
['phototherapy', [5107, 5119]]
['phototherapy', [5636, 5648]]
['phototherapy', [5672, 5684]]
['phototherapy', [5743, 5755]]
['phototherapy', [5843, 5855]]
['phototherapy', [6014, 6026]]
['phototherapy', [7160, 7172]]
['phototherapy', [7603, 7615]]
['phototherapy', [9964, 9976]]
['phototherapy', [10060, 10072]]
['phototherapy', [10668, 10680]]
['phototherapy', [11705, 11717]]
['phototherapy', [11803, 11815]]
['phototherapy', [12332, 12344]]
['phototherapy', [12368, 12380]]
['phototherapy', [12439, 12451]]
['phototherapy', [12539, 12551]]
['phototherapy', [12710, 12722]]
['phototherapy', [13857, 13869]]
['phototherapy', [14300, 14312]]
['phototherapy', [15946, 15958]]
['phototherapy', [16051, 16063]]
['phototherapy', [16133, 16145]]
['phototherapy', [16167, 16179]]
['phototherapy', [16201, 16213]]
['phototherapy', [16237, 16249]]
['phototherapy', [16278, 16290]]
['phototherapy', [17145, 17157]]
['phototherapy', [17275, 17287]]
['phototherapy', [17672, 17684]]
['phototherapy', [17831, 17843]]
['phototherapy', [18925, 18937]]
['phototherapy', [20125, 20137]]
['phototherapy', [20230, 20242]]
['phototherapy', [20312, 20324]]
['phototherapy', [20346, 20358]]
['phototherapy', [20380, 20392]]
['phototherapy', [20416, 20428]]
['phototherapy', [20457, 20469]]
['phototherapy', [21324, 21336]]
['phototherapy', [21454, 21466]]
['phototherapy', [21851, 21863]]
['phototherapy', [22010, 22022]]
['phototherapy', [23104, 23116]]
['phototherapy', [23585, 23597]]
['phototherapy', [23651, 23663]]
['phototherapy', [24061, 24073]]
['phototherapy', [26311, 26323]]
['phototherapy', [26448, 26460]]
['phototherapy', [26503, 26515]]
['phototherapy', [26676, 26688]]
['phototherapy', [27108, 27120]]
['phototherapy', [27439, 27451]]
['phototherapy', [27551, 27563]]
['phototherapy', [27743, 27755]]
['phototherapy', [27935, 27947]]
['phototherapy', [28219, 28231]]
['phototherapy', [28382, 28394]]
['phototherapy', [28643, 28655]]
['phototherapy', [28689, 28701]]
['phototherapy', [28886, 28898]]
['phototherapy', [29059, 29071]]
['phototherapy', [29118, 29130]]
['phototherapy', [29254, 29266]]
['phototherapy', [29299, 29311]]
['phototherapy', [29447, 29459]]
['phototherapy', [29968, 29980]]
['phototherapy', [30534, 30546]]
['phototherapy', [31160, 31172]]
['phototherapy', [31820, 31832]]
['phototherapy', [32124, 32136]]
['phototherapy', [32190, 32202]]
['phototherapy', [32600, 32612]]
['phototherapy', [34850, 34862]]
['phototherapy', [34987, 34999]]
['phototherapy', [35042, 35054]]
['phototherapy', [35215, 35227]]
['phototherapy', [35647, 35659]]
['phototherapy', [35978, 35990]]
['phototherapy', [36090, 36102]]
['phototherapy', [36282, 36294]]
['phototherapy', [36474, 36486]]
['phototherapy', [36758, 36770]]
['phototherapy', [36921, 36933]]
['phototherapy', [37182, 37194]]
['phototherapy', [37228, 37240]]
['phototherapy', [37425, 37437]]
['phototherapy', [37598, 37610]]
['phototherapy', [37657, 37669]]
['phototherapy', [37793, 37805]]
['phototherapy', [37838, 37850]]
['phototherapy', [37986, 37998]]
['phototherapy', [38507, 38519]]
['phototherapy', [39073, 39085]]
['phototherapy', [39699, 39711]]
['phototherapy', [40359, 40371]]
['unit', [6027, 6031]]
['unit', [12723, 12727]]
['stata', [7935, 7940]]
['stata', [7967, 7972]]
['stata', [14632, 14637]]
['stata', [14664, 14669]]
['9\\.0', [7941, 7945]]
['9\\.0', [14638, 14642]]
['tsb\\.', [1533, 1538]]
['tsb\\.', [2222, 2227]]
['tsb\\.', [3079, 3084]]
['tsb\\.', [4904, 4909]]
['tsb\\.', [6629, 6634]]
['tsb\\.', [8917, 8922]]
['tsb\\.', [9774, 9779]]
['tsb\\.', [11600, 11605]]
['tsb\\.', [13325, 13330]]
['tsb\\.', [16099, 16104]]
['tsb\\.', [20278, 20283]]
['tsb\\.', [31145, 31150]]
['tsb\\.', [39684, 39689]]
['of', [152, 154]]
['of', [201, 203]]
['of', [265, 267]]
['of', [331, 333]]
['of', [483, 485]]
['of', [736, 738]]
['of', [791, 793]]
['of', [831, 833]]
['of', [1012, 1014]]
['of', [1301, 1303]]
['of', [1449, 1451]]
['of', [1611, 1613]]
['of', [2316, 2318]]
['of', [2562, 2564]]
['of', [2647, 2649]]
['of', [2900, 2902]]
['of', [3436, 3438]]
['of', [3519, 3521]]
['of', [4081, 4083]]
['of', [4274, 4276]]
['of', [4680, 4682]]
['of', [4787, 4789]]
['of', [4802, 4804]]
['of', [5489, 5491]]
['of', [5633, 5635]]
['of', [5708, 5710]]
['of', [5777, 5779]]
['of', [5821, 5823]]
['of', [5835, 5837]]
['of', [5932, 5934]]
['of', [6098, 6100]]
['of', [6290, 6292]]
['of', [6338, 6340]]
['of', [6711, 6713]]
['of', [6766, 6768]]
['of', [7035, 7037]]
['of', [7081, 7083]]
['of', [7147, 7149]]
['of', [7320, 7322]]
['of', [7857, 7859]]
['of', [7958, 7960]]
['of', [8211, 8213]]
['of', [8305, 8307]]
['of', [9011, 9013]]
['of', [9257, 9259]]
['of', [9342, 9344]]
['of', [9595, 9597]]
['of', [10131, 10133]]
['of', [10214, 10216]]
['of', [10777, 10779]]
['of', [10970, 10972]]
['of', [11376, 11378]]
['of', [11483, 11485]]
['of', [11498, 11500]]
['of', [12185, 12187]]
['of', [12329, 12331]]
['of', [12404, 12406]]
['of', [12473, 12475]]
['of', [12517, 12519]]
['of', [12531, 12533]]
['of', [12628, 12630]]
['of', [12794, 12796]]
['of', [12986, 12988]]
['of', [13034, 13036]]
['of', [13408, 13410]]
['of', [13463, 13465]]
['of', [13732, 13734]]
['of', [13778, 13780]]
['of', [13844, 13846]]
['of', [14017, 14019]]
['of', [14554, 14556]]
['of', [14655, 14657]]
['of', [14908, 14910]]
['of', [15028, 15030]]
['of', [15206, 15208]]
['of', [15253, 15255]]
['of', [15326, 15328]]
['of', [15439, 15441]]
['of', [15611, 15613]]
['of', [15771, 15773]]
['of', [16079, 16081]]
