['2', [40836, 40837]]
['2', [40838, 40839]]
['2', [40927, 40928]]
['2', [40964, 40965]]
['2', [40973, 40974]]
['2', [40975, 40976]]
['2', [40987, 40988]]
['2', [41011, 41012]]
['2', [41321, 41322]]
['2', [41323, 41324]]
['2', [41349, 41350]]
['2', [41390, 41391]]
['2', [41453, 41454]]
['2', [41542, 41543]]
['2', [41615, 41616]]
['2', [41617, 41618]]
['2', [41633, 41634]]
['2', [41726, 41727]]
['2', [41728, 41729]]
['2', [41738, 41739]]
['2', [41820, 41821]]
['2', [41864, 41865]]
['2', [41866, 41867]]
['2', [41931, 41932]]
['2', [42053, 42054]]
['2', [42090, 42091]]
['2', [42116, 42117]]
['2', [42140, 42141]]
['2', [42177, 42178]]
['2', [42194, 42195]]
['2', [42218, 42219]]
['2', [42315, 42316]]
['2', [42406, 42407]]
['2', [42614, 42615]]
['2', [42655, 42656]]
['2', [43298, 43299]]
['2', [43952, 43953]]
['2', [44707, 44708]]
['2', [44945, 44946]]
['2', [45027, 45028]]
['2', [45169, 45170]]
['2', [45277, 45278]]
['2', [45557, 45558]]
['2', [45688, 45689]]
['2', [46474, 46475]]
['2', [46712, 46713]]
['2', [46794, 46795]]
['2', [46936, 46937]]
['2', [47044, 47045]]
['2', [47324, 47325]]
['2', [47455, 47456]]
['2', [47956, 47957]]
['2', [47976, 47977]]
['2', [47983, 47984]]
['2', [48280, 48281]]
['2', [48632, 48633]]
['2', [49014, 49015]]
['2', [49018, 49019]]
['2', [49489, 49490]]
['2', [49853, 49854]]
['2', [50393, 50394]]
['2', [50413, 50414]]
['2', [50420, 50421]]
['2', [50717, 50718]]
['2', [51069, 51070]]
['2', [51451, 51452]]
['2', [51455, 51456]]
['2', [51926, 51927]]
['2', [52290, 52291]]
['2', [52792, 52793]]
['2', [52815, 52816]]
['2', [53330, 53331]]
['2', [53417, 53418]]
['2', [53419, 53420]]
['2', [53807, 53808]]
['2', [53830, 53831]]
['2', [54345, 54346]]
['2', [54432, 54433]]
['2', [54434, 54435]]
['2', [54788, 54789]]
['2', [55039, 55040]]
['2', [55315, 55316]]
['2', [56404, 56405]]
['2', [56415, 56416]]
['2', [57128, 57129]]
['2', [57133, 57134]]
['2', [57416, 57417]]
['2', [57782, 57783]]
['2', [58229, 58230]]
['2', [59066, 59067]]
['2', [59291, 59292]]
['2', [59955, 59956]]
