['huvecs', [86286, 86292]]
['huvecs', [89920, 89926]]
['huvecs', [91325, 91331]]
['prostate', [1084, 1092]]
['prostate', [6342, 6350]]
['prostate', [16155, 16163]]
['prostate', [25380, 25388]]
['prostate', [26550, 26558]]
['prostate', [30703, 30711]]
['prostate', [30730, 30738]]
['prostate', [31411, 31419]]
['prostate', [31982, 31990]]
['prostate', [36085, 36093]]
['prostate', [37255, 37263]]
['prostate', [41408, 41416]]
['prostate', [41435, 41443]]
['prostate', [42116, 42124]]
['prostate', [42687, 42695]]
['prostate', [46782, 46790]]
['prostate', [47952, 47960]]
['prostate', [48570, 48578]]
['prostate', [49740, 49748]]
['prostate', [57427, 57435]]
['prostate', [57454, 57462]]
['prostate', [58135, 58143]]
['prostate', [58706, 58714]]
['prostate', [59338, 59346]]
['prostate', [59365, 59373]]
['prostate', [60046, 60054]]
['prostate', [60617, 60625]]
['prostate', [68905, 68913]]
['prostate', [69270, 69278]]
['prostate', [73647, 73655]]
['prostate', [74012, 74020]]
['prostate', [78066, 78074]]
['prostate', [80913, 80921]]
['prostate', [80942, 80950]]
['prostate', [85184, 85192]]
['prostate', [88031, 88039]]
['prostate', [88060, 88068]]
['cancer', [304, 310]]
['cancer', [1093, 1099]]
['cancer', [1933, 1939]]
['cancer', [2285, 2291]]
['cancer', [2489, 2495]]
['cancer', [3238, 3244]]
['cancer', [4113, 4119]]
['cancer', [4780, 4786]]
['cancer', [6351, 6357]]
['cancer', [16164, 16170]]
['cancer', [25086, 25092]]
['cancer', [25389, 25395]]
['cancer', [26559, 26565]]
['cancer', [26777, 26783]]
['cancer', [30739, 30745]]
['cancer', [35377, 35383]]
['cancer', [35791, 35797]]
['cancer', [36094, 36100]]
['cancer', [37264, 37270]]
['cancer', [37482, 37488]]
['cancer', [41444, 41450]]
['cancer', [46082, 46088]]
['cancer', [46488, 46494]]
['cancer', [46791, 46797]]
['cancer', [47961, 47967]]
['cancer', [48179, 48185]]
['cancer', [48276, 48282]]
['cancer', [48579, 48585]]
['cancer', [49749, 49755]]
['cancer', [49967, 49973]]
['cancer', [57463, 57469]]
['cancer', [59374, 59380]]
['cancer', [65810, 65816]]
['cancer', [67486, 67492]]
['cancer', [67892, 67898]]
['cancer', [68195, 68201]]
['cancer', [68956, 68962]]
['cancer', [69061, 69067]]
['cancer', [69279, 69285]]
['cancer', [69587, 69593]]
['cancer', [70550, 70556]]
['cancer', [72634, 72640]]
['cancer', [72937, 72943]]
['cancer', [73698, 73704]]
['cancer', [73803, 73809]]
['cancer', [74021, 74027]]
['cancer', [74329, 74335]]
['cancer', [75292, 75298]]
['cancer', [78075, 78081]]
['cancer', [80886, 80892]]
['cancer', [80922, 80928]]
['cancer', [80951, 80957]]
['cancer', [85193, 85199]]
['cancer', [88004, 88010]]
['cancer', [88040, 88046]]
['cancer', [88069, 88075]]
['pc-3', [1107, 1111]]
['pc-3', [6369, 6373]]
['pc-3', [6663, 6667]]
['pc-3', [11412, 11416]]
['pc-3', [16182, 16186]]
['pc-3', [16477, 16481]]
['pc-3', [21233, 21237]]
['pc-3', [25081, 25085]]
['pc-3', [25375, 25379]]
['pc-3', [26637, 26641]]
['pc-3', [30725, 30729]]
['pc-3', [35786, 35790]]
