['8', [28757, 28758]]
['8', [29009, 29010]]
['8', [29505, 29506]]
['8', [29506, 29507]]
['8', [29668, 29669]]
['8', [29676, 29677]]
['8', [30258, 30259]]
['8', [30270, 30271]]
['8', [30794, 30795]]
['8', [32333, 32334]]
['8', [32820, 32821]]
['8', [33253, 33254]]
['8', [33314, 33315]]
['8', [33331, 33332]]
['8', [33583, 33584]]
['8', [34079, 34080]]
['8', [34080, 34081]]
['8', [34242, 34243]]
['8', [34250, 34251]]
['8', [34832, 34833]]
['8', [34844, 34845]]
['8', [35441, 35442]]
['8', [35874, 35875]]
['8', [35935, 35936]]
['8', [35952, 35953]]
['8', [36204, 36205]]
['8', [36700, 36701]]
['8', [36701, 36702]]
['8', [36863, 36864]]
['8', [36871, 36872]]
['8', [37453, 37454]]
['8', [37465, 37466]]
['8', [37990, 37991]]
['8', [39378, 39379]]
['8', [40918, 40919]]
['8', [41485, 41486]]
['8', [43067, 43068]]
['8', [44631, 44632]]
['8', [48040, 48041]]
['8', [48051, 48052]]
['8', [50996, 50997]]
['8', [52560, 52561]]
['8', [55969, 55970]]
['8', [55980, 55981]]
['z6', [26335, 26337]]
['z6', [26689, 26691]]
['z6', [26729, 26731]]
['z6', [30920, 30922]]
['z6', [31274, 31276]]
['z6', [31314, 31316]]
['z6', [38116, 38118]]
['z6', [38470, 38472]]
['z6', [38510, 38512]]
['z6', [39504, 39506]]
['z6', [39858, 39860]]
['z6', [39898, 39900]]
['\\<', [1366, 1368]]
['\\<', [14544, 14546]]
['\\<', [23146, 23148]]
['\\<', [24340, 24342]]
['\\<', [25410, 25412]]
['\\<', [25810, 25812]]
['\\<', [26691, 26693]]
['\\<', [26731, 26733]]
['\\<', [27847, 27849]]
['\\<', [28925, 28927]]
['\\<', [29995, 29997]]
['\\<', [30395, 30397]]
['\\<', [31276, 31278]]
['\\<', [31316, 31318]]
['\\<', [32432, 32434]]
['\\<', [33499, 33501]]
['\\<', [34569, 34571]]
['\\<', [34969, 34971]]
['\\<', [36120, 36122]]
['\\<', [37190, 37192]]
['\\<', [37590, 37592]]
['\\<', [38472, 38474]]
['\\<', [38512, 38514]]
['\\<', [39860, 39862]]
['\\<', [39900, 39902]]
['\\<', [41017, 41019]]
['\\<', [41584, 41586]]
['\\=1\\.2', [25761, 25767]]
