['mice', [23291, 23295]]
['endovascular', [425, 437]]
['endovascular', [1651, 1663]]
['endovascular', [3665, 3677]]
['endovascular', [7267, 7279]]
['catheterization', [438, 453]]
['catheterization', [1664, 1679]]
['hemodynamic measurements', [486, 510]]
['hemodynamic measurements', [1712, 1736]]
['hemodynamic measurements', [20567, 20591]]
['hemodynamic measurements', [21993, 22017]]
['brains', [537, 543]]
['brains', [1763, 1769]]
['brains', [4194, 4200]]
['brains', [7797, 7803]]
['infarct', [582, 589]]
['infarct', [1808, 1815]]
['infarct', [4110, 4117]]
['infarct', [4338, 4345]]
['infarct', [4449, 4456]]
['infarct', [4471, 4478]]
['infarct', [4544, 4551]]
['infarct', [4633, 4640]]
['infarct', [4718, 4725]]
['infarct', [5147, 5154]]
['infarct', [5259, 5266]]
['infarct', [5327, 5334]]
['infarct', [5375, 5382]]
['infarct', [6265, 6272]]
['infarct', [7713, 7720]]
['infarct', [7941, 7948]]
['infarct', [8052, 8059]]
['infarct', [8074, 8081]]
['infarct', [8147, 8154]]
['infarct', [8236, 8243]]
['infarct', [8321, 8328]]
['infarct', [8750, 8757]]
['infarct', [8862, 8869]]
['infarct', [8930, 8937]]
['infarct', [8978, 8985]]
['infarct', [9870, 9877]]
['infarct', [10087, 10094]]
['infarct', [10459, 10466]]
['infarct', [10974, 10981]]
['infarct', [11608, 11615]]
['infarct', [11980, 11987]]
['infarct', [12495, 12502]]
['infarct', [13121, 13128]]
['infarct', [13493, 13500]]
['infarct', [13772, 13779]]
['infarct', [14144, 14151]]
['infarct', [14660, 14667]]
['infarct', [15101, 15108]]
['infarct', [17923, 17930]]
['infarct', [20125, 20132]]
['volume', [590, 596]]
['volume', [1816, 1822]]
['volume', [4118, 4124]]
['volume', [4346, 4352]]
['volume', [4479, 4485]]
['volume', [4641, 4647]]
['volume', [4726, 4732]]
['volume', [6273, 6279]]
['volume', [7721, 7727]]
['volume', [7949, 7955]]
['volume', [8082, 8088]]
['volume', [8244, 8250]]
['volume', [8329, 8335]]
['volume', [9878, 9884]]
['volume', [10095, 10101]]
['volume', [10467, 10473]]
['volume', [10982, 10988]]
['volume', [11616, 11622]]
['volume', [11988, 11994]]
['volume', [12503, 12509]]
['volume', [13129, 13135]]
['volume', [13501, 13507]]
['volume', [13780, 13786]]
['volume', [14152, 14158]]
['volume', [14668, 14674]]
['volume', [15109, 15115]]
['severity', [605, 613]]
['severity', [876, 884]]
['severity', [1151, 1159]]
['severity', [1831, 1839]]
['severity', [2103, 2111]]
['severity', [2378, 2386]]
['severity', [4763, 4771]]
['severity', [5289, 5297]]
['severity', [6298, 6306]]
['severity', [8366, 8374]]
['severity', [8892, 8900]]
['severity', [9903, 9911]]
['severity', [10678, 10686]]
['severity', [10740, 10748]]
['severity', [11064, 11072]]
['severity', [12199, 12207]]
['severity', [12261, 12269]]
['severity', [12585, 12593]]
['severity', [14364, 14372]]
['severity', [14426, 14434]]
['severity', [14750, 14758]]
['severity', [14805, 14813]]
['severity', [14867, 14875]]
['severity', [15191, 15199]]
['severity', [21507, 21515]]
['severity', [22933, 22941]]
['injury', [632, 638]]
['injury', [1858, 1864]]
['injury', [4790, 4796]]
['injury', [5084, 5090]]
['injury', [8393, 8399]]
['injury', [8687, 8693]]
['injury', [16983, 16989]]
['injury', [17100, 17106]]
['injury', [18087, 18093]]
['injury', [19185, 19191]]
['injury', [19302, 19308]]
['injury', [20289, 20295]]
['myocardial', [640, 650]]
['myocardial', [1866, 1876]]
['myocardial', [10353, 10363]]
['myocardial', [11874, 11884]]
['myocardial', [13387, 13397]]
['myocardial', [14038, 14048]]
['myocardial', [16571, 16581]]
['myocardial', [16739, 16749]]
['myocardial', [17912, 17922]]
['myocardial', [18773, 18783]]
['myocardial', [18941, 18951]]
['myocardial', [20114, 20124]]
['damage', [651, 657]]
['damage', [1183, 1189]]
['damage', [1437, 1443]]
['damage', [1877, 1883]]
['damage', [2410, 2416]]
['damage', [2665, 2671]]
['damage', [5226, 5232]]
['damage', [6325, 6331]]
['damage', [8829, 8835]]
['damage', [9930, 9936]]
['damage', [10774, 10780]]
['damage', [12295, 12301]]
['damage', [14460, 14466]]
['damage', [14901, 14907]]
['damage', [16528, 16534]]
['damage', [17132, 17138]]
['damage', [18730, 18736]]
['damage', [19334, 19340]]
['damage', [21000, 21006]]
['damage', [21187, 21193]]
['damage', [21256, 21262]]
['damage', [21539, 21545]]
['damage', [22426, 22432]]
['damage', [22613, 22619]]
['damage', [22682, 22688]]
['damage', [22965, 22971]]
['eosin', [687, 692]]
['eosin', [1913, 1918]]
['eosin', [5990, 5995]]
['eosin', [9594, 9599]]
['serum', [703, 708]]
['serum', [973, 978]]
['serum', [1527, 1532]]
['serum', [1929, 1934]]
['serum', [2200, 2205]]
['serum', [2755, 2760]]
['serum', [5525, 5530]]
['serum', [9129, 9134]]
['serum', [11126, 11131]]
['serum', [12647, 12652]]
['serum', [15254, 15259]]
['serum', [15677, 15682]]
['serum', [16729, 16734]]
['serum', [18931, 18936]]
['serum', [21657, 21662]]
