['on', [71821, 71823]]
['factors', [602, 609]]
['factors', [26749, 26756]]
['factors', [28451, 28458]]
['psa', [1904, 1907]]
['psa', [4714, 4717]]
['psa', [4865, 4868]]
['psa', [5713, 5716]]
['psa', [16552, 16555]]
['psa', [17157, 17160]]
['psa', [18110, 18113]]
['psa', [18346, 18349]]
['psa', [18584, 18587]]
['psa', [18717, 18720]]
['psa', [24528, 24531]]
['psa', [58190, 58193]]
['psa', [61904, 61907]]
['us', [121, 123]]
['us', [945, 947]]
['us', [1092, 1094]]
['us', [1201, 1203]]
['us', [2039, 2041]]
['us', [3029, 3031]]
['us', [3654, 3656]]
['us', [6133, 6135]]
['us', [6790, 6792]]
['us', [7829, 7831]]
['us', [8017, 8019]]
['us', [8158, 8160]]
['us', [8364, 8366]]
['us', [8568, 8570]]
['us', [8629, 8631]]
['us', [9029, 9031]]
['us', [9748, 9750]]
['us', [9936, 9938]]
['us', [9980, 9982]]
['us', [10092, 10094]]
['us', [10298, 10300]]
['us', [10503, 10505]]
['us', [10564, 10566]]
['us', [10964, 10966]]
['us', [11683, 11685]]
['us', [11871, 11873]]
['us', [11915, 11917]]
['us', [12051, 12053]]
['us', [13127, 13129]]
['us', [13563, 13565]]
['us', [14447, 14449]]
['us', [14592, 14594]]
['us', [14843, 14845]]
['us', [16312, 16314]]
['us', [16790, 16792]]
['us', [18316, 18318]]
['us', [18649, 18651]]
['us', [19756, 19758]]
['us', [20500, 20502]]
['us', [21050, 21052]]
['us', [21253, 21255]]
['us', [21969, 21971]]
['us', [23057, 23059]]
['us', [24345, 24347]]
['us', [25903, 25905]]
['us', [26341, 26343]]
['us', [26457, 26459]]
['us', [27605, 27607]]
['us', [28043, 28045]]
['us', [28159, 28161]]
['us', [29278, 29280]]
['us', [29352, 29354]]
['us', [29456, 29458]]
['us', [29462, 29464]]
['us', [29748, 29750]]
['us', [31819, 31821]]
['us', [32579, 32581]]
['us', [33543, 33545]]
['us', [33559, 33561]]
['us', [34319, 34321]]
['us', [34995, 34997]]
['us', [35535, 35537]]
['us', [35927, 35929]]
['us', [36233, 36235]]
['us', [36371, 36373]]
['us', [38091, 38093]]
['us', [38934, 38936]]
['us', [39179, 39181]]
['us', [40046, 40048]]
['us', [40062, 40064]]
['us', [40822, 40824]]
['us', [41499, 41501]]
['us', [42039, 42041]]
['us', [42431, 42433]]
['us', [42737, 42739]]
['us', [42875, 42877]]
['us', [44596, 44598]]
['us', [45439, 45441]]
['us', [45684, 45686]]
['us', [46075, 46077]]
['us', [47084, 47086]]
['us', [48214, 48216]]
['us', [48995, 48997]]
['us', [49695, 49697]]
['us', [50086, 50088]]
['us', [50346, 50348]]
['us', [52112, 52114]]
['us', [52307, 52309]]
['us', [52475, 52477]]
['us', [52592, 52594]]
['us', [53537, 53539]]
['us', [53659, 53661]]
['us', [54681, 54683]]
['us', [54912, 54914]]
['us', [55684, 55686]]
['us', [55835, 55837]]
['us', [55981, 55983]]
['us', [56604, 56606]]
['us', [56656, 56658]]
['us', [58612, 58614]]
['us', [58789, 58791]]
['us', [58850, 58852]]
['us', [58898, 58900]]
['us', [59135, 59137]]
['us', [59298, 59300]]
['us', [59541, 59543]]
['us', [59606, 59608]]
['us', [59721, 59723]]
['us', [59758, 59760]]
['us', [59894, 59896]]
['us', [60186, 60188]]
['us', [60370, 60372]]
['us', [62326, 62328]]
['us', [62503, 62505]]
['us', [62564, 62566]]
['us', [62612, 62614]]
['us', [62849, 62851]]
['us', [63012, 63014]]
['us', [63255, 63257]]
['us', [63320, 63322]]
['us', [63435, 63437]]
['us', [63472, 63474]]
['us', [63608, 63610]]
['us', [63900, 63902]]
['us', [64388, 64390]]
['us', [64421, 64423]]
['us', [64683, 64685]]
['us', [68585, 68587]]
['us', [68618, 68620]]
['us', [68880, 68882]]
['male', [1837, 1841]]
['male', [2042, 2046]]
['male', [18154, 18158]]
['population', [733, 743]]
['population', [1247, 1257]]
['population', [1842, 1852]]
['population', [2047, 2057]]
['population', [4680, 4690]]
['population', [5800, 5810]]
['population', [6763, 6773]]
['population', [7650, 7660]]
['population', [7762, 7772]]
['population', [9619, 9629]]
['population', [9733, 9743]]
['population', [9874, 9884]]
['population', [9986, 9996]]
['population', [11554, 11564]]
['population', [11668, 11678]]
['population', [11809, 11819]]
['population', [11921, 11931]]
['population', [12192, 12202]]
['population', [12439, 12449]]
['population', [14950, 14960]]
['population', [23903, 23913]]
['population', [45977, 45987]]
['population', [46025, 46035]]
['population', [51189, 51199]]
['population', [52353, 52363]]
['population', [56725, 56735]]
