['vegf', [443, 447]]
['vegf', [5880, 5884]]
['vegf', [8354, 8358]]
['vegf', [8883, 8887]]
['vegf', [11260, 11264]]
['vegf', [13736, 13740]]
['vegf', [14265, 14269]]
['vegf', [16534, 16538]]
['vegf', [16683, 16687]]
['vegf', [16834, 16838]]
['vegf', [16977, 16981]]
['vegf', [19948, 19952]]
['vegf', [20097, 20101]]
['vegf', [20248, 20252]]
['vegf', [20391, 20395]]
['vegf', [25262, 25266]]
['vegf', [25411, 25415]]
['vegf', [25562, 25566]]
['vegf', [25705, 25709]]
['vegf', [26758, 26762]]
['vegf', [26907, 26911]]
['vegf', [27058, 27062]]
['vegf', [27201, 27205]]
['vegf', [30222, 30226]]
['vegf', [31968, 31972]]
['vegf', [34318, 34322]]
['vegf', [36064, 36068]]
['huvec', [684, 689]]
['huvec', [3672, 3677]]
['huvec', [6988, 6993]]
['huvec', [12368, 12373]]
['huvec', [17866, 17871]]
['huvec', [21280, 21285]]
['huvec', [26594, 26599]]
['huvec', [28090, 28095]]
['huvec', [31520, 31525]]
