['sparc', [54454, 54459]]
['sparc', [54629, 54634]]
['sparc', [54824, 54829]]
['sparc', [55030, 55035]]
['sparc', [55073, 55078]]
['sparc', [55207, 55212]]
['sparc', [55340, 55345]]
['sparc', [55471, 55476]]
['sparc', [55738, 55743]]
['sparc', [55881, 55886]]
['sparc', [56053, 56058]]
['sparc', [56147, 56152]]
['sparc', [56315, 56320]]
['sparc', [56385, 56390]]
['sparc', [56486, 56491]]
['sparc', [56633, 56638]]
['sparc', [56726, 56731]]
['sparc', [56820, 56825]]
['sparc', [56895, 56900]]
['sparc', [57123, 57128]]
['sparc', [57322, 57327]]
['sparc', [57497, 57502]]
['sparc', [57692, 57697]]
['sparc', [57898, 57903]]
['sparc', [58040, 58045]]
['sparc', [58173, 58178]]
['sparc', [58364, 58369]]
['sparc', [58497, 58502]]
['sparc', [58629, 58634]]
['sparc', [58896, 58901]]
['sparc', [59039, 59044]]
['sparc', [59103, 59108]]
['sparc', [59370, 59375]]
['sparc', [59513, 59518]]
['sparc', [59686, 59691]]
['sparc', [59780, 59785]]
['sparc', [59947, 59952]]
['sparc', [60041, 60046]]
['sparc', [60210, 60215]]
['sparc', [60280, 60285]]
['sparc', [60500, 60505]]
['sparc', [60570, 60575]]
['sparc', [60672, 60677]]
['sparc', [60819, 60824]]
['sparc', [60912, 60917]]
['sparc', [61006, 61011]]
['sparc', [61065, 61070]]
['sparc', [61212, 61217]]
['sparc', [61305, 61310]]
['sparc', [61399, 61404]]
['sparc', [61475, 61480]]
['sparc', [61703, 61708]]
['sparc', [61902, 61907]]
['sparc', [62077, 62082]]
['sparc', [62180, 62185]]
['sparc', [62408, 62413]]
['sparc', [62607, 62612]]
['sparc', [62782, 62787]]
['sparc', [62978, 62983]]
['sparc', [63184, 63189]]
['sparc', [63370, 63375]]
['sparc', [63576, 63581]]
['sparc', [63748, 63753]]
['sparc', [63771, 63776]]
['sparc', [63922, 63927]]
['sparc', [63998, 64003]]
['sparc', [64072, 64077]]
['sparc', [64125, 64130]]
['sparc', [64292, 64297]]
['sparc', [64312, 64317]]
['sparc', [64511, 64516]]
