['a', [2379, 2380]]
['a', [2393, 2394]]
['a', [2403, 2404]]
['a', [2423, 2424]]
['a', [2431, 2432]]
['a', [2462, 2463]]
['a', [2467, 2468]]
['a', [2474, 2475]]
['a', [2516, 2517]]
['a', [2535, 2536]]
['a', [2543, 2544]]
['a', [2553, 2554]]
['a', [2590, 2591]]
['a', [2600, 2601]]
['a', [2611, 2612]]
['a', [2616, 2617]]
['a', [2624, 2625]]
['a', [2649, 2650]]
['a', [2677, 2678]]
['a', [2683, 2684]]
['a', [2687, 2688]]
['a', [2726, 2727]]
['a', [2750, 2751]]
['a', [2766, 2767]]
['a', [2769, 2770]]
['a', [2798, 2799]]
['a', [2805, 2806]]
['a', [2813, 2814]]
['a', [2831, 2832]]
['a', [2847, 2848]]
['a', [2861, 2862]]
['a', [2867, 2868]]
['a', [2889, 2890]]
['a', [2894, 2895]]
['a', [2902, 2903]]
['a', [2905, 2906]]
['a', [2930, 2931]]
['a', [2933, 2934]]
['a', [2943, 2944]]
['a', [2947, 2948]]
['a', [2963, 2964]]
['a', [2974, 2975]]
['a', [2976, 2977]]
['a', [2983, 2984]]
['a', [3007, 3008]]
['a', [3051, 3052]]
['a', [3058, 3059]]
['a', [3067, 3068]]
['a', [3098, 3099]]
['a', [3118, 3119]]
['a', [3131, 3132]]
['a', [3160, 3161]]
['a', [3163, 3164]]
['a', [3179, 3180]]
['a', [3198, 3199]]
['a', [3221, 3222]]
['a', [3224, 3225]]
['a', [3236, 3237]]
['a', [3240, 3241]]
['a', [3247, 3248]]
['a', [3253, 3254]]
['a', [3307, 3308]]
['a', [3316, 3317]]
['a', [3330, 3331]]
['a', [3334, 3335]]
['a', [3346, 3347]]
['a', [3350, 3351]]
['a', [3371, 3372]]
['a', [3375, 3376]]
['a', [3392, 3393]]
['a', [3407, 3408]]
['a', [3496, 3497]]
['a', [3516, 3517]]
['a', [3521, 3522]]
['a', [3540, 3541]]
['a', [3553, 3554]]
['a', [3568, 3569]]
['a', [3572, 3573]]
['a', [3578, 3579]]
['a', [3611, 3612]]
['a', [3616, 3617]]
['a', [3665, 3666]]
['a', [3671, 3672]]
['a', [3680, 3681]]
['a', [3701, 3702]]
['a', [3725, 3726]]
['a', [3731, 3732]]
['a', [3757, 3758]]
['a', [3761, 3762]]
['a', [3765, 3766]]
['a', [3769, 3770]]
['a', [3776, 3777]]
['a', [3785, 3786]]
['a', [3807, 3808]]
['a', [3825, 3826]]
['a', [3830, 3831]]
['a', [3844, 3845]]
['a', [3857, 3858]]
['a', [3870, 3871]]
