['\\(', [59092, 59094]]
['\\(', [59110, 59112]]
['\\(', [59122, 59124]]
['\\(', [59146, 59148]]
['\\(', [59163, 59165]]
['\\(', [59176, 59178]]
['\\(', [59194, 59196]]
['\\(', [59213, 59215]]
['\\(', [59226, 59228]]
['\\(', [59267, 59269]]
['\\(', [59284, 59286]]
['\\(', [59298, 59300]]
['\\(', [59334, 59336]]
['\\(', [59350, 59352]]
['\\(', [59363, 59365]]
['\\(', [59418, 59420]]
['\\(', [59426, 59428]]
['\\(', [59436, 59438]]
['\\(', [59486, 59488]]
['\\(', [59494, 59496]]
['\\(', [59504, 59506]]
['\\(', [59528, 59530]]
['\\(', [59652, 59654]]
['\\(', [59961, 59963]]
['\\(', [59977, 59979]]
['\\(', [59984, 59986]]
['\\(', [59997, 59999]]
['\\(', [60035, 60037]]
['\\(', [60046, 60048]]
['\\(', [60056, 60058]]
['\\(', [60066, 60068]]
['\\(', [60079, 60081]]
['\\(', [60089, 60091]]
['\\(', [60099, 60101]]
['\\(', [60116, 60118]]
['\\(', [60133, 60135]]
['\\(', [60143, 60145]]
['\\(', [60153, 60155]]
['\\(', [60170, 60172]]
['\\(', [60190, 60192]]
