['1', [20077, 20078]]
['1', [20247, 20248]]
['1', [20252, 20253]]
['1', [20470, 20471]]
['1', [20712, 20713]]
['1', [20924, 20925]]
['1', [20973, 20974]]
['1', [20978, 20979]]
['1', [21103, 21104]]
['1', [21104, 21105]]
['1', [21261, 21262]]
['1', [21597, 21598]]
['1', [21602, 21603]]
['1', [21665, 21666]]
['1', [22405, 22406]]
['1', [22454, 22455]]
['1', [22541, 22542]]
['1', [23622, 23623]]
['1', [24123, 24124]]
['1', [24549, 24550]]
['1', [24572, 24573]]
['1', [24619, 24620]]
['1', [24638, 24639]]
['1', [24808, 24809]]
['1', [24813, 24814]]
['1', [25031, 25032]]
['1', [25273, 25274]]
['1', [25485, 25486]]
['1', [25534, 25535]]
['1', [25539, 25540]]
['1', [25664, 25665]]
['1', [25665, 25666]]
['1', [25822, 25823]]
['1', [26158, 26159]]
['1', [26163, 26164]]
['1', [26226, 26227]]
['1', [26966, 26967]]
['1', [27015, 27016]]
['1', [27102, 27103]]
['1', [28534, 28535]]
['1', [28557, 28558]]
['1', [28604, 28605]]
['1', [28623, 28624]]
['1', [28793, 28794]]
['1', [28798, 28799]]
['1', [29016, 29017]]
['1', [29258, 29259]]
['1', [29470, 29471]]
['1', [29519, 29520]]
['1', [29524, 29525]]
['1', [29649, 29650]]
['1', [29650, 29651]]
['1', [29807, 29808]]
['1', [30143, 30144]]
['1', [30148, 30149]]
['1', [30211, 30212]]
['1', [30987, 30988]]
['1', [31010, 31011]]
['1', [31057, 31058]]
['1', [31076, 31077]]
['1', [31246, 31247]]
['1', [31251, 31252]]
['1', [31469, 31470]]
['1', [31711, 31712]]
['1', [31923, 31924]]
['1', [31972, 31973]]
['1', [31977, 31978]]
['1', [32102, 32103]]
['1', [32103, 32104]]
['1', [32260, 32261]]
['1', [32596, 32597]]
['1', [32601, 32602]]
['1', [32664, 32665]]
['1', [33405, 33406]]
['1', [33454, 33455]]
['1', [33541, 33542]]
['1', [34938, 34939]]
['1', [34987, 34988]]
['1', [35074, 35075]]
['1', [36412, 36413]]
['1', [36870, 36871]]
['1', [37115, 37116]]
