['er', [77315, 77317]]
['er', [78073, 78075]]
['er', [78093, 78095]]
['er', [78287, 78289]]
['er', [78370, 78372]]
['er', [78546, 78548]]
['er', [79342, 79344]]
['er', [79362, 79364]]
['er', [79405, 79407]]
['er', [79415, 79417]]
['er', [79429, 79431]]
['er', [79615, 79617]]
['er', [79659, 79661]]
['er', [79816, 79818]]
['er', [79992, 79994]]
['er', [80070, 80072]]
['er', [80115, 80117]]
['er', [80122, 80124]]
['er', [80406, 80408]]
['er', [80551, 80553]]
['er', [80668, 80670]]
['er', [80795, 80797]]
['er', [80922, 80924]]
['er', [80987, 80989]]
['er', [81020, 81022]]
['er', [81072, 81074]]
['er', [81141, 81143]]
['er', [81174, 81176]]
['er', [81226, 81228]]
['er', [81241, 81243]]
['er', [81268, 81270]]
['er', [81318, 81320]]
['er', [81465, 81467]]
['er', [81541, 81543]]
['er', [81883, 81885]]
['er', [81951, 81953]]
['er', [81962, 81964]]
['er', [82522, 82524]]
['er', [82527, 82529]]
['er', [82884, 82886]]
['er', [83053, 83055]]
['er', [83103, 83105]]
['er', [83129, 83131]]
['er', [83232, 83234]]
['er', [83264, 83266]]
['er', [83276, 83278]]
['er', [83322, 83324]]
['er', [83344, 83346]]
['er', [83380, 83382]]
['er', [83390, 83392]]
['er', [83409, 83411]]
['er', [83564, 83566]]
['er', [83592, 83594]]
['er', [83712, 83714]]
['er', [83780, 83782]]
['er', [83845, 83847]]
['er', [84603, 84605]]
['er', [84623, 84625]]
['er', [84817, 84819]]
['er', [84900, 84902]]
['er', [85076, 85078]]
['er', [85872, 85874]]
['er', [85892, 85894]]
['er', [85935, 85937]]
['er', [85945, 85947]]
['er', [85959, 85961]]
['er', [86145, 86147]]
['er', [86189, 86191]]
['er', [86346, 86348]]
['er', [86522, 86524]]
['er', [86600, 86602]]
['er', [86645, 86647]]
['er', [86652, 86654]]
['er-negative', [1034, 1045]]
['er-negative', [1550, 1561]]
['er-negative', [1869, 1880]]
['er-negative', [2025, 2036]]
['er-negative', [2963, 2974]]
['er-negative', [6868, 6879]]
['er-negative', [6928, 6939]]
['er-negative', [7068, 7079]]
['er-negative', [7214, 7225]]
['er-negative', [29322, 29333]]
['er-negative', [29659, 29670]]
['er-negative', [30197, 30208]]
['er-negative', [38286, 38297]]
['er-negative', [38623, 38634]]
['er-negative', [39161, 39172]]
['er-negative', [54390, 54401]]
['er-negative', [54727, 54738]]
['er-negative', [55265, 55276]]
['er-negative', [56210, 56221]]
['er-negative', [56547, 56558]]
['er-negative', [57085, 57096]]
['er-negative', [58003, 58014]]
['er-negative', [58608, 58619]]
['er-negative', [59760, 59771]]
['er-negative', [61531, 61542]]
['er-negative', [65204, 65215]]
['er-negative', [66036, 66047]]
['er-negative', [66641, 66652]]
['er-negative', [67793, 67804]]
['er-negative', [69564, 69575]]
['er-negative', [73237, 73248]]
['er-negative', [76354, 76365]]
['er-negative', [82884, 82895]]
['xenograft', [1015, 1024]]
['xenograft', [1562, 1571]]
['xenograft', [4716, 4725]]
['xenograft', [5157, 5166]]
['xenograft', [6940, 6949]]
['xenograft', [9564, 9573]]
['xenograft', [16787, 16796]]
['xenograft', [29124, 29133]]
['xenograft', [29685, 29694]]
['xenograft', [30397, 30406]]
['xenograft', [38088, 38097]]
['xenograft', [38649, 38658]]
['xenograft', [39361, 39370]]
['xenograft', [54192, 54201]]
['xenograft', [54753, 54762]]
['xenograft', [55465, 55474]]
['xenograft', [56012, 56021]]
['xenograft', [56573, 56582]]
['xenograft', [57285, 57294]]
['xenograft', [58029, 58038]]
['xenograft', [58499, 58508]]
