['1', [70402, 70403]]
['1', [70452, 70453]]
['1', [70455, 70456]]
['1', [70511, 70512]]
['1', [70514, 70515]]
['1', [70516, 70517]]
['1', [70519, 70520]]
['1', [70524, 70525]]
['1', [70623, 70624]]
['1', [70625, 70626]]
['1', [70668, 70669]]
['1', [70688, 70689]]
['1', [70724, 70725]]
['1', [70728, 70729]]
['1', [70735, 70736]]
['1', [70740, 70741]]
['1', [70746, 70747]]
['1', [70858, 70859]]
['1', [70861, 70862]]
['1', [70869, 70870]]
['1', [70875, 70876]]
['1', [70881, 70882]]
['1', [70882, 70883]]
['1', [70903, 70904]]
['1', [70910, 70911]]
['1', [70978, 70979]]
['1', [70996, 70997]]
['1', [71002, 71003]]
['1', [71118, 71119]]
['1', [71122, 71123]]
['1', [71172, 71173]]
['1', [71176, 71177]]
['1', [71183, 71184]]
['1', [71250, 71251]]
['1', [71257, 71258]]
['1', [71272, 71273]]
['1', [71281, 71282]]
['1', [71289, 71290]]
['1', [71350, 71351]]
['1', [71401, 71402]]
['1', [71411, 71412]]
['1', [71460, 71461]]
['1', [71472, 71473]]
['1', [71500, 71501]]
['1', [71553, 71554]]
['1', [71560, 71561]]
['1', [71577, 71578]]
['1', [71636, 71637]]
['1', [71644, 71645]]
['1', [71647, 71648]]
['1', [71653, 71654]]
['1', [71654, 71655]]
['1', [71697, 71698]]
['1', [71701, 71702]]
['1', [71707, 71708]]
['1', [71713, 71714]]
['1', [71719, 71720]]
['1', [71725, 71726]]
['1', [71831, 71832]]
['1', [71833, 71834]]
['1', [71864, 71865]]
['1', [71865, 71866]]
['1', [71875, 71876]]
['1', [71931, 71932]]
['1', [71987, 71988]]
['1', [71993, 71994]]
['1', [72003, 72004]]
['1', [72009, 72010]]
['1', [72036, 72037]]
['1', [72043, 72044]]
['1', [72068, 72069]]
['1', [72072, 72073]]
['1', [72083, 72084]]
['1', [72112, 72113]]
['1', [72114, 72115]]
['1', [72153, 72154]]
['1', [72176, 72177]]
['1', [72180, 72181]]
['1', [72192, 72193]]
['1', [72198, 72199]]
['1', [72199, 72200]]
['1', [72204, 72205]]
['1', [72225, 72226]]
['1', [72243, 72244]]
['1', [72246, 72247]]
['1', [72254, 72255]]
['1', [72255, 72256]]
['1', [72257, 72258]]
['1', [72260, 72261]]
['1', [72325, 72326]]
['1', [72334, 72335]]
['1', [72335, 72336]]
['1', [72343, 72344]]
['1', [72349, 72350]]
['1', [72350, 72351]]
['1', [72352, 72353]]
['1', [72375, 72376]]
['1', [72458, 72459]]
['1', [72459, 72460]]
['1', [72461, 72462]]
['1', [72495, 72496]]
['1', [72503, 72504]]
['1', [72506, 72507]]
['1', [72507, 72508]]
['1', [72514, 72515]]
['1', [72534, 72535]]
['1', [72586, 72587]]
['1', [72587, 72588]]
['1', [72589, 72590]]
['1', [72606, 72607]]
['1', [72607, 72608]]
['1', [72626, 72627]]
['1', [72629, 72630]]
['1', [72630, 72631]]
['1', [72642, 72643]]
['1', [72664, 72665]]
['1', [72685, 72686]]
['1', [72693, 72694]]
['1', [72706, 72707]]
['1', [72785, 72786]]
['1', [72789, 72790]]
['1', [72880, 72881]]
['1', [72950, 72951]]
['1', [72954, 72955]]
['1', [73237, 73238]]
['1', [73238, 73239]]
['1', [73240, 73241]]
['1', [73255, 73256]]
['1', [73256, 73257]]
['1', [73265, 73266]]
['1', [73305, 73306]]
['1', [73672, 73673]]
['1', [73673, 73674]]
['1', [73689, 73690]]
['1', [73690, 73691]]
['1', [73700, 73701]]
['1', [73729, 73730]]
['1', [73744, 73745]]
['1', [73821, 73822]]
['1', [73826, 73827]]
['1', [73842, 73843]]
['1', [73852, 73853]]
['1', [73868, 73869]]
['1', [73869, 73870]]
['1', [73883, 73884]]
