['statin', [56796, 56802]]
['statin', [57092, 57098]]
['statin', [57169, 57175]]
['statin', [58019, 58025]]
['statin', [58152, 58158]]
['statin', [58316, 58322]]
['statin', [58438, 58444]]
['statin', [58631, 58637]]
['statin', [58860, 58866]]
['statin', [58921, 58927]]
['statin', [59040, 59046]]
['statin', [59362, 59368]]
['statin', [59612, 59618]]
['statin', [59896, 59902]]
['statin', [60112, 60118]]
['statin', [60294, 60300]]
['statin', [60469, 60475]]
['statin', [60561, 60567]]
['statin', [60733, 60739]]
['statin', [60778, 60784]]
['statin', [60859, 60865]]
['statin', [61110, 61116]]
['statin', [61178, 61184]]
['statin', [61517, 61523]]
['statin', [61912, 61918]]
['statin', [61993, 61999]]
['statin', [62172, 62178]]
['statin', [62296, 62302]]
['statin', [62927, 62933]]
['statin', [63158, 63164]]
['statin', [63303, 63309]]
['statin', [63491, 63497]]
['statin', [63599, 63605]]
['statin', [63904, 63910]]
['statin', [63967, 63973]]
['statin', [63995, 64001]]
['statin', [64272, 64278]]
['statin', [64864, 64870]]
['statin', [65082, 65088]]
['statin', [65562, 65568]]
['statin', [66110, 66116]]
['statin', [66384, 66390]]
['statin', [66711, 66717]]
['statin', [66727, 66733]]
['statin', [66841, 66847]]
['statin', [66997, 67003]]
['statin', [67815, 67821]]
['statin', [67939, 67945]]
['statin', [68173, 68179]]
['statin', [68308, 68314]]
['statin', [68554, 68560]]
['statin', [68628, 68634]]
['statin', [68924, 68930]]
['statin', [69037, 69043]]
['statin', [69182, 69188]]
['statin', [69387, 69393]]
['statin', [69588, 69594]]
['statin', [69636, 69642]]
['statin', [69652, 69658]]
['statin', [69868, 69874]]
['statin', [69962, 69968]]
['statin', [70143, 70149]]
['statin', [70665, 70671]]
['statin', [70722, 70728]]
['statin', [70840, 70846]]
['statin', [70940, 70946]]
['statin', [71120, 71126]]
['statin', [71324, 71330]]
['statin', [71600, 71606]]
['statin', [71744, 71750]]
['statin', [71798, 71804]]
['statin', [71900, 71906]]
['statin', [72044, 72050]]
['statin', [72272, 72278]]
['statin', [72341, 72347]]
['statin', [72509, 72515]]
['statin', [72591, 72597]]
['statin', [72771, 72777]]
['statin', [72869, 72875]]
['statin', [73053, 73059]]
['statin', [73124, 73130]]
['statin', [73266, 73272]]
['statin', [73411, 73417]]
['statin', [73475, 73481]]
['statin', [73498, 73504]]
['statin', [73862, 73868]]
['statin', [73926, 73932]]
['statin', [74005, 74011]]
['statin', [74062, 74068]]
['statin', [74133, 74139]]
['statin', [74269, 74275]]
['statin', [74289, 74295]]
['statin', [74493, 74499]]
['statin', [74589, 74595]]
['statin', [74689, 74695]]
['statin', [74758, 74764]]
['statin', [75044, 75050]]
['statin', [75283, 75289]]
['statin', [75374, 75380]]
['statin', [75483, 75489]]
['statin', [75660, 75666]]
['statin', [76138, 76144]]
['statin', [76418, 76424]]
['statin', [76543, 76549]]
['statin', [76636, 76642]]
['statin', [77090, 77096]]
['statin', [77396, 77402]]
['statin', [77567, 77573]]
['statin', [77595, 77601]]
['statin', [77713, 77719]]
['statin', [77855, 77861]]
['statin', [78080, 78086]]
['statin', [78493, 78499]]
['statin', [78701, 78707]]
['statin', [78868, 78874]]
['statin', [78968, 78974]]
['statin', [79005, 79011]]
['statin', [79277, 79283]]
['statin', [79348, 79354]]
['statin', [79674, 79680]]
['statin', [79810, 79816]]
['statin', [79964, 79970]]
['statin', [80368, 80374]]
['statin', [80464, 80470]]
['statin', [80634, 80640]]
['statin', [80642, 80648]]
['pharmacology', [2497, 2509]]
['hmg-coa', [127, 134]]
['hmg-coa', [1431, 1438]]
['hmg-coa', [2624, 2631]]
['hmg-coa', [2784, 2791]]
['hmg-coa', [2831, 2838]]
['hmg-coa', [34483, 34490]]
['hmg-coa', [67089, 67096]]
['hmg-coa', [80480, 80487]]
['reductase', [136, 145]]
['reductase', [1440, 1449]]
['reductase', [2632, 2641]]
['reductase', [2792, 2801]]
['reductase', [2839, 2848]]
['reductase', [34491, 34500]]
['reductase', [67097, 67106]]
['reductase', [80488, 80497]]
['ml-236b', [2643, 2650]]
['enzyme', [117, 123]]
['enzyme', [1421, 1427]]
['enzyme', [2872, 2878]]
['enzyme', [2949, 2955]]
['enzyme', [31529, 31535]]
['enzyme', [64135, 64141]]
["\\'s", [2878, 2881]]
["\\'s", [46901, 46904]]
["\\'s", [79508, 79511]]
['active', [2881, 2887]]
['active', [3102, 3108]]
['active', [5887, 5893]]
['active', [10810, 10816]]
['active', [14568, 14574]]
['active', [38376, 38382]]
['active', [39103, 39109]]
['active', [41112, 41118]]
['active', [47171, 47177]]
['active', [70983, 70989]]
['active', [71710, 71716]]
['active', [73719, 73725]]
['site', [2888, 2892]]
['site', [4416, 4420]]
['site', [26955, 26959]]
['site', [34362, 34366]]
['site', [34776, 34780]]
['site', [43179, 43183]]
['site', [59560, 59564]]
['site', [66968, 66972]]
['site', [67382, 67386]]
['site', [75786, 75790]]
['hepatic', [3073, 3080]]
['hepatic', [3218, 3225]]
['hepatic', [3312, 3319]]
['hepatic', [3328, 3335]]
['hepatic', [3557, 3564]]
['cells', [3081, 3086]]
