['t', [2274, 2275]]
['t', [2283, 2284]]
['t', [2292, 2293]]
['t', [2298, 2299]]
['t', [2340, 2341]]
['t', [2365, 2366]]
['t', [2388, 2389]]
['t', [2412, 2413]]
['t', [2420, 2421]]
['t', [2430, 2431]]
['t', [2435, 2436]]
['t', [2438, 2439]]
['t', [2447, 2448]]
['t', [2456, 2457]]
['t', [2467, 2468]]
['t', [2480, 2481]]
['t', [2488, 2489]]
['t', [2510, 2511]]
['t', [2517, 2518]]
['t', [2519, 2520]]
['t', [2530, 2531]]
['t', [2552, 2553]]
['t', [2565, 2566]]
['t', [2575, 2576]]
['t', [2578, 2579]]
['t', [2582, 2583]]
['t', [2585, 2586]]
['t', [2596, 2597]]
['t', [2620, 2621]]
['t', [2635, 2636]]
['t', [2696, 2697]]
['t', [2741, 2742]]
['t', [2777, 2778]]
['t', [2813, 2814]]
['t', [2816, 2817]]
['t', [2828, 2829]]
['t', [2835, 2836]]
['t', [2911, 2912]]
['t', [2939, 2940]]
['t', [2967, 2968]]
['t', [2974, 2975]]
['t', [2994, 2995]]
['t', [3011, 3012]]
['t', [3051, 3052]]
['t', [3071, 3072]]
['t', [3079, 3080]]
['t', [3098, 3099]]
['t', [3111, 3112]]
['t', [3145, 3146]]
['t', [3156, 3157]]
['t', [3157, 3158]]
['t', [3178, 3179]]
['t', [3188, 3189]]
['t', [3193, 3194]]
['t', [3199, 3200]]
['t', [3209, 3210]]
['t', [3216, 3217]]
['t', [3223, 3224]]
['t', [3225, 3226]]
['t', [3234, 3235]]
['t', [3241, 3242]]
['t', [3248, 3249]]
['t', [3255, 3256]]
['t', [3277, 3278]]
['t', [3286, 3287]]
['t', [3329, 3330]]
['t', [3336, 3337]]
['t', [3343, 3344]]
['t', [3364, 3365]]
['t', [3381, 3382]]
['t', [3388, 3389]]
['t', [3395, 3396]]
['t', [3399, 3400]]
['t', [3401, 3402]]
['t', [3408, 3409]]
['t', [3418, 3419]]
['t', [3424, 3425]]
['t', [3449, 3450]]
['t', [3458, 3459]]
['t', [3465, 3466]]
['t', [3492, 3493]]
['t', [3499, 3500]]
['t', [3520, 3521]]
['t', [3561, 3562]]
['t', [3609, 3610]]
['t', [3615, 3616]]
['t', [3618, 3619]]
['t', [3626, 3627]]
['t', [3639, 3640]]
['t', [3651, 3652]]
['t', [3657, 3658]]
['t', [3672, 3673]]
['t', [3685, 3686]]
['t', [3690, 3691]]
['t', [3714, 3715]]
['t', [3724, 3725]]
['t', [3727, 3728]]
['t', [3734, 3735]]
['t', [3741, 3742]]
['t', [3754, 3755]]
['t', [3761, 3762]]
['t', [3771, 3772]]
['t', [3781, 3782]]
['t', [3789, 3790]]
['t', [3793, 3794]]
['t', [3804, 3805]]
['t', [3820, 3821]]
['t', [3824, 3825]]
['t', [3831, 3832]]
['t', [3877, 3878]]
['t', [3897, 3898]]
['t', [3918, 3919]]
['t', [3927, 3928]]
['t', [3933, 3934]]
['t', [3950, 3951]]
['t', [3957, 3958]]
['t', [3966, 3967]]
['t', [3970, 3971]]
['t', [3978, 3979]]
['t', [3994, 3995]]
['t', [4001, 4002]]
['t', [4010, 4011]]
['t', [4012, 4013]]
['t', [4015, 4016]]
['t', [4025, 4026]]
['t', [4035, 4036]]
['t', [4045, 4046]]
['t', [4056, 4057]]
['t', [4067, 4068]]
['t', [4075, 4076]]
['t', [4080, 4081]]
['t', [4092, 4093]]
['t', [4153, 4154]]
['t', [4157, 4158]]
['t', [4176, 4177]]
['t', [4180, 4181]]
['t', [4193, 4194]]
['t', [4210, 4211]]
['t', [4226, 4227]]
['t', [4231, 4232]]
['t', [4239, 4240]]
['t', [4248, 4249]]
['t', [4259, 4260]]
['t', [4266, 4267]]
['t', [4269, 4270]]
['t', [4274, 4275]]
['t', [4292, 4293]]
['t', [4305, 4306]]
['t', [4319, 4320]]
['t', [4322, 4323]]
['t', [4334, 4335]]
['t', [4348, 4349]]
['t', [4367, 4368]]
['t', [4384, 4385]]
['t', [4397, 4398]]
['t', [4405, 4406]]
['t', [4411, 4412]]
['t', [4429, 4430]]
['t', [4437, 4438]]
['t', [4441, 4442]]
['t', [4450, 4451]]
['t', [4474, 4475]]
['t', [4484, 4485]]
['t', [4501, 4502]]
['t', [4506, 4507]]
['t', [4534, 4535]]
['t', [4548, 4549]]
['t', [4557, 4558]]
['t', [4564, 4565]]
['t', [4571, 4572]]
['t', [4577, 4578]]
['t', [4587, 4588]]
['t', [4594, 4595]]
['t', [4599, 4600]]
['t', [4606, 4607]]
['t', [4609, 4610]]
['t', [4619, 4620]]
['t', [4625, 4626]]
['t', [4627, 4628]]
['t', [4638, 4639]]
['t', [4645, 4646]]
['t', [4661, 4662]]
['t', [4702, 4703]]
['t', [4718, 4719]]
['t', [4731, 4732]]
['t', [4738, 4739]]
['t', [4743, 4744]]
['t', [4747, 4748]]
['t', [4761, 4762]]
['t', [4768, 4769]]
['t', [4779, 4780]]
['t', [4788, 4789]]
['t', [4805, 4806]]
['t', [4816, 4817]]
['t', [4822, 4823]]
['t', [4828, 4829]]
['t', [4834, 4835]]
['t', [4839, 4840]]
['t', [4845, 4846]]
['t', [4875, 4876]]
['t', [4888, 4889]]
['t', [4892, 4893]]
['t', [4935, 4936]]
['t', [4964, 4965]]
['t', [4977, 4978]]
['t', [4980, 4981]]
['t', [4996, 4997]]
['t', [5034, 5035]]
['t', [5043, 5044]]
['t', [5089, 5090]]
['t', [5095, 5096]]
['t', [5110, 5111]]
['t', [5124, 5125]]
['t', [5127, 5128]]
['t', [5145, 5146]]
['t', [5154, 5155]]
['t', [5173, 5174]]
['t', [5177, 5178]]
['t', [5202, 5203]]
['t', [5208, 5209]]
['t', [5231, 5232]]
['t', [5237, 5238]]
['t', [5242, 5243]]
['t', [5249, 5250]]
['t', [5284, 5285]]
['t', [5291, 5292]]
['t', [5301, 5302]]
['t', [5306, 5307]]
['t', [5310, 5311]]
['t', [5327, 5328]]
['t', [5334, 5335]]
['t', [5338, 5339]]
['t', [5393, 5394]]
['t', [5400, 5401]]
['t', [5407, 5408]]
['t', [5433, 5434]]
['t', [5442, 5443]]
['t', [5449, 5450]]
['t', [5490, 5491]]
['t', [5536, 5537]]
['t', [5561, 5562]]
['t', [5584, 5585]]
['t', [5593, 5594]]
['t', [5600, 5601]]
['t', [5613, 5614]]
['t', [5637, 5638]]
['t', [5644, 5645]]
['t', [5666, 5667]]
['t', [5671, 5672]]
['t', [5690, 5691]]
['t', [5696, 5697]]
['t', [5698, 5699]]
['t', [5700, 5701]]
['t', [5727, 5728]]
['t', [5731, 5732]]
['t', [5740, 5741]]
['t', [5759, 5760]]
['t', [5787, 5788]]
['t', [5796, 5797]]
['t', [5805, 5806]]
['t', [5811, 5812]]
['t', [5854, 5855]]
['t', [5879, 5880]]
['t', [5902, 5903]]
['t', [5926, 5927]]
['t', [5934, 5935]]
['t', [5944, 5945]]
['t', [5949, 5950]]
['t', [5952, 5953]]
['t', [5961, 5962]]
['t', [5970, 5971]]
['t', [5981, 5982]]
