['genes', [34090, 34095]]
['genes', [34827, 34832]]
['genes', [35465, 35470]]
['genes', [35571, 35576]]
['genes', [35695, 35700]]
['genes', [35756, 35761]]
['genes', [36394, 36399]]
['genes', [36500, 36505]]
['genes', [36624, 36629]]
['genes', [48258, 48263]]
['genes', [48473, 48478]]
['genes', [48879, 48884]]
['genes', [48995, 49000]]
['genes', [49093, 49098]]
['genes', [49241, 49246]]
['genes', [49386, 49391]]
['genes', [49507, 49512]]
['genes', [49692, 49697]]
['genes', [50095, 50100]]
['genes', [50913, 50918]]
['genes', [53228, 53233]]
['genes', [53759, 53764]]
['genes', [53844, 53849]]
['genes', [53922, 53927]]
['genes', [54025, 54030]]
['genes', [58619, 58624]]
['genes', [58834, 58839]]
['genes', [59240, 59245]]
['genes', [59356, 59361]]
['genes', [59454, 59459]]
['genes', [59602, 59607]]
['genes', [59747, 59752]]
['genes', [59868, 59873]]
['genes', [60053, 60058]]
['genes', [60456, 60461]]
['genes', [61274, 61279]]
['genes', [63589, 63594]]
['genes', [64120, 64125]]
['genes', [64205, 64210]]
['genes', [64283, 64288]]
['genes', [64386, 64391]]
['genes', [69829, 69834]]
['genes', [70044, 70049]]
['genes', [70450, 70455]]
['genes', [70566, 70571]]
['genes', [70664, 70669]]
['genes', [70812, 70817]]
['genes', [70957, 70962]]
['genes', [71078, 71083]]
['genes', [71263, 71268]]
['genes', [71666, 71671]]
['genes', [72484, 72489]]
['genes', [74799, 74804]]
['genes', [75330, 75335]]
['genes', [75415, 75420]]
['genes', [75493, 75498]]
['genes', [75625, 75630]]
['genes', [75840, 75845]]
['genes', [76246, 76251]]
['genes', [76362, 76367]]
['genes', [76460, 76465]]
['genes', [76608, 76613]]
['genes', [76753, 76758]]
['genes', [76874, 76879]]
['genes', [77059, 77064]]
['genes', [77462, 77467]]
['genes', [78280, 78285]]
['genes', [80595, 80600]]
['genes', [81126, 81131]]
['genes', [81211, 81216]]
['genes', [81289, 81294]]
['genes', [81393, 81398]]
['genes', [82572, 82577]]
['genes', [89781, 89786]]
['genes', [89995, 90000]]
['genes', [90737, 90742]]
['genes', [92573, 92578]]
['genes', [92715, 92720]]
['genes', [94010, 94015]]
['genes', [94224, 94229]]
['genes', [94966, 94971]]
['genes', [96802, 96807]]
['genes', [96944, 96949]]
['eukaryotic', [1310, 1320]]
['eukaryotic', [55376, 55386]]
['eukaryotic', [55538, 55548]]
['eukaryotic', [55957, 55967]]
['eukaryotic', [65737, 65747]]
['eukaryotic', [65899, 65909]]
['eukaryotic', [66318, 66328]]
['eukaryotic', [83924, 83934]]
['eukaryotic', [84086, 84096]]
['eukaryotic', [84505, 84515]]
['eukaryotic', [86449, 86459]]
['eukaryotic', [86611, 86621]]
['eukaryotic', [87030, 87040]]
['translation', [1321, 1332]]
['translation', [52837, 52848]]
['translation', [55387, 55398]]
['translation', [55549, 55560]]
['translation', [55599, 55610]]
['translation', [57048, 57059]]
['translation', [63198, 63209]]
['translation', [65748, 65759]]
['translation', [65910, 65921]]
['translation', [65960, 65971]]
['translation', [67409, 67420]]
['translation', [74408, 74419]]
['translation', [80204, 80215]]
['translation', [83935, 83946]]
['translation', [84097, 84108]]
['translation', [84147, 84158]]
['translation', [85596, 85607]]
['translation', [86460, 86471]]
['translation', [86622, 86633]]
['translation', [86672, 86683]]
['translation', [88121, 88132]]
['initiation', [1333, 1343]]
