['\\.', [46170, 46172]]
['\\.', [46578, 46580]]
['\\.', [46833, 46835]]
['\\.', [46957, 46959]]
['\\.', [47197, 47199]]
['\\.', [47404, 47406]]
['\\.', [47659, 47661]]
['\\.', [47824, 47826]]
['\\.', [47941, 47943]]
['\\.', [48274, 48276]]
['\\.', [48600, 48602]]
['\\.', [48808, 48810]]
['\\.', [48978, 48980]]
['\\.', [49239, 49241]]
['\\.', [49413, 49415]]
['\\.', [49561, 49563]]
['\\.', [49731, 49733]]
['\\.', [49948, 49950]]
['\\.', [50076, 50078]]
['\\.', [50381, 50383]]
['\\.', [50692, 50694]]
['\\.', [50892, 50894]]
['\\.', [51014, 51016]]
['\\.', [51112, 51114]]
['\\.', [51300, 51302]]
['hyperleptinemia', [923, 938]]
['hyperleptinemia', [7005, 7020]]
['hyperleptinemia', [7257, 7272]]
['hyperleptinemia', [9512, 9527]]
['hyperleptinemia', [10201, 10216]]
['hyperleptinemia', [10519, 10534]]
['hyperleptinemia', [10773, 10788]]
['hyperleptinemia', [23589, 23604]]
['hyperleptinemia', [23841, 23856]]
['hyperleptinemia', [26096, 26111]]
['hyperleptinemia', [26785, 26800]]
['hyperleptinemia', [27103, 27118]]
['hyperleptinemia', [27357, 27372]]
['hyperleptinemia', [36056, 36071]]
['hyperleptinemia', [38311, 38326]]
['hyperleptinemia', [39001, 39016]]
['hyperleptinemia', [39319, 39334]]
['hyperleptinemia', [39573, 39588]]
['leptin', [928, 934]]
['leptin', [7010, 7016]]
['leptin', [7262, 7268]]
['leptin', [7273, 7279]]
['leptin', [7594, 7600]]
['leptin', [7617, 7623]]
['leptin', [7748, 7754]]
['leptin', [7841, 7847]]
['leptin', [8085, 8091]]
['leptin', [8106, 8112]]
['leptin', [8338, 8344]]
['leptin', [8573, 8579]]
['leptin', [8880, 8886]]
['leptin', [8911, 8917]]
['leptin', [9017, 9023]]
['leptin', [9432, 9438]]
['leptin', [9473, 9479]]
['leptin', [9517, 9523]]
['leptin', [9671, 9677]]
['leptin', [9980, 9986]]
['leptin', [10206, 10212]]
['leptin', [10524, 10530]]
['leptin', [10668, 10674]]
['leptin', [10778, 10784]]
['leptin', [12377, 12383]]
['leptin', [12774, 12780]]
['leptin', [13141, 13147]]
['leptin', [14631, 14637]]
['leptin', [16693, 16699]]
['leptin', [23594, 23600]]
['leptin', [23846, 23852]]
['leptin', [23857, 23863]]
['leptin', [24178, 24184]]
['leptin', [24201, 24207]]
['leptin', [24332, 24338]]
['leptin', [24425, 24431]]
['leptin', [24669, 24675]]
['leptin', [24690, 24696]]
['leptin', [24922, 24928]]
['leptin', [25157, 25163]]
['leptin', [25464, 25470]]
['leptin', [25495, 25501]]
['leptin', [25601, 25607]]
['leptin', [26016, 26022]]
['leptin', [26057, 26063]]
['leptin', [26101, 26107]]
['leptin', [26255, 26261]]
['leptin', [26564, 26570]]
['leptin', [26790, 26796]]
['leptin', [27108, 27114]]
['leptin', [27252, 27258]]
['leptin', [27362, 27368]]
['leptin', [28961, 28967]]
['leptin', [29358, 29364]]
['leptin', [29725, 29731]]
['leptin', [31215, 31221]]
['leptin', [33277, 33283]]
['leptin', [36061, 36067]]
['leptin', [36072, 36078]]
['leptin', [36393, 36399]]
['leptin', [36416, 36422]]
['leptin', [36547, 36553]]
['leptin', [36640, 36646]]
['leptin', [36884, 36890]]
['leptin', [36905, 36911]]
['leptin', [37137, 37143]]
['leptin', [37372, 37378]]
['leptin', [37679, 37685]]
['leptin', [37710, 37716]]
['leptin', [37816, 37822]]
['leptin', [38231, 38237]]
['leptin', [38272, 38278]]
['leptin', [38316, 38322]]
['leptin', [38471, 38477]]
['leptin', [38780, 38786]]
['leptin', [39006, 39012]]
['leptin', [39324, 39330]]
['leptin', [39468, 39474]]
['leptin', [39578, 39584]]
['leptin', [41177, 41183]]
['leptin', [41575, 41581]]
['leptin', [41942, 41948]]
['leptin', [43433, 43439]]
['leptin', [45496, 45502]]
['leptin', [50479, 50485]]
['leptin', [50609, 50615]]
['cns', [7392, 7395]]
['cns', [9621, 9624]]
['cns', [9739, 9742]]
['cns', [11661, 11664]]
['cns', [14075, 14078]]
['cns', [14187, 14190]]
['cns', [14552, 14555]]
['cns', [16081, 16084]]
['cns', [16222, 16225]]
['cns', [16700, 16703]]
['cns', [23976, 23979]]
['cns', [26205, 26208]]
['cns', [26323, 26326]]
['cns', [28245, 28248]]
['cns', [30659, 30662]]
['cns', [30771, 30774]]
['cns', [31136, 31139]]
['cns', [32665, 32668]]
['cns', [32806, 32809]]
['cns', [33284, 33287]]
['cns', [36191, 36194]]
['cns', [38421, 38424]]
['cns', [38539, 38542]]
['cns', [40461, 40464]]
['cns', [42876, 42879]]
['cns', [42988, 42991]]
['cns', [43354, 43357]]
['cns', [44884, 44887]]
['cns', [45025, 45028]]
['cns', [45503, 45506]]
['cns', [50515, 50518]]
['melanocortin', [1046, 1058]]
['melanocortin', [7056, 7068]]
['melanocortin', [7069, 7081]]
['melanocortin', [9625, 9637]]
['melanocortin', [9777, 9789]]
['melanocortin', [9834, 9846]]
['melanocortin', [10274, 10286]]
['melanocortin', [10316, 10328]]
['melanocortin', [11665, 11677]]
['melanocortin', [16704, 16716]]
['melanocortin', [23640, 23652]]
['melanocortin', [23653, 23665]]
['melanocortin', [26209, 26221]]
['melanocortin', [26361, 26373]]
['melanocortin', [26418, 26430]]
['melanocortin', [26858, 26870]]
['melanocortin', [26900, 26912]]
['melanocortin', [28249, 28261]]
['melanocortin', [33288, 33300]]
['melanocortin', [38425, 38437]]
['melanocortin', [38577, 38589]]
['melanocortin', [38634, 38646]]
['melanocortin', [39074, 39086]]
['melanocortin', [39116, 39128]]
['melanocortin', [40465, 40477]]
['melanocortin', [45507, 45519]]
['melanocortin', [51264, 51276]]
['melanocortin', [51277, 51289]]
['3', [1265, 1266]]
['3', [1351, 1352]]
['3', [1367, 1368]]
['3', [1871, 1872]]
['3', [4977, 4978]]
['3', [5877, 5878]]
['3', [6247, 6248]]
['3', [9146, 9147]]
['3', [9301, 9302]]
['3', [9847, 9848]]
['3', [9868, 9869]]
['3', [10066, 10067]]
['3', [11811, 11812]]
['3', [11989, 11990]]
['3', [12576, 12577]]
['3', [12665, 12666]]
['3', [12887, 12888]]
['3', [13120, 13121]]
['3', [13320, 13321]]
['3', [13743, 13744]]
['3', [13748, 13749]]
['3', [13749, 13750]]
['3', [13964, 13965]]
['3', [14152, 14153]]
['3', [14665, 14666]]
['3', [14670, 14671]]
['3', [15156, 15157]]
['3', [15893, 15894]]
['3', [16831, 16832]]
['3', [21560, 21561]]
['3', [22460, 22461]]
['3', [22830, 22831]]
['3', [25730, 25731]]
['3', [25885, 25886]]
['3', [26431, 26432]]
['3', [26452, 26453]]
['3', [26650, 26651]]
['3', [28395, 28396]]
['3', [28573, 28574]]
['3', [29160, 29161]]
['3', [29249, 29250]]
['3', [29471, 29472]]
['3', [29704, 29705]]
['3', [29904, 29905]]
['3', [30327, 30328]]
['3', [30332, 30333]]
['3', [30333, 30334]]
['3', [30548, 30549]]
['3', [30736, 30737]]
['3', [31249, 31250]]
['3', [31254, 31255]]
['3', [31740, 31741]]
['3', [32477, 32478]]
['3', [33415, 33416]]
['3', [37945, 37946]]
['3', [38100, 38101]]
