['3', [11372, 11373]]
['3', [13867, 13868]]
['3', [14005, 14006]]
['3', [15123, 15124]]
['3', [15459, 15460]]
['3', [15516, 15517]]
['3', [16048, 16049]]
['3', [16642, 16643]]
['3', [17441, 17442]]
['3', [17448, 17449]]
['3', [17970, 17971]]
['3', [20411, 20412]]
['3', [20422, 20423]]
['3', [21062, 21063]]
['3', [21090, 21091]]
['3', [22517, 22518]]
['3', [22945, 22946]]
['3', [22988, 22989]]
['3', [23501, 23502]]
['3', [23835, 23836]]
['3', [24342, 24343]]
['3', [24787, 24788]]
['3', [25904, 25905]]
['3', [27070, 27071]]
['3', [28417, 28418]]
['3', [28567, 28568]]
['3', [28578, 28579]]
['3', [29218, 29219]]
['3', [29246, 29247]]
['3', [30673, 30674]]
['3', [31101, 31102]]
['3', [31144, 31145]]
['3', [31657, 31658]]
['3', [31991, 31992]]
['3', [32498, 32499]]
['3', [32943, 32944]]
['3', [34060, 34061]]
['3', [35226, 35227]]
['3', [36573, 36574]]
['3', [36723, 36724]]
['3', [37363, 37364]]
['3', [37391, 37392]]
['3', [38818, 38819]]
['3', [39246, 39247]]
['3', [39289, 39290]]
['3', [39802, 39803]]
['3', [40137, 40138]]
['3', [40777, 40778]]
['3', [40805, 40806]]
['3', [42232, 42233]]
['3', [42660, 42661]]
['3', [42703, 42704]]
['3', [43216, 43217]]
['3', [43551, 43552]]
['3', [44058, 44059]]
['3', [44503, 44504]]
['3', [45620, 45621]]
['3', [46786, 46787]]
['3', [48133, 48134]]
['3', [48283, 48284]]
['3', [48790, 48791]]
['3', [49235, 49236]]
['3', [50352, 50353]]
['3', [51518, 51519]]
['3', [52865, 52866]]
['3', [53015, 53016]]
['3', [53460, 53461]]
['3', [54578, 54579]]
['3', [55023, 55024]]
['3', [56141, 56142]]
['3', [57307, 57308]]
['3', [58654, 58655]]
['3', [58804, 58805]]
['3', [59970, 59971]]
['3', [61317, 61318]]
['3', [62154, 62155]]
['3', [62454, 62455]]
['3', [64602, 64603]]
['3', [65041, 65042]]
['3', [65487, 65488]]
['3', [67331, 67332]]
['3', [67613, 67614]]
['3', [70097, 70098]]
['3', [70114, 70115]]
['3', [71155, 71156]]
['3', [71455, 71456]]
['3', [73603, 73604]]
['3', [74042, 74043]]
['3', [74488, 74489]]
['3', [76332, 76333]]
['3', [76614, 76615]]
['3', [79098, 79099]]
['3', [79115, 79116]]
['3', [80224, 80225]]
['3', [80279, 80280]]
['3', [80307, 80308]]
['3', [80310, 80311]]
['3', [80315, 80316]]
['3', [80318, 80319]]
['3', [80393, 80394]]
['3', [80551, 80552]]
['3', [80554, 80555]]
['3', [80559, 80560]]
['3', [80562, 80563]]
['3', [80597, 80598]]
['3', [80600, 80601]]
['3', [80605, 80606]]
['3', [80608, 80609]]
['3', [80651, 80652]]
['3', [80707, 80708]]
['3', [80708, 80709]]
['3', [80710, 80711]]
['3', [80719, 80720]]
['3', [80872, 80873]]
['3', [81012, 81013]]
['3', [81032, 81033]]
['3', [81320, 81321]]
['3', [81353, 81354]]
['3', [81363, 81364]]
['3', [81408, 81409]]
['3', [81414, 81415]]
['3', [81416, 81417]]
